Time (s)	Fz	COPx	COPy
0.000000	763.561935	-0.467119	-3.424580
0.000999	766.834514	-0.399291	-3.477461
0.001998	760.324041	-0.397201	-3.507155
0.002996	760.324041	-0.397201	-3.507155
0.003995	760.324041	-0.397201	-3.507155
0.004994	760.324041	-0.397201	-3.507155
0.005993	760.324041	-0.397201	-3.507155
0.006992	763.561935	-0.467119	-3.424580
0.007990	763.538686	-0.330320	-3.421151
0.008989	766.819568	-0.534989	-3.470818
0.009988	763.561935	-0.467119	-3.424580
0.010987	766.819568	-0.534989	-3.470818
0.011986	760.324041	-0.397201	-3.507155
0.012984	760.347290	-0.534576	-3.510596
0.013983	763.561935	-0.467119	-3.424580
0.014982	760.281053	-0.261280	-3.374501
0.015981	760.324041	-0.397201	-3.507155
0.016980	763.561935	-0.467119	-3.424580
0.017978	753.808775	-0.258514	-3.413797
0.018977	763.561935	-0.467119	-3.424580
0.019976	763.561935	-0.467119	-3.424580
0.020975	763.561935	-0.467119	-3.424580
0.021974	760.324041	-0.397201	-3.507155
0.022972	763.538686	-0.330320	-3.421151
0.023971	763.561935	-0.467119	-3.424580
0.024970	770.077201	-0.602285	-3.516664
0.025969	757.086148	-0.326686	-3.590436
0.026968	760.324041	-0.397201	-3.507155
0.027966	760.324041	-0.397201	-3.507155
0.028965	763.561935	-0.467119	-3.424580
0.029964	757.066408	-0.328156	-3.460677
0.030963	760.324041	-0.397201	-3.507155
0.031962	770.077201	-0.602285	-3.516664
0.032960	765.161142	-0.503315	-3.255163
0.033959	757.066408	-0.328156	-3.460677
0.034958	760.304302	-0.398667	-3.377946
0.035957	757.109396	-0.464650	-3.593890
0.036956	766.811265	-0.263074	-3.474048
0.037954	757.066408	-0.328156	-3.460677
0.038953	770.053953	-0.466648	-3.513267
0.039952	760.304302	-0.398667	-3.377946
0.040951	763.561935	-0.467119	-3.424580
0.041950	763.518947	-0.331778	-3.292484
0.042948	763.553632	-0.194043	-3.427823
0.043947	763.538686	-0.330320	-3.421151
0.044946	760.324041	-0.397201	-3.507155
0.045945	763.538686	-0.330320	-3.421151
0.046944	760.281053	-0.261280	-3.374501
0.047942	763.538686	-0.330320	-3.421151
0.048941	763.538686	-0.330320	-3.421151
0.049940	760.281053	-0.261280	-3.374501
0.050939	763.553632	-0.194043	-3.427823
0.051938	763.538686	-0.330320	-3.421151
0.052936	763.538686	-0.330320	-3.421151
0.053935	763.538686	-0.330320	-3.421151
0.054934	766.811265	-0.263074	-3.474048
0.055933	770.049159	-0.332967	-3.392307
0.056932	763.553632	-0.194043	-3.427823
0.057930	763.553632	-0.194043	-3.427823
0.058929	770.049159	-0.332967	-3.392307
0.059928	757.023420	-0.191646	-3.327449
0.060927	763.553632	-0.194043	-3.427823
0.061926	766.811265	-0.263074	-3.474048
0.062924	763.553632	-0.194043	-3.427823
0.063923	760.338987	-0.260347	-3.513854
0.064922	760.281053	-0.261280	-3.374501
0.065921	760.324041	-0.397201	-3.507155
0.066920	763.553632	-0.194043	-3.427823
0.067918	763.553632	-0.194043	-3.427823
0.068917	770.049159	-0.332967	-3.392307
0.069916	766.811265	-0.263074	-3.474048
0.070915	766.811265	-0.263074	-3.474048
0.071914	766.811265	-0.263074	-3.474048
0.072912	766.811265	-0.263074	-3.474048
0.073911	763.553632	-0.194043	-3.427823
0.074910	757.077845	-0.051273	-3.593709
0.075909	766.811265	-0.263074	-3.474048
0.076908	763.553632	-0.194043	-3.427823
0.077906	760.338987	-0.260347	-3.513854
0.078905	760.281053	-0.261280	-3.374501
0.079904	766.811265	-0.263074	-3.474048
0.080903	760.295999	-0.124421	-3.381203
0.081902	766.826211	-0.127380	-3.480691
0.082900	763.553632	-0.194043	-3.427823
0.083899	763.553632	-0.194043	-3.427823
0.084898	763.553632	-0.194043	-3.427823
0.085897	763.553632	-0.194043	-3.427823
0.086896	763.553632	-0.194043	-3.427823
0.087894	757.058105	-0.052736	-3.463948
0.088893	763.553632	-0.194043	-3.427823
0.089892	763.553632	-0.194043	-3.427823
0.090891	766.811265	-0.263074	-3.474048
0.091890	770.025911	-0.197317	-3.388906
0.092888	770.098790	-0.061284	-3.533109
0.093887	766.811265	-0.263074	-3.474048
0.094886	770.068899	-0.331521	-3.519881
0.095885	763.553632	-0.194043	-3.427823
0.096884	763.553632	-0.194043	-3.427823
0.097882	763.553632	-0.194043	-3.427823
0.098881	763.553632	-0.194043	-3.427823
0.099880	763.553632	-0.194043	-3.427823
0.100879	763.553632	-0.194043	-3.427823
0.101878	763.596620	-0.329386	-3.559906
