Time (s)	Fz	COPx	COPy
0.000000	855.869587	1.987743	-7.127654
0.001000	852.611954	2.058163	-7.100218
0.002000	852.631694	2.059413	-7.215352
0.003000	859.084232	2.038261	-7.037668
0.004000	855.869587	1.987743	-7.127654
0.005000	852.631694	2.059413	-7.215352
0.006000	846.139676	2.078370	-7.163725
0.007000	855.869587	1.987743	-7.127654
0.008000	855.869587	1.987743	-7.127654
0.009000	855.869587	1.987743	-7.127654
0.010000	855.869587	1.987743	-7.127654
0.011000	852.631694	2.059413	-7.215352
0.012000	852.631694	2.059413	-7.215352
0.013000	855.869587	1.987743	-7.127654
0.014000	855.869587	1.987743	-7.127654
0.015000	852.611954	2.058163	-7.100218
0.016000	846.179155	2.080888	-7.395747
0.017000	852.631694	2.059413	-7.215352
0.018000	855.869587	1.987743	-7.127654
0.019000	855.892836	1.865639	-7.130613
0.020000	852.631694	2.059413	-7.215352
0.021000	852.631694	2.059413	-7.215352
0.022000	852.597008	1.936160	-7.094307
0.023000	855.869587	1.987743	-7.127654
0.024000	855.869587	1.987743	-7.127654
0.025000	852.611954	2.058163	-7.100218
0.026000	852.654942	1.936844	-7.218320
0.027000	859.127220	1.917857	-7.154883
0.028000	852.654942	1.936844	-7.218320
0.029000	849.354321	2.129124	-7.072571
0.030000	855.869587	1.987743	-7.127654
0.031000	852.631694	2.059413	-7.215352
0.032000	852.631694	2.059413	-7.215352
0.033000	855.869587	1.987743	-7.127654
0.034000	855.846339	2.109854	-7.124695
0.035000	855.869587	1.987743	-7.127654
0.036000	855.869587	1.987743	-7.127654
0.037000	855.869587	1.987743	-7.127654
0.038000	852.631694	2.059413	-7.215352
0.039000	859.107481	1.916612	-7.040618
0.040000	859.084232	2.038261	-7.037668
0.041000	852.631694	2.059413	-7.215352
0.042000	855.869587	1.987743	-7.127654
0.043000	852.631694	2.059413	-7.215352
0.044000	855.869587	1.987743	-7.127654
0.045000	862.356811	2.089068	-7.070979
0.046000	855.869587	1.987743	-7.127654
0.047000	855.869587	1.987743	-7.127654
0.048000	852.631694	2.059413	-7.215352
0.049000	855.869587	1.987743	-7.127654
0.050000	859.084232	2.038261	-7.037668
0.051000	852.654942	1.936844	-7.218320
0.052000	855.869587	1.987743	-7.127654
0.053000	859.084232	2.038261	-7.037668
0.054000	855.869587	1.987743	-7.127654
0.055000	849.417048	2.008591	-7.306695
0.056000	855.869587	1.987743	-7.127654
0.057000	855.869587	1.987743	-7.127654
0.058000	855.846339	2.109854	-7.124695
0.059000	855.869587	1.987743	-7.127654
0.060000	859.084232	2.038261	-7.037668
0.061000	859.084232	2.038261	-7.037668
0.062000	859.084232	2.038261	-7.037668
0.063000	855.826599	2.108609	-7.009992
0.064000	852.631694	2.059413	-7.215352
0.065000	852.597008	1.936160	-7.094307
0.066000	855.869587	1.987743	-7.127654
0.067000	859.084232	2.038261	-7.037668
0.068000	855.811653	1.987066	-7.004101
0.069000	859.084232	2.038261	-7.037668
0.070000	859.127220	1.917857	-7.154883
0.071000	852.597008	1.936160	-7.094307
0.072000	855.811653	1.987066	-7.004101
0.073000	862.322126	1.967206	-6.951293
0.074000	859.084232	2.038261	-7.037668
0.075000	855.846339	2.109854	-7.124695
0.076000	849.359114	2.007911	-7.182215
0.077000	859.084232	2.038261	-7.037668
0.078000	852.554020	2.057488	-6.976191
0.079000	859.084232	2.038261	-7.037668
0.080000	859.084232	2.038261	-7.037668
0.081000	855.869587	1.987743	-7.127654
0.082000	855.846339	2.109854	-7.124695
0.083000	859.084232	2.038261	-7.037668
0.084000	852.631694	2.059413	-7.215352
0.085000	855.846339	2.109854	-7.124695
0.086000	849.339375	2.006654	-7.066637
0.087000	852.597008	1.936160	-7.094307
0.088000	852.611954	2.058163	-7.100218
0.089000	849.359114	2.007911	-7.182215
0.090000	852.631694	2.059413	-7.215352
0.091000	849.374060	2.130377	-7.188147
0.092000	849.359114	2.007911	-7.182215
0.093000	859.084232	2.038261	-7.037668
0.094000	852.597008	1.936160	-7.094307
0.095000	859.107481	1.916612	-7.040618
0.096000	859.107481	1.916612	-7.040618
0.097000	855.811653	1.987066	-7.004101
0.098000	849.359114	2.007911	-7.182215
0.099000	852.597008	1.936160	-7.094307
0.100000	855.869587	1.987743	-7.127654
0.101000	852.597008	1.936160	-7.094307
0.102000	852.597008	1.936160	-7.094307
0.103000	852.597008	1.936160	-7.094307
0.104000	852.597008	1.936160	-7.094307
0.105000	855.834902	1.864953	-7.007063
0.106000	859.084232	2.038261	-7.037668
0.107000	855.869587	1.987743	-7.127654
0.108000	855.788405	2.109185	-7.001139
0.109000	855.869587	1.987743	-7.127654
0.110000	855.869587	1.987743	-7.127654
0.111000	859.084232	2.038261	-7.037668
0.112000	852.631694	2.059413	-7.215352
0.113000	855.869587	1.987743	-7.127654
0.114000	855.846339	2.109854	-7.124695
0.115000	855.811653	1.987066	-7.004101
0.116000	855.869587	1.987743	-7.127654
0.117000	855.869587	1.987743	-7.127654
0.118000	867.271303	1.745438	-7.222059
0.119000	855.869587	1.987743	-7.127654
0.120000	852.597008	1.936160	-7.094307
0.121000	855.846339	2.109854	-7.124695
0.122000	852.631694	2.059413	-7.215352
0.123000	855.869587	1.987743	-7.127654
0.124000	855.811653	1.987066	-7.004101
0.125000	852.597008	1.936160	-7.094307
0.126000	855.869587	1.987743	-7.127654
0.127000	846.116427	2.201887	-7.160733
0.128000	855.869587	1.987743	-7.127654
0.129000	855.869587	1.987743	-7.127654
0.130000	859.084232	2.038261	-7.037668
0.131000	849.359114	2.007911	-7.182215
0.132000	855.869587	1.987743	-7.127654
0.133000	855.869587	1.987743	-7.127654
0.134000	852.597008	1.936160	-7.094307
0.135000	859.107481	1.916612	-7.040618
0.136000	855.854641	1.866203	-7.121766
0.137000	855.869587	1.987743	-7.127654
0.138000	855.846339	2.109854	-7.124695
0.139000	849.382363	1.884870	-7.185195
0.140000	859.084232	2.038261	-7.037668
0.141000	852.554020	2.057488	-6.976191
0.142000	862.345375	1.846016	-6.954235
0.143000	855.869587	1.987743	-7.127654
0.144000	855.889327	1.988990	-7.242350
0.145000	852.654942	1.936844	-7.218320
0.146000	859.084232	2.038261	-7.037668
0.147000	859.084232	2.038261	-7.037668
0.148000	852.597008	1.936160	-7.094307
0.149000	855.869587	1.987743	-7.127654
0.150000	862.326920	1.847817	-7.059289
0.151000	862.287441	1.845335	-6.831597
0.152000	855.869587	1.987743	-7.127654
0.153000	852.597008	1.936160	-7.094307
0.154000	846.144469	1.956696	-7.273786
0.155000	855.869587	1.987743	-7.127654
0.156000	852.597008	1.936160	-7.094307
0.157000	846.066796	1.954747	-7.032796
0.158000	855.811653	1.987066	-7.004101
0.159000	852.597008	1.936160	-7.094307
0.160000	855.811653	1.987066	-7.004101
0.161000	859.112275	1.796777	-7.149017
0.162000	855.834902	1.864953	-7.007063
0.163000	855.811653	1.987066	-7.004101
0.164000	855.811653	1.987066	-7.004101
0.165000	862.341866	1.968445	-7.065134
0.166000	855.811653	1.987066	-7.004101
0.167000	855.811653	1.987066	-7.004101
0.168000	852.597008	1.936160	-7.094307
0.169000	852.597008	1.936160	-7.094307
0.170000	852.597008	1.936160	-7.094307
0.171000	852.597008	1.936160	-7.094307
0.172000	846.109784	1.832494	-7.151815
0.173000	849.359114	2.007911	-7.182215
0.174000	852.597008	1.936160	-7.094307
0.175000	852.611954	2.058163	-7.100218
0.176000	852.597008	1.936160	-7.094307
0.177000	852.597008	1.936160	-7.094307
0.178000	849.359114	2.007911	-7.182215
0.179000	852.597008	1.936160	-7.094307
0.180000	855.854641	1.866203	-7.121766
