Time (s)	Fz	COPx	COPy
0.000000	712.390030	-2.061737	-0.223803
0.000999	712.413279	-2.208301	-0.227583
0.001998	712.390030	-2.061737	-0.223803
0.002996	712.413279	-2.208301	-0.227583
0.003995	709.175385	-2.141290	-0.301517
0.004994	715.627924	-2.128806	-0.150553
0.005993	715.627924	-2.128806	-0.150553
0.006992	712.355345	-2.209455	-0.078587
0.007990	715.627924	-2.128806	-0.150553
0.008989	712.413279	-2.208301	-0.227583
0.009988	715.627924	-2.128806	-0.150553
0.010987	709.175385	-2.141290	-0.301517
0.011986	712.413279	-2.208301	-0.227583
0.012984	705.960740	-2.221568	-0.379939
0.013983	709.117451	-2.142444	-0.151847
0.014982	709.175385	-2.141290	-0.301517
0.015981	705.840078	-2.078071	0.052763
0.016980	709.175385	-2.141290	-0.301517
0.017978	712.413279	-2.208301	-0.227583
0.018977	715.627924	-2.128806	-0.150553
0.019976	712.390030	-2.061737	-0.223803
0.020975	712.370291	-2.063347	-0.085809
0.021974	715.627924	-2.128806	-0.150553
0.022972	709.175385	-2.141290	-0.301517
0.023971	712.370291	-2.063347	-0.085809
0.024970	705.917752	-2.075290	-0.236878
0.025969	709.155645	-2.142910	-0.162900
0.026968	709.175385	-2.141290	-0.301517
0.027966	705.859818	-2.076445	-0.086512
0.028965	709.132397	-1.995671	-0.159100
0.029964	709.205277	-1.847773	-0.316016
0.030963	702.645173	-2.156805	-0.164320
0.031962	709.097712	-2.144065	-0.013214
0.032960	712.413279	-2.208301	-0.227583
0.033959	709.132397	-1.995671	-0.159100
0.034958	705.917752	-2.075290	-0.236878
0.035957	709.112657	-1.997287	-0.020470
0.036956	712.390030	-2.061737	-0.223803
0.037954	702.645173	-2.156805	-0.164320
0.038953	705.883066	-2.224364	-0.090331
0.039952	712.370291	-2.063347	-0.085809
0.040951	705.917752	-2.075290	-0.236878
0.041950	705.859818	-2.076445	-0.086512
0.042948	712.370291	-2.063347	-0.085809
0.043947	702.625433	-2.158440	-0.024410
0.044946	709.132397	-1.995671	-0.159100
0.045945	702.602185	-2.009833	-0.020571
0.046944	705.883066	-2.224364	-0.090331
0.047942	705.917752	-2.075290	-0.236878
0.048941	699.387539	-2.090261	-0.098438
0.049940	705.874764	-1.928995	-0.093800
0.050939	705.902806	-2.222734	-0.229593
0.051938	702.645173	-2.156805	-0.164320
0.052936	705.898012	-2.076916	-0.097619
0.053935	712.370291	-2.063347	-0.085809
0.054934	705.917752	-2.075290	-0.236878
0.055933	702.645173	-2.156805	-0.164320
0.056932	705.883066	-2.224364	-0.090331
0.057930	705.859818	-2.076445	-0.086512
0.058929	702.645173	-2.156805	-0.164320
0.059928	709.132397	-1.995671	-0.159100
0.060927	702.679858	-2.007047	-0.311538
0.061926	705.859818	-2.076445	-0.086512
0.062924	702.645173	-2.156805	-0.164320
0.063923	702.645173	-2.156805	-0.164320
0.064922	702.645173	-2.156805	-0.164320
0.065921	705.917752	-2.075290	-0.236878
0.066920	702.602185	-2.009833	-0.020571
0.067918	699.407279	-2.088620	-0.238994
0.068917	705.917752	-2.075290	-0.236878
0.069916	705.917752	-2.075290	-0.236878
0.070915	705.859818	-2.076445	-0.086512
0.071914	705.859818	-2.076445	-0.086512
0.072912	705.917752	-2.075290	-0.236878
