Time (s)	Fz	COPx	COPy
0.000000	959.247901	-4.488789	-5.429512
0.000999	952.795362	-4.514063	-5.577626
0.001998	952.760677	-4.624598	-5.469247
0.002996	956.018310	-4.664870	-5.499366
0.003995	952.795362	-4.514063	-5.577626
0.004994	947.889173	-4.453829	-5.429022
0.005993	956.033256	-4.555962	-5.504663
0.006992	952.818611	-4.623588	-5.580322
0.007990	952.818611	-4.623588	-5.580322
0.008989	949.580717	-4.581778	-5.653790
0.009988	952.795362	-4.514063	-5.577626
0.010987	949.580717	-4.581778	-5.653790
0.011986	946.273453	-4.762269	-5.509526
0.012984	949.580717	-4.581778	-5.653790
0.013983	949.580717	-4.581778	-5.653790
0.014982	952.818611	-4.623588	-5.580322
0.015981	949.580717	-4.581778	-5.653790
0.016980	941.421688	-4.589764	-5.573543
0.017978	949.580717	-4.581778	-5.653790
0.018977	946.366072	-4.649953	-5.730471
0.019976	949.580717	-4.581778	-5.653790
0.020975	941.479622	-4.588744	-5.685949
0.021974	949.603966	-4.691672	-5.656493
0.022972	943.151427	-4.718592	-5.807675
0.023971	949.603966	-4.691672	-5.656493
0.024970	949.638651	-4.580767	-5.765226
0.025969	946.424006	-4.648934	-5.842281
0.026968	943.151427	-4.718592	-5.807675
0.027966	944.752201	-4.519412	-5.721038
0.028965	943.151427	-4.718592	-5.807675
0.029964	946.424006	-4.648934	-5.842281
0.030963	943.186112	-4.606928	-5.917146
0.031962	946.424006	-4.648934	-5.842281
0.032960	946.424006	-4.648934	-5.842281
0.033959	949.681639	-4.689391	-5.871322
0.034958	943.151427	-4.718592	-5.807675
0.035957	946.443745	-4.647668	-5.946029
0.036956	946.486733	-4.756656	-6.052475
0.037954	943.229100	-4.716294	-6.023961
0.038953	946.466994	-4.757924	-5.948734
0.039952	946.466994	-4.757924	-5.948734
0.040951	946.443745	-4.647668	-5.946029
0.041950	939.971467	-4.675652	-5.995249
0.042948	949.739573	-4.688374	-5.982733
0.043947	946.501679	-4.646650	-6.057816
0.044946	952.997206	-4.728555	-6.011193
0.045945	952.997206	-4.728555	-6.011193
0.046944	949.724627	-4.798006	-5.977408
0.047942	952.997206	-4.728555	-6.011193
0.048941	946.544667	-4.755631	-6.164251
0.049940	946.544667	-4.755631	-6.164251
0.050939	949.797507	-4.687357	-6.094130
0.051938	946.587655	-4.864602	-6.270675
0.052936	956.312773	-4.767448	-6.150094
0.053935	943.384447	-4.711699	-6.456427
0.054934	949.860234	-4.794693	-6.303561
0.055933	953.074880	-4.726280	-6.225228
0.056932	945.038267	-4.898185	-6.422060
0.057930	953.098128	-4.835767	-6.227907
0.058929	953.117868	-4.834506	-6.330921
0.059928	949.860234	-4.794693	-6.303561
0.060927	953.117868	-4.834506	-6.330921
0.061926	949.860234	-4.794693	-6.303561
0.062924	949.879974	-4.793428	-6.406924
0.063923	956.355761	-4.875306	-6.255432
0.064922	945.038267	-4.898185	-6.422060
0.065921	954.806373	-4.908562	-6.405243
0.066920	948.261214	-5.048920	-6.340290
0.067918	954.806373	-4.908562	-6.405243
0.068917	951.553533	-4.977233	-6.476058
0.069916	948.295900	-4.937845	-6.449152
0.070915	951.533793	-4.978500	-6.372878
0.071914	951.568479	-4.867810	-6.481364
0.072912	954.806373	-4.908562	-6.405243
0.073911	954.806373	-4.908562	-6.405243
0.074910	954.806373	-4.908562	-6.405243
0.075909	954.806373	-4.908562	-6.405243
0.076908	958.044266	-4.949040	-6.329636
0.077906	954.806373	-4.908562	-6.405243
0.078905	958.044266	-4.949040	-6.329636
0.079904	951.591727	-4.977467	-6.484041
0.080903	958.078952	-4.839103	-6.437387
0.081902	958.078952	-4.839103	-6.437387
