Time (s)	Fz	COPx	COPy
0.000000	834.021969	0.810793	-0.504557
0.000999	830.807324	0.754002	-0.571980
0.001998	834.021969	0.810793	-0.504557
0.002996	830.807324	0.754002	-0.571980
0.003995	837.294548	0.867919	-0.564400
0.004994	834.021969	0.810793	-0.504557
0.005993	830.764336	0.878450	-0.450428
0.006992	840.497757	0.674451	-0.377658
0.007990	837.294548	0.867919	-0.564400
0.008989	838.843937	0.895165	-0.404391
0.009988	835.586304	0.962760	-0.350184
0.010987	837.309494	0.992170	-0.570536
0.011986	837.294548	0.867919	-0.564400
0.012984	840.517496	0.675752	-0.494610
0.013983	830.764336	0.878450	-0.450428
0.014982	830.764336	0.878450	-0.450428
0.015981	837.294548	0.867919	-0.564400
0.016980	830.764336	0.878450	-0.450428
0.017978	830.764336	0.878450	-0.450428
0.018977	842.058582	0.950876	-0.338252
0.019976	834.021969	0.810793	-0.504557
0.020975	834.021969	0.810793	-0.504557
0.021974	830.764336	0.878450	-0.450428
0.022972	837.294548	0.867919	-0.564400
0.023971	834.045218	0.685523	-0.507778
0.024970	830.764336	0.878450	-0.450428
0.025969	834.021969	0.810793	-0.504557
0.026968	837.294548	0.867919	-0.564400
0.027966	837.259863	0.742358	-0.440862
0.028965	830.764336	0.878450	-0.450428
0.029964	834.021969	0.810793	-0.504557
0.030963	834.045218	0.685523	-0.507778
0.031962	834.021969	0.810793	-0.504557
0.032960	830.764336	0.878450	-0.450428
0.033959	837.259863	0.742358	-0.440862
0.034958	834.021969	0.810793	-0.504557
0.035957	837.259863	0.742358	-0.440862
0.036956	830.784076	0.879762	-0.568748
0.037954	827.549691	0.821698	-0.517906
0.038953	837.259863	0.742358	-0.440862
0.039952	830.764336	0.878450	-0.450428
0.040951	834.021969	0.810793	-0.504557
0.041950	830.807324	0.754002	-0.571980
0.042948	830.764336	0.878450	-0.450428
0.043947	837.259863	0.742358	-0.440862
0.044946	834.045218	0.685523	-0.507778
0.045945	834.002230	0.809486	-0.386695
