Time (s)	Fz	COPx	COPy
0.000000	548.866116	-2.050878	-2.208416
0.000999	552.158435	-1.945215	-2.467027
0.001998	545.628222	-1.962847	-2.316266
0.002996	542.413577	-2.066273	-2.430273
0.003995	552.138695	-1.947289	-2.289067
0.004994	548.900801	-1.859172	-2.396750
0.005993	548.900801	-1.859172	-2.396750
0.006992	545.686156	-1.961366	-2.510548
0.007990	548.900801	-1.859172	-2.396750
0.008989	548.900801	-1.859172	-2.396750
0.009988	545.643168	-1.772102	-2.325633
0.010987	548.900801	-1.859172	-2.396750
0.011986	545.686156	-1.961366	-2.510548
0.012984	545.686156	-1.961366	-2.510548
0.013983	548.943789	-2.047307	-2.580561
0.014982	542.413577	-2.066273	-2.430273
0.015981	545.686156	-1.961366	-2.510548
0.016980	545.686156	-1.961366	-2.510548
0.017978	542.448263	-1.872285	-2.620833
0.018977	545.686156	-1.961366	-2.510548
0.019976	545.686156	-1.961366	-2.510548
0.020975	545.729144	-2.150601	-2.695434
0.021974	548.943789	-2.047307	-2.580561
0.022972	548.900801	-1.859172	-2.396750
0.023971	552.173380	-1.756725	-2.476280
0.024970	545.686156	-1.961366	-2.510548
0.025969	548.900801	-1.859172	-2.396750
0.026968	545.686156	-1.961366	-2.510548
0.027966	552.173380	-1.756725	-2.476280
0.028965	548.943789	-2.047307	-2.580561
0.029964	548.900801	-1.859172	-2.396750
0.030963	552.158435	-1.945215	-2.467027
0.031962	548.943789	-2.047307	-2.580561
0.032960	548.900801	-1.859172	-2.396750
0.033959	548.920541	-1.857089	-2.575755
0.034958	548.900801	-1.859172	-2.396750
0.035957	548.943789	-2.047307	-2.580561
0.036956	545.686156	-1.961366	-2.510548
0.037954	548.943789	-2.047307	-2.580561
0.038953	539.198932	-2.170931	-2.545641
0.039952	545.686156	-1.961366	-2.510548
0.040951	548.943789	-2.047307	-2.580561
0.041950	549.001723	-2.045825	-2.773643
0.042948	555.431014	-1.842862	-2.545676
0.043947	548.943789	-2.047307	-2.580561
0.044946	545.686156	-1.961366	-2.510548
0.045945	552.216368	-1.943753	-2.658996
0.046944	548.943789	-2.047307	-2.580561
0.047942	548.978475	-1.855628	-2.768845
0.048941	549.001723	-2.045825	-2.773643
0.049940	548.943789	-2.047307	-2.580561
0.050939	552.216368	-1.943753	-2.658996
0.051938	552.193120	-1.754658	-2.654222
0.052936	552.216368	-1.943753	-2.658996
0.053935	548.958735	-1.857710	-2.589865
0.054934	552.193120	-1.754658	-2.654222
0.055933	549.001723	-2.045825	-2.773643
0.056932	552.216368	-1.943753	-2.658996
0.057930	555.454262	-2.030851	-2.550427
0.058929	548.943789	-2.047307	-2.580561
0.059928	548.978475	-1.855628	-2.768845
0.060927	548.943789	-2.047307	-2.580561
0.061926	548.943789	-2.047307	-2.580561
0.062924	552.216368	-1.943753	-2.658996
0.063923	552.216368	-1.943753	-2.658996
0.064922	552.158435	-1.945215	-2.467027
0.065921	552.158435	-1.945215	-2.467027
0.066920	555.474002	-2.028786	-2.727316
0.067918	552.216368	-1.943753	-2.658996
0.068917	548.943789	-2.047307	-2.580561
0.069916	545.686156	-1.961366	-2.510548
0.070915	555.474002	-2.028786	-2.727316
0.071914	552.216368	-1.943753	-2.658996
0.072912	552.158435	-1.945215	-2.467027
0.073911	552.216368	-1.943753	-2.658996
0.074910	552.216368	-1.943753	-2.658996
0.075909	558.668907	-1.930044	-2.438389
0.076908	552.216368	-1.943753	-2.658996
0.077906	548.958735	-1.857710	-2.589865
0.078905	552.216368	-1.943753	-2.658996
0.079904	542.448263	-1.872285	-2.620833
0.080903	548.978475	-1.855628	-2.768845
0.081902	552.216368	-1.943753	-2.658996
0.082900	552.216368	-1.943753	-2.658996
0.083899	552.216368	-1.943753	-2.658996
0.084898	548.978475	-1.855628	-2.768845
0.085897	545.686156	-1.961366	-2.510548
0.086896	552.216368	-1.943753	-2.658996
0.087894	548.978475	-1.855628	-2.768845
0.088893	548.958735	-1.857710	-2.589865
0.089892	555.454262	-2.030851	-2.550427
0.090891	552.216368	-1.943753	-2.658996
0.091890	552.216368	-1.943753	-2.658996
