Time (s)	Fz	COPx	COPy
0.000000	1083.783607	2.747304	-6.752715
0.000999	1093.416105	2.667999	-6.451841
0.001998	1086.986815	2.592170	-6.590083
0.002996	1080.534276	2.612168	-6.727619
0.003995	1077.246751	2.476687	-6.695326
0.004994	1070.731485	2.591812	-6.649001
0.005993	1070.731485	2.591812	-6.649001
0.006992	1070.751224	2.592798	-6.740690
0.007990	1065.822616	2.532700	-6.606782
0.008989	1069.060510	2.473889	-6.538416
0.009988	1072.251906	2.610383	-6.465711
0.010987	1069.080249	2.474878	-6.630250
0.011986	1056.062813	2.413353	-6.621325
0.012984	1062.563133	2.199841	-6.663711
0.013983	1049.552340	2.432314	-6.662338
0.014982	1049.552340	2.432314	-6.662338
0.015981	1051.225899	2.254433	-6.724510
0.016980	1044.715426	2.272491	-6.766356
0.017978	1044.715426	2.272491	-6.766356
0.018977	1052.775288	2.274102	-6.587950
0.019976	1051.240845	2.353379	-6.729310
0.020975	1047.973059	2.214313	-6.789801
0.021974	1034.970569	2.248759	-6.787575
0.022972	1038.193516	2.088894	-6.711754
0.023971	1038.213256	2.089921	-6.806315
0.024970	1038.213256	2.089921	-6.806315
0.025969	1031.726032	2.005871	-6.851666
0.026968	1041.485835	2.131827	-6.834624
0.027966	1031.702783	2.107169	-6.849205
0.028965	1038.241298	1.890098	-6.898460
0.029964	1034.963925	1.946771	-6.780281
0.030963	1038.198310	1.989729	-6.801456
0.031962	1028.473192	1.964205	-6.918597
0.032960	1028.496441	1.862593	-6.921064
0.033959	1028.438507	1.862023	-6.818238
0.034958	1021.985968	1.878557	-6.965093
0.035957	1025.180874	1.920190	-6.794436
0.036956	1022.005707	1.879604	-7.061149
0.037954	1028.481495	1.761452	-6.916161
0.038953	1021.971022	1.776772	-6.960159
0.039952	1021.971022	1.776772	-6.960159
0.040951	1025.208916	1.717832	-6.887753
0.041950	1018.756377	1.733506	-7.035514
0.042948	1025.193970	1.616364	-6.882834
0.043947	1018.741431	1.631395	-7.030566
0.044946	1021.979325	1.572730	-6.957707
0.045945	1018.721691	1.630341	-6.934201
0.046944	1021.979325	1.572730	-6.957707
0.047942	1018.741431	1.631395	-7.030566
0.048941	1018.706746	1.528225	-6.929251
0.049940	1018.741431	1.631395	-7.030566
0.050939	1015.468852	1.586938	-7.002254
0.051938	1018.726485	1.529282	-7.025617
0.052936	1018.691800	1.426107	-6.924302
0.053935	1009.024616	1.395266	-7.149688
0.054934	1015.453906	1.484495	-6.997289
0.055933	1012.239261	1.440022	-7.073247
0.056932	1021.964379	1.470939	-6.952774
0.057930	1015.419221	1.380986	-6.895646
0.058929	1012.161587	1.438353	-6.871787
0.059928	1015.462209	1.279146	-6.994821
0.060927	1012.181327	1.439418	-6.968778
0.061926	1012.201066	1.440483	-7.065764
0.062924	1018.676854	1.323986	-6.919352
0.063923	1008.908748	1.394049	-6.940081
0.064922	1008.951736	1.291551	-7.039895
0.065921	1012.209369	1.234475	-7.063288
0.066920	1008.951736	1.291551	-7.039895
0.067918	1008.994724	1.189062	-7.139700
0.068917	1015.447263	1.176698	-6.989857
0.069916	1005.737091	1.246174	-7.116480
0.070915	1008.994724	1.189062	-7.139700
0.071914	1008.994724	1.189062	-7.139700
0.072912	1005.722145	1.142735	-7.111469
