Time (s)	Fz	COPx	COPy
0.000000	873.671692	-1.030061	-2.094742
0.000999	863.926835	-1.095744	-2.067467
0.001998	873.671692	-1.030061	-2.094742
0.002996	876.944271	-0.968649	-2.145945
0.003995	867.184468	-1.153398	-2.113451
0.004994	870.457047	-1.091064	-2.164966
0.005993	873.729626	-1.029198	-2.216095
0.006992	870.457047	-1.091064	-2.164966
0.007990	870.414059	-0.972375	-2.049030
0.008989	876.929325	-1.087318	-2.140114
0.009988	870.457047	-1.091064	-2.164966
0.010987	863.946574	-1.094438	-2.181208
0.011986	873.613758	-1.030924	-1.973372
0.012984	873.714680	-1.148304	-2.210243
0.013983	870.457047	-1.091064	-2.164966
0.014982	870.457047	-1.091064	-2.164966
0.015981	867.184468	-1.153398	-2.113451
0.016980	870.442101	-1.210620	-2.159091
0.017978	870.476787	-1.089768	-2.277852
0.018977	873.679995	-1.268710	-2.091920
0.019976	870.442101	-1.210620	-2.159091
0.020975	873.714680	-1.148304	-2.210243
0.021974	873.651953	-1.031351	-1.982265
0.022972	873.714680	-1.148304	-2.210243
0.023971	867.199414	-1.033394	-2.119349
0.024970	867.204207	-1.152095	-2.226764
0.025969	867.184468	-1.153398	-2.113451
0.026968	876.929325	-1.087318	-2.140114
0.027966	873.714680	-1.148304	-2.210243
0.028965	876.972313	-1.205119	-2.255184
0.029964	870.442101	-1.210620	-2.159091
0.030963	873.699734	-1.267415	-2.204391
0.031962	873.714680	-1.148304	-2.210243
0.032960	870.442101	-1.210620	-2.159091
0.033959	870.442101	-1.210620	-2.159091
0.034958	873.714680	-1.148304	-2.210243
0.035957	867.169522	-1.273405	-2.107554
0.036956	873.714680	-1.148304	-2.210243
0.037954	876.957368	-1.323788	-2.249355
0.038953	870.442101	-1.210620	-2.159091
0.039952	867.227456	-1.272519	-2.229816
0.040951	870.442101	-1.210620	-2.159091
0.041950	867.227456	-1.272519	-2.229816
0.042948	876.972313	-1.205119	-2.255184
0.043947	873.714680	-1.148304	-2.210243
0.044946	870.457047	-1.091064	-2.164966
0.045945	870.442101	-1.210620	-2.159091
0.046944	873.679995	-1.268710	-2.091920
0.047942	873.714680	-1.148304	-2.210243
0.048941	867.227456	-1.272519	-2.229816
0.049940	873.714680	-1.148304	-2.210243
0.050939	873.714680	-1.148304	-2.210243
0.051938	867.199414	-1.033394	-2.119349
0.052936	870.442101	-1.210620	-2.159091
0.053935	873.660255	-1.270006	-1.979444
0.054934	873.679995	-1.268710	-2.091920
0.055933	873.714680	-1.148304	-2.210243
0.056932	870.442101	-1.210620	-2.159091
0.057930	870.442101	-1.210620	-2.159091
0.058929	876.972313	-1.205119	-2.255184
0.059928	870.442101	-1.210620	-2.159091
0.060927	873.699734	-1.267415	-2.204391
0.061926	870.442101	-1.210620	-2.159091
0.062924	873.757668	-1.266536	-2.325733
0.063923	870.442101	-1.210620	-2.159091
0.064922	870.442101	-1.210620	-2.159091
0.065921	870.442101	-1.210620	-2.159091
0.066920	870.442101	-1.210620	-2.159091
0.067918	870.442101	-1.210620	-2.159091
0.068917	876.917888	-1.326372	-2.025245
0.069916	870.465350	-1.330594	-2.162133
0.070915	870.427155	-1.330179	-2.153217
0.071914	873.679995	-1.268710	-2.091920
0.072912	880.210207	-1.262799	-2.188158
0.073911	873.699734	-1.267415	-2.204391
0.074910	870.422362	-1.211918	-2.046198
0.075909	867.227456	-1.272519	-2.229816
0.076908	867.227456	-1.272519	-2.229816
0.077906	870.485089	-1.329293	-2.275018
