Time (s)	Fz	COPx	COPy
0.000000	760.884735	-1.616691	-5.117828
0.000999	764.122629	-1.681390	-5.028488
0.001998	764.122629	-1.681390	-5.028488
0.002996	760.893038	-1.890709	-5.114555
0.003995	764.107683	-1.817594	-5.021852
0.004994	767.380262	-1.744055	-5.067883
0.005993	767.395208	-1.608433	-5.074490
0.006992	764.107683	-1.817594	-5.021852
0.007990	767.380262	-1.744055	-5.067883
0.008989	770.594907	-1.672168	-4.976156
0.009988	773.852540	-1.734349	-5.015442
0.010987	770.594907	-1.672168	-4.976156
0.011986	764.122629	-1.681390	-5.028488
0.012984	764.107683	-1.817594	-5.021852
0.013983	767.380262	-1.744055	-5.067883
0.014982	767.380262	-1.744055	-5.067883
0.015981	767.380262	-1.744055	-5.067883
0.016980	764.122629	-1.681390	-5.028488
0.017978	764.107683	-1.817594	-5.021852
0.018977	764.107683	-1.817594	-5.021852
0.019976	764.107683	-1.817594	-5.021852
0.020975	767.380262	-1.744055	-5.067883
0.021974	767.380262	-1.744055	-5.067883
0.022972	760.904475	-1.615195	-5.246893
0.023971	764.107683	-1.817594	-5.021852
0.024970	764.107683	-1.817594	-5.021852
0.025969	770.536973	-1.673195	-4.838767
0.026968	757.569168	-1.553976	-4.938577
0.027966	767.380262	-1.744055	-5.067883
0.028965	764.122629	-1.681390	-5.028488
0.029964	772.237102	-1.839283	-4.935596
0.030963	764.107683	-1.817594	-5.021852
0.031962	767.380262	-1.744055	-5.067883
0.032960	760.850050	-1.754974	-4.982090
0.033959	760.835104	-1.891766	-4.975425
0.034958	764.142368	-1.679898	-5.157009
0.035957	778.781978	-1.959257	-5.203171
0.036956	764.122629	-1.681390	-5.028488
0.037954	767.380262	-1.744055	-5.067883
0.038953	772.202417	-1.975543	-4.801846
0.039952	764.107683	-1.817594	-5.021852
0.040951	764.122629	-1.681390	-5.028488
0.041950	767.380262	-1.744055	-5.067883
0.042948	770.637895	-1.806191	-5.106945
0.043947	764.107683	-1.817594	-5.021852
0.044946	764.107683	-1.817594	-5.021852
0.045945	764.142368	-1.679898	-5.157009
0.046944	767.322328	-1.745092	-4.929926
0.047942	764.107683	-1.817594	-5.021852
0.048941	764.107683	-1.817594	-5.021852
0.049940	764.107683	-1.817594	-5.021852
0.050939	772.237102	-1.839283	-4.935596
0.051938	760.850050	-1.754974	-4.982090
0.052936	760.869789	-1.753474	-5.111165
0.053935	770.536973	-1.673195	-4.838767
0.054934	764.107683	-1.817594	-5.021852
0.055933	767.380262	-1.744055	-5.067883
0.056932	770.594907	-1.672168	-4.976156
0.057930	767.380262	-1.744055	-5.067883
0.058929	764.142368	-1.679898	-5.157009
0.059928	767.322328	-1.745092	-4.929926
0.060927	760.893038	-1.890709	-5.114555
0.061926	773.867486	-1.599861	-5.021994
0.062924	767.380262	-1.744055	-5.067883
0.063923	767.380262	-1.744055	-5.067883
0.064922	764.107683	-1.817594	-5.021852
0.065921	760.893038	-1.890709	-5.114555
0.066920	770.637895	-1.806191	-5.106945
0.067918	767.380262	-1.744055	-5.067883
0.068917	764.180563	-1.680353	-5.167016
0.069916	767.380262	-1.744055	-5.067883
0.070915	770.637895	-1.806191	-5.106945
0.071914	764.142368	-1.679898	-5.157009
0.072912	767.380262	-1.744055	-5.067883
0.073911	767.380262	-1.744055	-5.067883
0.074910	767.380262	-1.744055	-5.067883
0.075909	764.107683	-1.817594	-5.021852
0.076908	764.107683	-1.817594	-5.021852
0.077906	770.637895	-1.806191	-5.106945
0.078905	770.637895	-1.806191	-5.106945
0.079904	767.380262	-1.744055	-5.067883
0.080903	770.652841	-1.671141	-5.113524
