Time (s)	Fz	COPx	COPy
0.000000	946.576679	0.568330	-1.618287
0.000999	946.561733	0.458415	-1.612876
0.001998	946.596419	0.569487	-1.722107
0.002996	943.304100	0.516783	-1.569033
0.003995	949.814573	0.508831	-1.558344
0.004994	946.596419	0.569487	-1.722107
0.005993	943.319046	0.627077	-1.574463
0.006992	946.576679	0.568330	-1.618287
0.007990	943.304100	0.516783	-1.569033
0.008989	940.066206	0.576722	-1.629428
0.009988	946.576679	0.568330	-1.618287
0.010987	949.834312	0.509986	-1.661811
0.011986	949.834312	0.509986	-1.661811
0.012984	943.376980	0.627775	-1.686889
0.013983	949.834312	0.509986	-1.661811
0.014982	946.561733	0.458415	-1.612876
0.015981	946.541994	0.457255	-1.509050
0.016980	946.561733	0.458415	-1.612876
0.017978	943.304100	0.516783	-1.569033
0.018977	940.089455	0.465588	-1.632258
0.019976	946.576679	0.568330	-1.618287
0.020975	943.304100	0.516783	-1.569033
0.021974	946.576679	0.568330	-1.618287
0.022972	949.799627	0.399290	-1.552950
0.023971	943.304100	0.516783	-1.569033
0.024970	946.561733	0.458415	-1.612876
0.025969	940.109194	0.466756	-1.736793
0.026968	946.576679	0.568330	-1.618287
0.027966	943.304100	0.516783	-1.569033
0.028965	946.576679	0.568330	-1.618287
0.029964	936.851561	0.525555	-1.693079
0.030963	943.327349	0.406033	-1.571854
0.031962	946.561733	0.458415	-1.612876
0.032960	949.834312	0.509986	-1.661811
0.033959	949.819367	0.400447	-1.656419
0.034958	946.561733	0.458415	-1.612876
0.035957	943.347088	0.407198	-1.676032
0.036956	946.561733	0.458415	-1.612876
0.037954	943.304100	0.516783	-1.569033
0.038953	946.576679	0.568330	-1.618287
0.039952	943.304100	0.516783	-1.569033
0.040951	943.312403	0.295737	-1.566424
0.041950	946.541994	0.457255	-1.509050
0.042948	943.347088	0.407198	-1.676032
0.043947	949.799627	0.399290	-1.552950
0.044946	943.347088	0.407198	-1.676032
0.045945	946.561733	0.458415	-1.612876
0.046944	946.561733	0.458415	-1.612876
0.047942	962.903040	0.280118	-1.841033
0.048941	949.819367	0.400447	-1.656419
0.049940	943.304100	0.516783	-1.569033
0.050939	940.109194	0.466756	-1.736793
0.051938	946.584982	0.348047	-1.615687
0.052936	949.834312	0.509986	-1.661811
0.053935	946.561733	0.458415	-1.612876
0.054934	953.106892	0.561203	-1.710409
0.055933	943.347088	0.407198	-1.676032
0.056932	946.576679	0.568330	-1.618287
0.057930	940.109194	0.466756	-1.736793
0.058929	943.347088	0.407198	-1.676032
0.059928	946.584982	0.348047	-1.615687
0.060927	946.561733	0.458415	-1.612876
0.061926	949.819367	0.400447	-1.656419
0.062924	943.323840	0.517946	-1.673213
0.063923	946.584982	0.348047	-1.615687
0.064922	946.561733	0.458415	-1.612876
0.065921	943.347088	0.407198	-1.676032
0.066920	949.819367	0.400447	-1.656419
0.067918	949.799627	0.399290	-1.552950
0.068917	946.561733	0.458415	-1.612876
0.069916	946.561733	0.458415	-1.612876
0.070915	949.799627	0.399290	-1.552950
0.071914	946.561733	0.458415	-1.612876
0.072912	946.561733	0.458415	-1.612876
0.073911	946.584982	0.348047	-1.615687
0.074910	946.561733	0.458415	-1.612876
0.075909	943.332142	0.296904	-1.670604
0.076908	936.871301	0.526725	-1.797975
0.077906	949.799627	0.399290	-1.552950
0.078905	949.819367	0.400447	-1.656419
0.079904	943.347088	0.407198	-1.676032
0.080903	943.289154	0.406486	-1.563602
0.081902	949.799627	0.399290	-1.552950
0.082900	946.561733	0.458415	-1.612876
0.083899	946.561733	0.458415	-1.612876
0.084898	946.561733	0.458415	-1.612876
0.085897	946.561733	0.458415	-1.612876
0.086896	946.584982	0.348047	-1.615687
0.087894	949.834312	0.509986	-1.661811
0.088893	943.347088	0.407198	-1.676032
0.089892	949.799627	0.399290	-1.552950
0.090891	943.347088	0.407198	-1.676032
0.091890	943.347088	0.407198	-1.676032
0.092888	946.584982	0.348047	-1.615687
0.093887	943.347088	0.407198	-1.676032
0.094886	949.799627	0.399290	-1.552950
0.095885	946.561733	0.458415	-1.612876
0.096884	953.057260	0.341721	-1.596550
0.097882	943.347088	0.407198	-1.676032
0.098881	949.799627	0.399290	-1.552950
0.099880	949.799627	0.399290	-1.552950
0.100879	943.347088	0.407198	-1.676032
0.101878	946.561733	0.458415	-1.612876
0.102876	943.289154	0.406486	-1.563602
0.103875	953.100248	0.233265	-1.702453
0.104874	943.347088	0.407198	-1.676032
0.105873	943.347088	0.407198	-1.676032
0.106872	946.527048	0.347335	-1.503637
0.107870	943.347088	0.407198	-1.676032
0.108869	943.347088	0.407198	-1.676032
0.109868	949.799627	0.399290	-1.552950
0.110867	949.827669	0.180918	-1.653827
0.111866	946.584982	0.348047	-1.615687
0.112864	946.584982	0.348047	-1.615687
0.113863	946.584982	0.348047	-1.615687
0.114862	940.132443	0.355630	-1.739620
0.115861	943.347088	0.407198	-1.676032
0.116860	943.347088	0.407198	-1.676032
0.117858	940.089455	0.465588	-1.632258
0.118857	946.604721	0.349209	-1.719506
0.119856	946.584982	0.348047	-1.615687
0.120855	946.584982	0.348047	-1.615687
0.121854	946.561733	0.458415	-1.612876
0.122852	943.347088	0.407198	-1.676032
0.123851	943.289154	0.406486	-1.563602
0.124850	946.584982	0.348047	-1.615687
0.125849	946.584982	0.348047	-1.615687
0.126848	946.604721	0.349209	-1.719506
0.127846	943.347088	0.407198	-1.676032
0.128845	943.327349	0.406033	-1.571854
0.129844	949.799627	0.399290	-1.552950
0.130843	949.819367	0.400447	-1.656419
0.131842	940.074509	0.354913	-1.626810
0.132840	946.561733	0.458415	-1.612876
0.133839	940.089455	0.465588	-1.632258
0.134838	943.347088	0.407198	-1.676032
0.135837	946.584982	0.348047	-1.615687
0.136836	949.799627	0.399290	-1.552950
0.137834	943.347088	0.407198	-1.676032
0.138833	946.584982	0.348047	-1.615687
0.139832	943.347088	0.407198	-1.676032
0.140831	943.327349	0.406033	-1.571854
0.141830	943.347088	0.407198	-1.676032
0.142828	946.584982	0.348047	-1.615687
0.143827	940.109194	0.466756	-1.736793
0.144826	949.776379	0.509286	-1.550147
0.145825	940.089455	0.465588	-1.632258
0.146824	946.584982	0.348047	-1.615687
0.147822	940.089455	0.465588	-1.632258
0.148821	946.584982	0.348047	-1.615687
0.149820	946.584982	0.348047	-1.615687
0.150819	943.347088	0.407198	-1.676032
0.151818	943.347088	0.407198	-1.676032
0.152816	946.584982	0.348047	-1.615687
0.153815	940.089455	0.465588	-1.632258
0.154814	946.634613	0.569029	-1.730323
0.155813	946.584982	0.348047	-1.615687
0.156812	946.584982	0.348047	-1.615687
0.157810	936.851561	0.525555	-1.693079
0.158809	946.561733	0.458415	-1.612876
0.159808	943.347088	0.407198	-1.676032
0.160807	946.561733	0.458415	-1.612876
0.161806	949.877300	0.401154	-1.768071
0.162804	949.842615	0.290459	-1.659219
0.163803	946.604721	0.349209	-1.719506
0.164802	943.347088	0.407198	-1.676032
0.165801	946.619667	0.459121	-1.724915
0.166800	946.604721	0.349209	-1.719506
0.167798	943.347088	0.407198	-1.676032
0.168797	946.634613	0.569029	-1.730323
0.169796	946.584982	0.348047	-1.615687
0.170795	943.347088	0.407198	-1.676032
0.171794	949.834312	0.509986	-1.661811
0.172792	949.842615	0.290459	-1.659219
0.173791	949.842615	0.290459	-1.659219
0.174790	949.776379	0.509286	-1.550147
0.175789	953.100248	0.233265	-1.702453
0.176788	953.057260	0.341721	-1.596550
0.177786	946.584982	0.348047	-1.615687
0.178785	949.799627	0.399290	-1.552950
0.179784	949.834312	0.509986	-1.661811
0.180783	940.016575	0.354196	-1.513985
0.181782	953.072206	0.450889	-1.601924
0.182780	953.057260	0.341721	-1.596550
0.183779	946.639407	0.460280	-1.828727
0.184778	949.842615	0.290459	-1.659219
0.185777	953.115194	0.342429	-1.707826
0.186776	943.347088	0.407198	-1.676032
0.187774	949.892246	0.510686	-1.773460
0.188773	943.347088	0.407198	-1.676032
0.189772	943.327349	0.406033	-1.571854
0.190771	953.091946	0.452041	-1.705037
0.191770	953.115194	0.342429	-1.707826
0.192768	943.347088	0.407198	-1.676032
0.193767	949.799627	0.399290	-1.552950
0.194766	946.619667	0.459121	-1.724915
0.195765	946.619667	0.459121	-1.724915
0.196764	953.072206	0.450889	-1.601924
0.197762	959.567733	0.335038	-1.585783
0.198761	953.115194	0.342429	-1.707826
0.199760	946.561733	0.458415	-1.612876
0.200759	956.286851	0.501438	-1.539659
0.201758	949.842615	0.290459	-1.659219
0.202756	953.115194	0.342429	-1.707826
0.203755	953.115194	0.342429	-1.707826
0.204754	956.329839	0.393341	-1.645208
0.205753	956.329839	0.393341	-1.645208
0.206752	949.842615	0.290459	-1.659219
0.207750	946.604721	0.349209	-1.719506
0.208749	943.304100	0.516783	-1.569033
0.209748	953.115194	0.342429	-1.707826
0.210747	953.091946	0.452041	-1.705037
0.211746	946.619667	0.459121	-1.724915
0.212744	949.857561	0.399997	-1.664610
0.213743	949.842615	0.290459	-1.659219
0.214742	949.857561	0.399997	-1.664610
0.215741	962.845106	0.279414	-1.730897
0.216740	949.857561	0.399997	-1.664610
0.217738	946.584982	0.348047	-1.615687
0.218737	949.877300	0.401154	-1.768071
0.219736	946.642916	0.348760	-1.727722
0.220735	946.584982	0.348047	-1.615687
0.221734	949.842615	0.290459	-1.659219
0.222732	946.584982	0.348047	-1.615687
0.223731	953.115194	0.342429	-1.707826
0.224730	949.842615	0.290459	-1.659219
0.225729	953.072206	0.450889	-1.601924
0.226728	949.799627	0.399290	-1.552950
0.227726	949.799627	0.399290	-1.552950
0.228725	946.584982	0.348047	-1.615687
0.229724	949.857561	0.399997	-1.664610
0.230723	953.091946	0.452041	-1.705037
0.231722	953.057260	0.341721	-1.596550
0.232720	949.842615	0.290459	-1.659219
0.233719	956.329839	0.393341	-1.645208
0.234718	949.799627	0.399290	-1.552950
0.235717	949.799627	0.399290	-1.552950
0.236716	949.799627	0.399290	-1.552950
0.237714	949.819367	0.400447	-1.656419
0.238713	949.842615	0.290459	-1.659219
0.239712	946.584982	0.348047	-1.615687
0.240711	949.819367	0.400447	-1.656419
0.241710	946.584982	0.348047	-1.615687
0.242708	946.627970	0.238849	-1.722314
0.243707	946.584982	0.348047	-1.615687
0.244706	949.842615	0.290459	-1.659219
0.245705	949.842615	0.290459	-1.659219
0.246704	949.819367	0.400447	-1.656419
0.247702	953.072206	0.450889	-1.601924
0.248701	956.329839	0.393341	-1.645208
0.249700	949.857561	0.399997	-1.664610
0.250699	946.584982	0.348047	-1.615687
0.251698	956.329839	0.393341	-1.645208
0.252696	956.387773	0.394043	-1.756100
0.253695	949.819367	0.400447	-1.656419
0.254694	946.584982	0.348047	-1.615687
0.255693	946.584982	0.348047	-1.615687
0.256692	953.115194	0.342429	-1.707826
0.257690	946.584982	0.348047	-1.615687
0.258689	949.799627	0.399290	-1.552950
0.259688	949.842615	0.290459	-1.659219
0.260687	949.842615	0.290459	-1.659219
0.261686	946.584982	0.348047	-1.615687
0.262684	949.822875	0.289300	-1.555753
0.263683	946.584982	0.348047	-1.615687
0.264682	946.527048	0.347335	-1.503637
0.265681	949.799627	0.399290	-1.552950
0.266680	949.814573	0.508831	-1.558344
0.267678	949.799627	0.399290	-1.552950
0.268677	946.584982	0.348047	-1.615687
0.269676	949.799627	0.399290	-1.552950
0.270675	953.014272	0.450187	-1.490637
0.271674	959.602418	0.444609	-1.693534
0.272672	946.584982	0.348047	-1.615687
0.273671	956.334633	0.285695	-1.742615
0.274670	946.584982	0.348047	-1.615687
0.275669	946.584982	0.348047	-1.615687
0.276668	946.584982	0.348047	-1.615687
0.277666	949.741693	0.398583	-1.441276
0.278665	949.814573	0.508831	-1.558344
0.279664	946.584982	0.348047	-1.615687
0.280663	949.799627	0.399290	-1.552950
0.281662	949.819367	0.400447	-1.656419
0.282660	953.057260	0.341721	-1.596550
0.283659	946.527048	0.347335	-1.503637
0.284658	946.584982	0.348047	-1.615687
0.285657	946.527048	0.347335	-1.503637
0.286656	946.584982	0.348047	-1.615687
0.287654	946.584982	0.348047	-1.615687
0.288653	946.541994	0.457255	-1.509050
0.289652	946.584982	0.348047	-1.615687
0.290651	936.816876	0.413326	-1.582711
0.291650	949.799627	0.399290	-1.552950
0.292648	946.527048	0.347335	-1.503637
0.293647	949.799627	0.399290	-1.552950
0.294646	946.527048	0.347335	-1.503637
0.295645	949.799627	0.399290	-1.552950
0.296644	949.799627	0.399290	-1.552950
0.297642	946.584982	0.348047	-1.615687
0.298641	949.799627	0.399290	-1.552950
0.299640	949.799627	0.399290	-1.552950
0.300639	946.584982	0.348047	-1.615687
0.301638	949.799627	0.399290	-1.552950
0.302636	949.799627	0.399290	-1.552950
0.303635	949.799627	0.399290	-1.552950
0.304634	946.584982	0.348047	-1.615687
0.305633	943.269415	0.405322	-1.459415
0.306632	946.527048	0.347335	-1.503637
0.307630	946.584982	0.348047	-1.615687
0.308629	953.057260	0.341721	-1.596550
0.309628	949.799627	0.399290	-1.552950
0.310627	949.799627	0.399290	-1.552950
0.311626	946.561733	0.458415	-1.612876
0.312624	949.799627	0.399290	-1.552950
0.313623	949.799627	0.399290	-1.552950
0.314622	953.057260	0.341721	-1.596550
0.315621	959.572527	0.227756	-1.682861
0.316620	949.842615	0.290459	-1.659219
0.317618	946.541994	0.457255	-1.509050
0.318617	956.275414	0.282242	-1.434316
0.319616	949.842615	0.290459	-1.659219
0.320615	949.799627	0.399290	-1.552950
0.321614	953.057260	0.341721	-1.596550
0.322612	946.570036	0.238130	-1.610276
0.323611	946.527048	0.347335	-1.503637
0.324610	953.057260	0.341721	-1.596550
0.325609	946.546787	0.348496	-1.607465
0.326608	953.057260	0.341721	-1.596550
0.327606	949.784681	0.289745	-1.547557
0.328605	953.057260	0.341721	-1.596550
0.329604	953.100248	0.233265	-1.702453
0.330603	949.784681	0.289745	-1.547557
0.331602	953.057260	0.341721	-1.596550
0.332600	949.784681	0.289745	-1.547557
0.333599	953.057260	0.341721	-1.596550
0.334598	953.057260	0.341721	-1.596550
0.335597	953.057260	0.341721	-1.596550
0.336596	949.799627	0.399290	-1.552950
0.337594	949.784681	0.289745	-1.547557
0.338593	953.057260	0.341721	-1.596550
0.339592	949.784681	0.289745	-1.547557
0.340591	953.057260	0.341721	-1.596550
0.341590	949.784681	0.289745	-1.547557
0.342588	953.057260	0.341721	-1.596550
0.343587	953.057260	0.341721	-1.596550
0.344586	953.057260	0.341721	-1.596550
0.345585	956.271905	0.392638	-1.534302
0.346584	949.784681	0.289745	-1.547557
0.347582	946.570036	0.238130	-1.610276
0.348581	953.057260	0.341721	-1.596550
0.349580	953.057260	0.341721	-1.596550
0.350579	949.799627	0.399290	-1.552950
0.351578	956.318402	0.174153	-1.539870
0.352576	949.842615	0.290459	-1.659219
0.353575	953.057260	0.341721	-1.596550
0.354574	949.784681	0.289745	-1.547557
0.355573	949.842615	0.290459	-1.659219
0.356572	946.546787	0.348496	-1.607465
0.357570	949.842615	0.290459	-1.659219
0.358569	956.295154	0.283393	-1.537086
0.359568	949.784681	0.289745	-1.547557
0.360567	949.784681	0.289745	-1.547557
0.361566	953.057260	0.341721	-1.596550
0.362564	953.057260	0.341721	-1.596550
0.363563	953.057260	0.341721	-1.596550
0.364562	946.570036	0.238130	-1.610276
0.365561	946.546787	0.348496	-1.607465
0.366560	946.570036	0.238130	-1.610276
0.367558	946.570036	0.238130	-1.610276
0.368557	949.784681	0.289745	-1.547557
0.369556	959.587473	0.336184	-1.688198
0.370555	949.784681	0.289745	-1.547557
0.371554	953.057260	0.341721	-1.596550
0.372552	949.842615	0.290459	-1.659219
0.373551	946.570036	0.238130	-1.610276
0.374550	949.784681	0.289745	-1.547557
0.375549	946.546787	0.348496	-1.607465
0.376548	953.057260	0.341721	-1.596550
0.377546	949.784681	0.289745	-1.547557
0.378545	946.527048	0.347335	-1.503637
0.379544	946.604721	0.349209	-1.719506
0.380543	946.570036	0.238130	-1.610276
0.381542	946.527048	0.347335	-1.503637
0.382540	946.570036	0.238130	-1.610276
0.383539	949.784681	0.289745	-1.547557
0.384538	949.784681	0.289745	-1.547557
0.385537	949.784681	0.289745	-1.547557
0.386536	953.057260	0.341721	-1.596550
0.387534	946.570036	0.238130	-1.610276
0.388533	949.784681	0.289745	-1.547557
0.389532	946.546787	0.348496	-1.607465
0.390531	949.784681	0.289745	-1.547557
0.391530	949.784681	0.289745	-1.547557
0.392528	940.074509	0.354913	-1.626810
0.393527	946.527048	0.347335	-1.503637
0.394526	946.570036	0.238130	-1.610276
0.395525	949.799627	0.399290	-1.552950
0.396524	946.546787	0.348496	-1.607465
0.397522	949.784681	0.289745	-1.547557
0.398521	949.807930	0.179756	-1.550359
0.399520	943.289154	0.406486	-1.563602
0.400519	943.312403	0.295737	-1.566424
0.401518	949.784681	0.289745	-1.547557
0.402516	943.312403	0.295737	-1.566424
0.403515	946.546787	0.348496	-1.607465
0.404514	946.570036	0.238130	-1.610276
0.405513	946.570036	0.238130	-1.610276
0.406512	943.332142	0.296904	-1.670604
0.407510	943.332142	0.296904	-1.670604
0.408509	943.312403	0.295737	-1.566424
0.409508	943.269415	0.405322	-1.459415
0.410507	946.546787	0.348496	-1.607465
0.411506	946.570036	0.238130	-1.610276
0.412504	943.297457	0.185437	-1.560993
0.413503	949.784681	0.289745	-1.547557
0.414502	946.546787	0.348496	-1.607465
0.415501	946.546787	0.348496	-1.607465
0.416500	943.254469	0.295019	-1.453983
0.417498	946.546787	0.348496	-1.607465
0.418497	949.784681	0.289745	-1.547557
