Time (s)	Fz	COPx	COPy
0.000000	921.391821	-2.054422	-2.618672
0.000999	921.391821	-2.054422	-2.618672
0.001998	924.664400	-1.992554	-2.665378
0.002996	918.134188	-2.003369	-2.577195
0.003995	918.134188	-2.003369	-2.577195
0.004994	927.844360	-2.045398	-2.486122
0.005993	918.177176	-2.115841	-2.687081
0.006992	918.134188	-2.003369	-2.577195
0.007990	921.348833	-1.942340	-2.509166
0.008989	918.134188	-2.003369	-2.577195
0.009988	918.134188	-2.003369	-2.577195
0.010987	921.406767	-1.941464	-2.624214
0.011986	911.623715	-2.013082	-2.595531
0.012984	918.110939	-1.889641	-2.574321
0.013983	914.853306	-1.837818	-2.532538
0.014982	908.366082	-1.961332	-2.553526
0.015981	911.638661	-1.898914	-2.601134
0.016980	911.603975	-2.014339	-2.487748
0.017978	911.623715	-2.013082	-2.595531
0.018977	908.400767	-1.845497	-2.667313
0.019976	908.342833	-1.846379	-2.550621
0.020975	908.366082	-1.961332	-2.553526
0.021974	905.128188	-1.907945	-2.619774
0.022972	905.128188	-1.907945	-2.619774
0.023971	905.128188	-1.907945	-2.619774
0.024970	911.643455	-2.011824	-2.703311
0.025969	905.128188	-1.907945	-2.619774
0.026968	905.128188	-1.907945	-2.619774
0.027966	908.366082	-1.961332	-2.553526
0.028965	911.557478	-1.785248	-2.481955
0.029964	905.128188	-1.907945	-2.619774
0.030963	901.870555	-1.855443	-2.577553
0.031962	908.385821	-1.960071	-2.661692
0.032960	901.870555	-1.855443	-2.577553
0.033959	901.870555	-1.855443	-2.577553
0.034958	901.870555	-1.855443	-2.577553
0.035957	901.870555	-1.855443	-2.577553
0.036956	895.360082	-1.864256	-2.596226
0.037954	895.375028	-1.748017	-2.601930
0.038953	895.360082	-1.864256	-2.596226
0.039952	895.375028	-1.748017	-2.601930
0.040951	895.418016	-1.863360	-2.714607
0.041950	895.398276	-1.864637	-2.604875
0.042948	895.375028	-1.748017	-2.601930
0.043947	888.887804	-1.873582	-2.623884
0.044946	892.125697	-1.928065	-2.556414
0.045945	892.082709	-1.812300	-2.443313
0.046944	895.375028	-1.748017	-2.601930
0.047942	895.403070	-1.979595	-2.708905
0.048941	892.102449	-1.811019	-2.553457
0.049940	895.375028	-1.748017	-2.601930
0.050939	892.137134	-1.693079	-2.669318
0.051938	892.102449	-1.811019	-2.553457
0.052936	879.099958	-1.830004	-2.488177
0.053935	888.844816	-1.757392	-2.510374
0.054934	882.372537	-1.766003	-2.537607
0.055933	888.829870	-1.874485	-2.504627
0.056932	885.606922	-1.702083	-2.577925
0.057930	892.082709	-1.812300	-2.443313
0.058929	892.059461	-1.695245	-2.440352
0.059928	882.334343	-1.765612	-2.528826
0.060927	879.134644	-1.710318	-2.605755
0.061926	882.349289	-1.647659	-2.534616
0.062924	888.844816	-1.757392	-2.510374
0.063923	882.349289	-1.647659	-2.534616
0.064922	879.076710	-1.711221	-2.485174
0.065921	888.879501	-1.639021	-2.626662
0.066920	882.392277	-1.764709	-2.648960
0.067918	888.801828	-1.641191	-2.396853
0.068917	879.076710	-1.711221	-2.485174
0.069916	882.392277	-1.764709	-2.648960
0.070915	882.392277	-1.764709	-2.648960
0.071914	879.076710	-1.711221	-2.485174
0.072912	882.349289	-1.647659	-2.534616
0.073911	875.862065	-1.774348	-2.556398
0.074910	875.838816	-1.655124	-2.553385
