Time (s)	Fz	COPx	COPy
0.000000	536.517304	0.467210	-5.289593
0.000999	536.517304	0.467210	-5.289593
0.001998	536.517304	0.467210	-5.289593
0.002996	539.731949	0.556675	-5.157309
0.003995	539.755198	0.363116	-5.162086
0.004994	536.517304	0.467210	-5.289593
0.005993	536.517304	0.467210	-5.289593
0.006992	543.027777	0.453895	-5.226290
0.007990	536.517304	0.467210	-5.289593
0.008989	539.731949	0.556675	-5.157309
0.009988	536.517304	0.467210	-5.289593
0.010987	536.517304	0.467210	-5.289593
0.011986	539.789883	0.557902	-5.353409
0.012984	539.774938	0.365153	-5.344024
0.013983	539.755198	0.363116	-5.162086
0.014982	536.517304	0.467210	-5.289593
0.015981	542.993092	0.260263	-5.036100
0.016980	536.540553	0.272494	-5.294392
0.017978	536.517304	0.467210	-5.289593
0.018977	543.027777	0.453895	-5.226290
0.019976	528.350802	0.432489	-5.136188
0.020975	543.004529	0.646292	-5.221545
0.021974	536.517304	0.467210	-5.289593
0.022972	533.279411	0.572568	-5.418648
0.023971	536.517304	0.467210	-5.289593
0.024970	536.517304	0.467210	-5.289593
0.025969	539.789883	0.557902	-5.353409
0.026968	543.012831	0.262292	-5.216957
0.027966	539.731949	0.556675	-5.157309
0.028965	543.004529	0.646292	-5.221545
0.029964	539.789883	0.557902	-5.353409
0.030963	539.755198	0.363116	-5.162086
0.031962	536.517304	0.467210	-5.289593
0.032960	539.731949	0.556675	-5.157309
0.033959	549.500055	0.441676	-5.150571
0.034958	536.517304	0.467210	-5.289593
0.035957	539.789883	0.557902	-5.353409
0.036956	533.279411	0.572568	-5.418648
0.037954	539.755198	0.363116	-5.162086
0.038953	539.731949	0.556675	-5.157309
0.039952	539.731949	0.556675	-5.157309
0.040951	536.517304	0.467210	-5.289593
0.041950	536.517304	0.467210	-5.289593
0.042948	539.755198	0.363116	-5.162086
0.043947	539.755198	0.363116	-5.162086
0.044946	539.731949	0.556675	-5.157309
0.045945	539.755198	0.363116	-5.162086
0.046944	539.789883	0.557902	-5.353409
0.047942	531.608436	0.329077	-5.192395
0.048941	542.969843	0.452664	-5.031346
0.049940	536.517304	0.467210	-5.289593
0.050939	539.755198	0.363116	-5.162086
0.051938	539.755198	0.363116	-5.162086
0.052936	536.517304	0.467210	-5.289593
0.053935	539.731949	0.556675	-5.157309
0.054934	536.517304	0.467210	-5.289593
0.055933	531.608436	0.329077	-5.192395
0.056932	536.517304	0.467210	-5.289593
0.057930	539.755198	0.363116	-5.162086
0.058929	536.517304	0.467210	-5.289593
0.059928	536.517304	0.467210	-5.289593
0.060927	536.517304	0.467210	-5.289593
0.061926	531.608436	0.329077	-5.192395
0.062924	533.302659	0.376665	-5.423471
0.063923	534.846329	0.224864	-5.064307
0.064922	536.517304	0.467210	-5.289593
0.065921	539.731949	0.556675	-5.157309
0.066920	530.041517	0.679213	-5.549280
0.067918	536.517304	0.467210	-5.289593
0.068917	539.789883	0.557902	-5.353409
0.069916	536.517304	0.467210	-5.289593
0.070915	531.631684	0.132570	-5.197244
0.071914	539.755198	0.363116	-5.162086
0.072912	536.517304	0.467210	-5.289593
0.073911	531.608436	0.329077	-5.192395
0.074910	539.755198	0.363116	-5.162086
0.075909	533.259671	0.570514	-5.234497
