Time (s)	Fz	COPx	COPy
0.000000	838.150990	-0.355849	-2.997981
0.000999	838.150990	-0.355849	-2.997981
0.001998	841.388884	-0.419458	-2.925003
0.002996	841.408623	-0.418133	-3.041771
0.003995	838.150990	-0.355849	-2.997981
0.004994	834.936345	-0.416852	-3.074670
0.005993	838.150990	-0.355849	-2.997981
0.006992	834.936345	-0.416852	-3.074670
0.007990	841.408623	-0.418133	-3.041771
0.008989	841.388884	-0.419458	-2.925003
0.009988	838.150990	-0.355849	-2.997981
0.010987	841.408623	-0.418133	-3.041771
0.011986	831.663766	-0.479194	-3.024535
0.012984	834.878411	-0.417713	-2.947738
0.013983	834.936345	-0.416852	-3.074670
0.014982	831.620778	-0.354937	-2.903235
0.015981	841.388884	-0.419458	-2.925003
0.016980	838.150990	-0.355849	-2.997981
0.017978	841.423569	-0.294467	-3.047833
0.018977	838.150990	-0.355849	-2.997981
0.019976	831.640517	-0.353598	-3.021375
0.020975	838.150990	-0.355849	-2.997981
0.021974	841.408623	-0.418133	-3.041771
0.022972	841.388884	-0.419458	-2.925003
0.023971	841.423569	-0.294467	-3.047833
0.024970	841.423569	-0.294467	-3.047833
0.025969	841.423569	-0.294467	-3.047833
0.026968	838.165936	-0.231703	-3.004067
0.027966	838.150990	-0.355849	-2.997981
0.028965	838.165936	-0.231703	-3.004067
0.029964	838.150990	-0.355849	-2.997981
0.030963	841.443309	-0.293145	-3.164593
0.031962	834.936345	-0.416852	-3.074670
0.032960	844.638214	-0.234398	-2.971835
0.033959	834.878411	-0.417713	-2.947738
0.034958	841.423569	-0.294467	-3.047833
0.035957	841.423569	-0.294467	-3.047833
0.036956	838.208924	-0.354996	-3.124414
0.037954	844.681202	-0.356746	-3.091262
0.038953	841.423569	-0.294467	-3.047833
0.039952	847.895848	-0.296673	-3.015390
0.040951	838.165936	-0.231703	-3.004067
0.041950	838.150990	-0.355849	-2.997981
0.042948	834.913096	-0.291746	-3.071524
0.043947	834.971030	-0.290894	-3.198443
0.044946	831.698451	-0.352739	-3.148797
0.045945	838.185676	-0.230377	-3.121282
0.046944	834.971030	-0.290894	-3.198443
0.047942	834.936345	-0.416852	-3.074670
0.048941	841.423569	-0.294467	-3.047833
0.049940	838.243609	-0.229532	-3.247702
0.050939	838.208924	-0.354996	-3.124414
0.051938	838.170730	-0.354520	-3.115198
0.052936	841.423569	-0.294467	-3.047833
0.053935	838.208924	-0.354996	-3.124414
0.054934	834.971030	-0.290894	-3.198443
0.055933	838.208924	-0.354996	-3.124414
0.056932	838.185676	-0.230377	-3.121282
0.057930	838.185676	-0.230377	-3.121282
0.058929	831.713397	-0.227629	-3.154927
0.059928	838.185676	-0.230377	-3.121282
0.060927	838.185676	-0.230377	-3.121282
0.061926	834.971030	-0.290894	-3.198443
0.062924	834.971030	-0.290894	-3.198443
0.063923	838.185676	-0.230377	-3.121282
0.064922	834.971030	-0.290894	-3.198443
0.065921	834.913096	-0.291746	-3.071524
0.066920	838.185676	-0.230377	-3.121282
0.067918	838.185676	-0.230377	-3.121282
0.068917	834.971030	-0.290894	-3.198443
0.069916	834.971030	-0.290894	-3.198443
0.070915	841.458255	-0.169485	-3.170653
0.071914	838.185676	-0.230377	-3.121282
0.072912	834.971030	-0.290894	-3.198443
0.073911	838.243609	-0.229532	-3.247702
0.074910	841.458255	-0.169485	-3.170653
0.075909	838.185676	-0.230377	-3.121282
0.076908	838.185676	-0.230377	-3.121282
0.077906	831.713397	-0.227629	-3.154927
0.078905	838.243609	-0.229532	-3.247702
0.079904	838.243609	-0.229532	-3.247702
0.080903	834.971030	-0.290894	-3.198443
0.081902	838.185676	-0.230377	-3.121282
0.082900	838.243609	-0.229532	-3.247702
0.083899	838.243609	-0.229532	-3.247702
0.084898	838.243609	-0.229532	-3.247702
0.085897	838.243609	-0.229532	-3.247702
0.086896	838.243609	-0.229532	-3.247702
0.087894	834.971030	-0.290894	-3.198443
0.088893	838.243609	-0.229532	-3.247702
0.089892	838.243609	-0.229532	-3.247702
0.090891	841.458255	-0.169485	-3.170653
0.091890	834.971030	-0.290894	-3.198443
0.092888	835.005716	-0.164947	-3.322205
0.093887	835.005716	-0.164947	-3.322205
0.094886	834.928042	-0.167120	-3.077633
0.095885	831.655463	-0.228480	-3.027509
0.096884	835.005716	-0.164947	-3.322205
0.097882	838.243609	-0.229532	-3.247702
0.098881	834.982467	-0.039845	-3.319067
0.099880	838.243609	-0.229532	-3.247702
0.100879	838.220361	-0.104915	-3.244573
0.101878	844.715888	-0.232244	-3.213606
0.102876	841.458255	-0.169485	-3.170653
0.103875	835.005716	-0.164947	-3.322205
0.104874	841.458255	-0.169485	-3.170653
0.105873	838.220361	-0.104915	-3.244573
0.106872	838.243609	-0.229532	-3.247702
0.107870	831.767822	-0.099859	-3.397289
0.108869	838.243609	-0.229532	-3.247702
0.109868	835.005716	-0.164947	-3.322205
0.110867	838.220361	-0.104915	-3.244573
0.111866	831.748083	-0.101191	-3.279176
0.112864	835.005716	-0.164947	-3.322205
0.113863	835.005716	-0.164947	-3.322205
0.114862	835.005716	-0.164947	-3.322205
0.115861	841.458255	-0.169485	-3.170653
0.116860	841.458255	-0.169485	-3.170653
0.117858	835.005716	-0.164947	-3.322205
0.118857	838.278295	-0.104080	-3.370979
0.119856	835.005716	-0.164947	-3.322205
0.120855	835.020662	-0.040336	-3.328309
0.121854	835.040401	-0.039010	-3.445958
0.122852	835.005716	-0.164947	-3.322205
0.123851	841.458255	-0.169485	-3.170653
0.124850	838.243609	-0.229532	-3.247702
0.125849	835.005716	-0.164947	-3.322205
0.126848	835.005716	-0.164947	-3.322205
0.127846	831.713397	-0.227629	-3.154927
0.128845	835.005716	-0.164947	-3.322205
0.129844	838.278295	-0.104080	-3.370979
0.130843	841.481503	-0.293621	-3.173771
0.131842	838.220361	-0.104915	-3.244573
0.132840	835.005716	-0.164947	-3.322205
0.133839	838.263349	-0.228207	-3.364900
0.134838	841.507886	0.079134	-3.299519
0.135837	844.730834	-0.109065	-3.219641
0.136836	835.005716	-0.164947	-3.322205
0.137834	838.220361	-0.104915	-3.244573
0.138833	838.220361	-0.104915	-3.244573
0.139832	838.278295	-0.104080	-3.370979
0.140831	838.220361	-0.104915	-3.244573
0.141830	844.808507	-0.106923	-3.461362
0.142828	834.985976	-0.166276	-3.204549
0.143827	835.005716	-0.164947	-3.322205
0.144826	831.748083	-0.101191	-3.279176
0.145825	831.748083	-0.101191	-3.279176
0.146824	838.278295	-0.104080	-3.370979
0.147822	838.278295	-0.104080	-3.370979
0.148821	838.220361	-0.104915	-3.244573
0.149820	834.982467	-0.039845	-3.319067
0.150819	841.492940	-0.044514	-3.293462
0.151818	838.220361	-0.104915	-3.244573
0.152816	831.748083	-0.101191	-3.279176
0.153815	838.220361	-0.104915	-3.244573
0.154814	838.177373	0.018389	-3.124233
0.155813	834.962728	-0.041171	-3.201407
0.156812	835.005716	-0.164947	-3.322205
0.157810	844.793561	-0.230091	-3.455332
0.158809	831.767822	-0.099859	-3.397289
0.159808	835.005716	-0.164947	-3.322205
0.160807	838.235307	0.019216	-3.250654
0.161806	841.492940	-0.044514	-3.293462
0.162804	838.220361	-0.104915	-3.244573
0.163803	834.985976	-0.166276	-3.204549
0.164802	838.220361	-0.104915	-3.244573
0.165801	831.748083	-0.101191	-3.279176
0.166800	835.005716	-0.164947	-3.322205
0.167798	844.765519	0.015419	-3.341972
0.168797	838.278295	-0.104080	-3.370979
0.169796	838.220361	-0.104915	-3.244573
0.170795	841.415267	-0.046659	-3.050772
0.171794	835.005716	-0.164947	-3.322205
0.172792	834.962728	-0.041171	-3.201407
0.173791	835.005716	-0.164947	-3.322205
0.174790	838.235307	0.019216	-3.250654
0.175789	831.748083	-0.101191	-3.279176
0.176788	838.258555	-0.105402	-3.253783
0.177786	834.985976	-0.166276	-3.204549
0.178785	834.962728	-0.041171	-3.201407
0.179784	835.020662	-0.040336	-3.328309
0.180783	831.748083	-0.101191	-3.279176
0.181782	834.962728	-0.041171	-3.201407
0.182780	834.962728	-0.041171	-3.201407
0.183779	835.005716	-0.164947	-3.322205
0.184778	834.962728	-0.041171	-3.201407
0.185777	838.235307	0.019216	-3.250654
0.186776	844.745780	0.014110	-3.225675
0.187774	838.200621	-0.106238	-3.127366
0.188773	841.458255	-0.169485	-3.170653
0.189772	835.020662	-0.040336	-3.328309
0.190771	838.220361	-0.104915	-3.244573
0.191770	834.962728	-0.041171	-3.201407
0.192768	838.220361	-0.104915	-3.244573
0.193767	844.730834	-0.109065	-3.219641
0.194766	831.748083	-0.101191	-3.279176
0.195765	834.962728	-0.041171	-3.201407
0.196764	835.020662	-0.040336	-3.328309
0.197762	841.492940	-0.044514	-3.293462
0.198761	834.962728	-0.041171	-3.201407
0.199760	834.962728	-0.041171	-3.201407
0.200759	834.997413	0.084767	-3.325170
0.201758	838.235307	0.019216	-3.250654
0.202756	838.200621	-0.106238	-3.127366
0.203755	841.449952	0.078314	-3.173593
0.204754	841.473200	-0.045830	-3.176712
0.205753	838.235307	0.019216	-3.250654
0.206752	844.722531	0.137774	-3.222570
0.207750	841.516188	-0.168648	-3.296577
0.208749	838.235307	0.019216	-3.250654
0.209748	831.782768	0.025236	-3.403415
0.210747	844.664597	0.136961	-3.097118
0.211746	838.235307	0.019216	-3.250654
0.212744	835.020662	-0.040336	-3.328309
0.213743	838.235307	0.019216	-3.250654
0.214742	838.235307	0.019216	-3.250654
0.215741	838.235307	0.019216	-3.250654
0.216740	844.687846	0.013288	-3.100227
0.217738	835.020662	-0.040336	-3.328309
0.218737	838.235307	0.019216	-3.250654
0.219736	841.492940	-0.044514	-3.293462
0.220735	841.507886	0.079134	-3.299519
0.221734	838.235307	0.019216	-3.250654
0.222732	834.962728	-0.041171	-3.201407
0.223731	834.997413	0.084767	-3.325170
0.224730	841.473200	-0.045830	-3.176712
0.225729	838.235307	0.019216	-3.250654
0.226728	835.020662	-0.040336	-3.328309
0.227726	841.507886	0.079134	-3.299519
0.228725	838.258555	-0.105402	-3.253783
0.229724	841.507886	0.079134	-3.299519
0.230723	841.492940	-0.044514	-3.293462
0.231722	838.235307	0.019216	-3.250654
0.232720	834.997413	0.084767	-3.325170
0.233719	841.473200	-0.045830	-3.176712
0.234718	841.473200	-0.045830	-3.176712
0.235717	841.449952	0.078314	-3.173593
0.236716	841.449952	0.078314	-3.173593
0.237714	841.449952	0.078314	-3.173593
0.238713	841.492940	-0.044514	-3.293462
0.239712	838.235307	0.019216	-3.250654
0.240711	838.235307	0.019216	-3.250654
0.241710	838.235307	0.019216	-3.250654
0.242708	841.449952	0.078314	-3.173593
0.243707	841.449952	0.078314	-3.173593
0.244706	838.235307	0.019216	-3.250654
0.245705	841.449952	0.078314	-3.173593
0.246704	838.235307	0.019216	-3.250654
0.247702	838.235307	0.019216	-3.250654
0.248701	838.235307	0.019216	-3.250654
0.249700	838.235307	0.019216	-3.250654
0.250699	838.235307	0.019216	-3.250654
0.251698	841.449952	0.078314	-3.173593
0.252696	841.449952	0.078314	-3.173593
0.253695	841.449952	0.078314	-3.173593
0.254694	841.449952	0.078314	-3.173593
0.255693	838.235307	0.019216	-3.250654
0.256692	841.449952	0.078314	-3.173593
0.257690	838.212058	0.143841	-3.247525
0.258689	838.235307	0.019216	-3.250654
0.259688	841.449952	0.078314	-3.173593
0.260687	841.449952	0.078314	-3.173593
0.261686	838.177373	0.018389	-3.124233
0.262684	841.449952	0.078314	-3.173593
0.263683	834.977674	0.083443	-3.207512
0.264682	841.473200	-0.045830	-3.176712
0.265681	841.449952	0.078314	-3.173593
0.266680	844.687846	0.013288	-3.100227
0.267678	838.235307	0.019216	-3.250654
0.268677	838.177373	0.018389	-3.124233
0.269676	834.919740	0.082617	-3.080595
0.270675	838.192319	0.142524	-3.130317
0.271674	838.192319	0.142524	-3.130317
0.272672	841.449952	0.078314	-3.173593
0.273671	841.449952	0.078314	-3.173593
0.274670	834.977674	0.083443	-3.207512
0.275669	841.449952	0.078314	-3.173593
0.276668	841.449952	0.078314	-3.173593
0.277666	834.919740	0.082617	-3.080595
0.278665	841.449952	0.078314	-3.173593
0.279664	834.934686	0.207236	-3.086703
0.280663	838.192319	0.142524	-3.130317
0.281662	838.192319	0.142524	-3.130317
0.282660	841.449952	0.078314	-3.173593
0.283659	844.664597	0.136961	-3.097118
0.284658	838.177373	0.018389	-3.124233
0.285657	838.192319	0.142524	-3.130317
0.286656	834.919740	0.082617	-3.080595
0.287654	844.687846	0.013288	-3.100227
0.288653	844.664597	0.136961	-3.097118
0.289652	841.449952	0.078314	-3.173593
0.290651	838.192319	0.142524	-3.130317
0.291650	841.449952	0.078314	-3.173593
0.292648	838.192319	0.142524	-3.130317
0.293647	831.720040	0.148174	-3.164032
0.294646	826.825006	0.248735	-3.267061
0.295645	834.954425	0.208557	-3.204370
0.296644	838.192319	0.142524	-3.130317
0.297642	834.919740	0.082617	-3.080595
0.298641	834.919740	0.082617	-3.080595
0.299640	838.192319	0.142524	-3.130317
0.300639	834.919740	0.082617	-3.080595
0.301638	841.430212	0.077000	-3.056834
0.302636	841.449952	0.078314	-3.173593
0.303635	841.426704	0.202464	-3.170474
0.304634	838.192319	0.142524	-3.130317
0.305633	838.192319	0.142524	-3.130317
0.306632	838.192319	0.142524	-3.130317
0.307630	838.192319	0.142524	-3.130317
0.308629	841.406964	0.201154	-3.053712
0.309628	838.134385	0.141706	-3.003881
0.310627	834.954425	0.208557	-3.204370
0.311626	838.192319	0.142524	-3.130317
0.312624	834.876752	0.206419	-2.959771
0.313623	841.406964	0.201154	-3.053712
0.314622	841.464898	0.201965	-3.179652
0.315621	841.406964	0.201154	-3.053712
0.316620	838.149331	0.265845	-3.009968
0.317618	841.406964	0.201154	-3.053712
0.318617	838.192319	0.142524	-3.130317
0.319616	841.406964	0.201154	-3.053712
0.320615	841.387224	0.199843	-2.936944
0.321614	838.134385	0.141706	-3.003881
0.322612	834.934686	0.207236	-3.086703
0.323611	841.406964	0.201154	-3.053712
0.324610	834.896491	0.207739	-3.077449
0.325609	828.447461	0.087821	-3.114055
0.326608	841.406964	0.201154	-3.053712
0.327606	834.876752	0.206419	-2.959771
0.328605	838.149331	0.265845	-3.009968
0.329604	834.876752	0.206419	-2.959771
0.330603	838.149331	0.265845	-3.009968
0.331602	838.149331	0.265845	-3.009968
0.332600	838.149331	0.265845	-3.009968
0.333599	841.329291	0.199032	-2.810975
0.334598	838.114645	0.140388	-2.886656
0.335597	838.149331	0.265845	-3.009968
0.336596	844.644858	0.135654	-2.980802
0.337594	838.149331	0.265845	-3.009968
0.338593	834.876752	0.206419	-2.959771
0.339592	838.149331	0.265845	-3.009968
0.340591	841.421910	0.324810	-3.059773
0.341590	834.876752	0.206419	-2.959771
0.342588	838.091397	0.265035	-2.883517
0.343587	834.911437	0.332359	-3.083558
0.344586	838.149331	0.265845	-3.009968
0.345585	838.114645	0.140388	-2.886656
0.346584	838.149331	0.265845	-3.009968
0.347582	834.876752	0.206419	-2.959771
0.348581	838.149331	0.265845	-3.009968
0.349580	834.876752	0.206419	-2.959771
0.350579	834.911437	0.332359	-3.083558
0.351578	841.363976	0.324007	-2.933818
0.352576	838.091397	0.265035	-2.883517
0.353575	838.114645	0.140388	-2.886656
0.354574	838.149331	0.265845	-3.009968
0.355573	841.383716	0.325314	-3.050589
0.356572	841.387224	0.199843	-2.936944
0.357570	834.876752	0.206419	-2.959771
0.358569	838.114645	0.140388	-2.886656
0.359568	841.363976	0.324007	-2.933818
0.360567	838.114645	0.140388	-2.886656
0.361566	841.329291	0.199032	-2.810975
0.362564	847.863012	0.069352	-2.792569
0.363563	838.114645	0.140388	-2.886656
0.364562	838.091397	0.265035	-2.883517
0.365561	838.091397	0.265035	-2.883517
0.366560	844.601870	0.258033	-2.861364
0.367558	841.363976	0.324007	-2.933818
0.368557	841.329291	0.199032	-2.810975
0.369556	844.601870	0.258033	-2.861364
0.370555	844.601870	0.258033	-2.861364
0.371554	831.584433	0.145197	-2.791032
0.372552	841.329291	0.199032	-2.810975
0.373551	841.329291	0.199032	-2.810975
0.374550	841.329291	0.199032	-2.810975
0.375549	841.329291	0.199032	-2.810975
0.376548	838.071657	0.263721	-2.766283
0.377546	844.601870	0.258033	-2.861364
0.378545	841.329291	0.199032	-2.810975
0.379544	841.329291	0.199032	-2.810975
0.380543	841.329291	0.199032	-2.810975
0.381542	844.567184	0.133534	-2.738989
0.382540	841.329291	0.199032	-2.810975
0.383539	841.329291	0.199032	-2.810975
0.384538	838.071657	0.263721	-2.766283
0.385537	831.541445	0.269498	-2.669709
0.386536	844.567184	0.133534	-2.738989
0.387534	838.071657	0.263721	-2.766283
0.388533	841.329291	0.199032	-2.810975
0.389532	841.329291	0.199032	-2.810975
0.390531	841.329291	0.199032	-2.810975
0.391530	838.071657	0.263721	-2.766283
0.392528	841.329291	0.199032	-2.810975
0.393527	838.071657	0.263721	-2.766283
0.394526	841.329291	0.199032	-2.810975
0.395525	841.309551	0.197721	-2.694191
0.396524	838.071657	0.263721	-2.766283
0.397522	838.071657	0.263721	-2.766283
0.398521	838.071657	0.263721	-2.766283
0.399520	838.071657	0.263721	-2.766283
0.400519	834.833764	0.330233	-2.838935
0.401518	838.071657	0.263721	-2.766283
0.402516	841.329291	0.199032	-2.810975
0.403515	834.814024	0.328915	-2.721243
0.404514	841.329291	0.199032	-2.810975
0.405513	838.071657	0.263721	-2.766283
0.406512	838.071657	0.263721	-2.766283
0.407510	838.071657	0.263721	-2.766283
0.408509	838.071657	0.263721	-2.766283
0.409508	838.071657	0.263721	-2.766283
0.410507	838.071657	0.263721	-2.766283
0.411506	841.314345	0.075360	-2.804908
0.412504	831.541445	0.269498	-2.669709
0.413503	838.028669	0.387066	-2.645898
0.414502	841.274866	0.072732	-2.571330
0.415501	838.071657	0.263721	-2.766283
0.416500	838.071657	0.263721	-2.766283
0.417498	841.286303	0.321896	-2.691058
0.418497	831.556391	0.394620	-2.675849
0.419496	841.329291	0.199032	-2.810975
0.420495	841.286303	0.321896	-2.691058
0.421494	841.309551	0.197721	-2.694191
0.422492	834.799078	0.204280	-2.715127
0.423491	841.286303	0.321896	-2.691058
0.424490	834.814024	0.328915	-2.721243
0.425489	841.286303	0.321896	-2.691058
0.426488	844.527705	0.130920	-2.506307
0.427486	837.993984	0.261596	-2.522554
0.428485	838.028669	0.387066	-2.645898
0.429484	841.243315	0.444772	-2.571129
0.430483	834.756090	0.328106	-2.594267
0.431482	838.028669	0.387066	-2.645898
0.432480	847.801569	0.193058	-2.780337
0.433479	838.028669	0.387066	-2.645898
0.434478	841.286303	0.321896	-2.691058
0.435477	838.013723	0.262910	-2.639804
0.436476	834.756090	0.328106	-2.594267
0.437474	837.993984	0.261596	-2.522554
