Time (s)	Fz	COPx	COPy
0.000000	763.570306	-2.461716	2.141511
0.000999	770.022845	-2.447429	2.261339
0.001998	766.842885	-2.385377	2.064877
0.002996	766.784951	-2.386463	2.203470
0.003995	763.527318	-2.326489	2.273919
0.004994	763.547057	-2.324980	2.145110
0.005993	773.237490	-2.372863	2.322283
0.006992	763.570306	-2.461716	2.141511
0.007990	760.312673	-2.401811	2.211992
0.008989	763.484330	-2.191247	2.406342
0.009988	770.057530	-2.310762	2.126892
0.010987	766.784951	-2.386463	2.203470
0.011986	766.784951	-2.386463	2.203470
0.012984	763.570306	-2.461716	2.141511
0.013983	766.808199	-2.522620	2.199884
0.014982	766.784951	-2.386463	2.203470
0.015981	770.057530	-2.310762	2.126892
0.016980	766.784951	-2.386463	2.203470
0.017978	763.527318	-2.326489	2.273919
0.018977	770.022845	-2.447429	2.261339
0.019976	766.784951	-2.386463	2.203470
0.020975	766.784951	-2.386463	2.203470
0.021974	769.999596	-2.311838	2.264911
0.022972	763.512372	-2.462813	2.280703
0.023971	766.784951	-2.386463	2.203470
0.024970	766.770005	-2.522208	2.210224
0.025969	766.784951	-2.386463	2.203470
0.026968	763.570306	-2.461716	2.141511
0.027966	766.784951	-2.386463	2.203470
0.028965	763.570306	-2.461716	2.141511
0.029964	769.999596	-2.311838	2.264911
0.030963	766.784951	-2.386463	2.203470
0.031962	776.568003	-2.296783	2.108981
0.032960	763.547057	-2.324980	2.145110
0.033959	766.784951	-2.386463	2.203470
0.034958	763.512372	-2.462813	2.280703
0.035957	763.527318	-2.326489	2.273919
0.036956	766.784951	-2.386463	2.203470
0.037954	766.784951	-2.386463	2.203470
0.038953	766.784951	-2.386463	2.203470
0.039952	763.527318	-2.326489	2.273919
0.040951	763.570306	-2.461716	2.141511
0.041950	766.784951	-2.386463	2.203470
0.042948	763.527318	-2.326489	2.273919
0.043947	756.997105	-2.342487	2.423483
0.044946	766.707278	-2.389054	2.470364
0.045945	766.727017	-2.387549	2.342084
0.046944	766.741963	-2.251799	2.335326
0.047942	763.527318	-2.326489	2.273919
0.048941	763.527318	-2.326489	2.273919
0.049940	766.741963	-2.251799	2.335326
0.050939	766.799897	-2.250723	2.196716
0.051938	763.527318	-2.326489	2.273919
0.052936	766.784951	-2.386463	2.203470
0.053935	766.765211	-2.387968	2.331737
0.054934	763.512372	-2.462813	2.280703
0.055933	766.784951	-2.386463	2.203470
0.056932	769.956608	-2.177732	2.396221
0.057930	760.269685	-2.266001	2.344972
0.058929	763.527318	-2.326489	2.273919
0.059928	770.022845	-2.447429	2.261339
0.060927	763.527318	-2.326489	2.273919
0.061926	763.527318	-2.326489	2.273919
0.062924	766.741963	-2.251799	2.335326
0.063923	763.512372	-2.462813	2.280703
0.064922	773.272175	-2.236768	2.188392
0.065921	766.799897	-2.250723	2.196716
0.066920	763.527318	-2.326489	2.273919
0.067918	763.527318	-2.326489	2.273919
0.068917	766.741963	-2.251799	2.335326
0.069916	763.527318	-2.326489	2.273919
0.070915	763.527318	-2.326489	2.273919
0.071914	760.269685	-2.266001	2.344972
0.072912	760.289424	-2.264487	2.215609
0.073911	760.269685	-2.266001	2.344972
0.074910	753.759212	-2.280017	2.365310
0.075909	763.527318	-2.326489	2.273919
0.076908	760.289424	-2.264487	2.215609
0.077906	760.312673	-2.401811	2.211992
0.078905	763.527318	-2.326489	2.273919
0.079904	763.527318	-2.326489	2.273919
0.080903	757.031791	-2.203474	2.286715
0.081902	763.527318	-2.326489	2.273919
0.082900	760.246436	-2.128665	2.348593
0.083899	757.051530	-2.201955	2.156800
0.084898	766.741963	-2.251799	2.335326
0.085897	763.527318	-2.326489	2.273919
0.086896	760.289424	-2.264487	2.215609
0.087894	756.997105	-2.342487	2.423483
0.088893	756.973857	-2.204560	2.427121
0.089892	760.269685	-2.266001	2.344972
0.090891	763.527318	-2.326489	2.273919
0.091890	760.289424	-2.264487	2.215609
0.092888	757.031791	-2.203474	2.286715
0.093887	763.504069	-2.189741	2.277522
0.094886	757.031791	-2.203474	2.286715
0.095885	760.289424	-2.264487	2.215609
0.096884	760.274478	-2.401390	2.222421
0.097882	760.289424	-2.264487	2.215609
0.098881	760.289424	-2.264487	2.215609
0.099880	757.031791	-2.203474	2.286715
0.100879	760.289424	-2.264487	2.215609
0.101878	760.289424	-2.264487	2.215609
0.102876	760.289424	-2.264487	2.215609
0.103875	760.289424	-2.264487	2.215609
0.104874	757.051530	-2.201955	2.156800
0.105873	760.289424	-2.264487	2.215609
0.106872	757.031791	-2.203474	2.286715
0.107870	763.504069	-2.189741	2.277522
0.108869	757.016845	-2.340964	2.293558
0.109868	760.289424	-2.264487	2.215609
0.110867	760.289424	-2.264487	2.215609
0.111866	760.289424	-2.264487	2.215609
0.112864	760.289424	-2.264487	2.215609
0.113863	760.289424	-2.264487	2.215609
0.114862	769.991294	-2.041066	2.261757
0.115861	760.289424	-2.264487	2.215609
0.116860	757.031791	-2.203474	2.286715
0.117858	760.304370	-2.127590	2.208797
0.118857	760.289424	-2.264487	2.215609
0.119856	763.547057	-2.324980	2.145110
0.120855	760.269685	-2.266001	2.344972
0.121854	760.289424	-2.264487	2.215609
0.122852	763.562003	-2.188665	2.138328
0.123851	760.289424	-2.264487	2.215609
0.124850	753.793897	-2.140409	2.227957
0.125849	760.289424	-2.264487	2.215609
0.126848	757.051530	-2.201955	2.156800
0.127846	760.289424	-2.264487	2.215609
0.128845	757.074779	-2.339868	2.153170
0.129844	763.562003	-2.188665	2.138328
0.130843	760.289424	-2.264487	2.215609
0.131842	760.289424	-2.264487	2.215609
0.132840	763.562003	-2.188665	2.138328
0.133839	760.289424	-2.264487	2.215609
0.134838	760.304370	-2.127590	2.208797
0.135837	760.289424	-2.264487	2.215609
0.136836	763.562003	-2.188665	2.138328
0.137834	763.562003	-2.188665	2.138328
0.138833	760.246436	-2.128665	2.348593
0.139832	763.562003	-2.188665	2.138328
