Time (s)	Fz	COPx	COPy
0.000000	730.151113	-5.063135	0.236972
0.000999	726.878534	-5.155384	0.309244
0.001998	735.016993	-4.785974	0.267196
0.002996	730.108125	-4.921872	0.375329
0.003995	733.365758	-4.973050	0.310102
0.004994	738.254887	-4.839040	0.336048
0.005993	730.108125	-4.921872	0.375329
0.006992	738.231639	-4.697690	0.339713
0.007990	735.008691	-4.502342	0.263869
0.008989	735.008691	-4.502342	0.263869
0.009988	741.538903	-4.466850	0.128889
0.010987	738.251378	-4.696065	0.206542
0.011986	741.495915	-4.327721	0.265114
0.012984	741.495915	-4.327721	0.265114
0.013983	741.495915	-4.327721	0.265114
0.014982	741.495915	-4.327721	0.265114
0.015981	741.495915	-4.327721	0.265114
0.016980	747.983139	-4.156129	0.266339
0.017978	751.298706	-4.208160	0.061831
0.018977	744.725506	-4.102382	0.330093
0.019976	744.725506	-4.102382	0.330093
0.020975	744.725506	-4.102382	0.330093
0.021974	747.940151	-4.018181	0.401399
0.022972	744.725506	-4.102382	0.330093
0.023971	751.212730	-3.933473	0.330751
0.024970	751.275458	-4.069244	0.065424
0.025969	747.940151	-4.018181	0.401399
0.026968	741.444624	-3.907400	0.398059
0.027966	738.206731	-3.850477	0.329777
0.028965	747.931849	-3.739441	0.398130
0.029964	741.444624	-3.907400	0.398059
0.030963	744.717204	-3.822440	0.326810
0.031962	751.247416	-3.793315	0.193027
0.032960	744.717204	-3.822440	0.326810
0.033959	747.974837	-3.877406	0.263069
0.034958	744.751889	-3.681065	0.187885
0.035957	744.732149	-3.682648	0.319893
0.036956	744.693955	-3.682284	0.330443
0.037954	744.717204	-3.822440	0.326810
0.038953	741.401636	-3.768221	0.534318
0.039952	738.206731	-3.850477	0.329777
0.040951	747.951588	-3.737863	0.266684
0.041950	741.494256	-3.624997	0.251573
0.042948	741.494256	-3.624997	0.251573
0.043947	734.949098	-3.794660	0.394661
0.044946	738.221677	-3.709452	0.322799
0.045945	734.949098	-3.794660	0.394661
0.046944	738.221677	-3.709452	0.322799
0.047942	734.949098	-3.794660	0.394661
0.048941	738.221677	-3.709452	0.322799
0.049940	734.949098	-3.794660	0.394661
0.050939	734.949098	-3.794660	0.394661
0.051938	741.401636	-3.768221	0.534318
0.052936	738.221677	-3.709452	0.322799
0.053935	741.444624	-3.907400	0.398059
0.054934	738.129057	-3.853322	0.606807
0.055933	741.444624	-3.907400	0.398059
0.056932	741.444624	-3.907400	0.398059
0.057930	734.934152	-3.936315	0.401671
0.058929	734.914412	-3.937926	0.535448
0.059928	738.172045	-3.993113	0.469940
0.060927	744.682518	-3.963827	0.465748
0.061926	738.167252	-3.853681	0.596150
0.062924	738.172045	-3.993113	0.469940
0.063923	738.172045	-3.993113	0.469940
0.064922	738.195294	-4.134497	0.466270
0.065921	738.195294	-4.134497	0.466270
0.066920	738.137360	-4.135763	0.610117
0.067918	741.452927	-4.188576	0.401356
0.068917	741.418242	-4.330604	0.540909
0.069916	744.656135	-4.385193	0.607979
0.070915	747.890520	-4.298176	0.546633
0.071914	741.403296	-4.471033	0.547861
0.072912	741.403296	-4.471033	0.547861
0.073911	747.898823	-4.576925	0.549900
0.074910	744.660929	-4.523407	0.482869
0.075909	747.956757	-4.575642	0.407935
0.076908	733.299522	-4.690099	0.451551
0.077906	742.989954	-4.709085	0.658025
0.078905	746.270836	-4.900139	0.589057
0.079904	743.056191	-4.988344	0.518403
0.080903	743.021505	-5.130102	0.657660
0.081902	752.766363	-5.001643	0.590727
0.082900	756.023996	-5.050944	0.526528
0.083899	752.751417	-5.139969	0.597575
0.084898	752.751417	-5.139969	0.597575
0.085897	749.536772	-5.228440	0.527568
0.086896	749.502086	-5.368984	0.665622
0.087894	752.759719	-5.416908	0.600820
0.088893	752.759719	-5.416908	0.600820
0.089892	752.744773	-5.555243	0.607668
0.090891	752.759719	-5.416908	0.600820
0.091890	759.255246	-5.513125	0.602375
0.092888	755.982667	-5.603770	0.673447
0.093887	752.811010	-5.830809	0.469860
0.094886	759.240300	-5.650278	0.609165
0.095885	752.753076	-5.832181	0.610914
0.096884	759.283288	-5.786080	0.476103
0.097882	755.990970	-5.879521	0.676678
0.098881	759.248603	-5.924845	0.612382
0.099880	756.033958	-6.015894	0.543040
0.100879	765.744130	-6.015937	0.613826
0.101878	759.271851	-6.062245	0.608810
0.102876	762.529485	-6.106594	0.545081
0.103875	762.514539	-6.243170	0.551840
0.104874	759.256906	-6.199406	0.615600
0.105873	762.514539	-6.243170	0.551840
0.106872	759.256906	-6.199406	0.615600
0.107870	756.027314	-6.429373	0.553089
0.108869	755.969381	-6.430784	0.693549
0.109868	756.027314	-6.429373	0.553089
0.110867	746.224523	-6.577355	0.761538
0.111866	752.754735	-6.524390	0.624252
0.112864	749.482156	-6.620237	0.696036
0.113863	749.540090	-6.618798	0.554360
0.114862	749.540090	-6.618798	0.554360
0.115861	746.267511	-6.715472	0.626147
0.116860	746.267511	-6.715472	0.626147
0.117858	746.267511	-6.715472	0.626147
0.118857	746.267511	-6.715472	0.626147
