Time (s)	Fz	COPx	COPy
0.000000	944.331388	1.588485	-4.356773
0.000999	947.546033	1.635641	-4.284588
0.001998	944.331388	1.588485	-4.356773
0.002996	944.331388	1.588485	-4.356773
0.003995	947.546033	1.635641	-4.284588
0.004994	954.091191	1.730247	-4.363692
0.005993	947.546033	1.635641	-4.284588
0.006992	947.546033	1.635641	-4.284588
0.007990	944.342825	1.810438	-4.463414
0.008989	944.331388	1.588485	-4.356773
0.009988	950.818612	1.683107	-4.324276
0.010987	950.760678	1.682479	-4.212891
0.011986	937.758187	1.713121	-4.174704
0.012984	947.603967	1.636274	-4.396347
0.013983	944.288400	1.698010	-4.250007
0.014982	947.522784	1.745929	-4.281846
0.015981	947.546033	1.635641	-4.284588
0.016980	947.546033	1.635641	-4.284588
0.017978	947.603967	1.636274	-4.396347
0.018977	950.818612	1.683107	-4.324276
0.019976	950.818612	1.683107	-4.324276
0.020975	947.546033	1.635641	-4.284588
0.021974	947.546033	1.635641	-4.284588
0.022972	950.818612	1.683107	-4.324276
0.023971	947.580718	1.746555	-4.393608
0.024970	947.560979	1.745423	-4.289951
0.025969	947.546033	1.635641	-4.284588
0.026968	954.033257	1.729624	-4.252691
0.027966	947.589021	1.526495	-4.390986
0.028965	947.546033	1.635641	-4.284588
0.029964	941.093494	1.652045	-4.426694
0.030963	952.426122	1.431476	-4.184051
0.031962	947.603967	1.636274	-4.396347
0.032960	944.366073	1.699778	-4.466161
0.033959	944.366073	1.699778	-4.466161
0.034958	947.638652	1.747181	-4.505356
0.035957	947.623706	1.637408	-4.499996
0.036956	950.896285	1.684864	-4.538940
0.037954	947.603967	1.636274	-4.396347
0.038953	947.603967	1.636274	-4.396347
0.039952	947.603967	1.636274	-4.396347
0.040951	944.424007	1.700409	-4.578285
0.041950	947.638652	1.747181	-4.505356
0.042948	950.876546	1.683735	-4.435648
0.043947	944.366073	1.699778	-4.466161
0.044946	950.876546	1.683735	-4.435648
0.045945	944.366073	1.699778	-4.466161
0.046944	950.896285	1.684864	-4.538940
0.047942	950.876546	1.683735	-4.435648
0.048941	947.638652	1.747181	-4.505356
0.049940	947.638652	1.747181	-4.505356
0.050939	950.876546	1.683735	-4.435648
0.051938	950.896285	1.684864	-4.538940
0.052936	947.638652	1.747181	-4.505356
0.053935	957.348824	1.668407	-4.397532
0.054934	947.681640	1.638041	-4.611733
0.055933	954.110931	1.731371	-4.466637
0.056932	950.853297	1.793637	-4.432919
0.057930	950.911231	1.794258	-4.544280
0.058929	954.110931	1.731371	-4.466637
0.059928	947.638652	1.747181	-4.505356
0.060927	954.134179	1.621845	-4.469356
0.061926	947.638652	1.747181	-4.505356
0.062924	944.400759	1.811063	-4.575541
0.063923	950.853297	1.793637	-4.432919
0.064922	950.896285	1.684864	-4.538940
0.065921	947.638652	1.747181	-4.505356
0.066920	947.638652	1.747181	-4.505356
0.067918	950.896285	1.684864	-4.538940
0.068917	950.896285	1.684864	-4.538940
0.069916	947.638652	1.747181	-4.505356
0.070915	954.125877	1.840396	-4.471961
0.071914	950.896285	1.684864	-4.538940
0.072912	947.638652	1.747181	-4.505356
0.073911	950.896285	1.684864	-4.538940
0.074910	962.228913	1.466155	-4.297447
0.075909	960.621403	1.715277	-4.436431
0.076908	950.911231	1.794258	-4.544280
0.077906	950.896285	1.684864	-4.538940
0.078905	944.366073	1.699778	-4.466161
0.079904	947.638652	1.747181	-4.505356
0.080903	950.876546	1.683735	-4.435648
0.081902	947.638652	1.747181	-4.505356
0.082900	950.896285	1.684864	-4.538940
0.083899	950.911231	1.794258	-4.544280
0.084898	950.853297	1.793637	-4.432919
0.085897	947.653598	1.856951	-4.510715
0.086896	944.420498	1.812196	-4.679538
0.087894	950.853297	1.793637	-4.432919
0.088893	959.005966	1.636590	-4.371160
