Time (s)	Fz	COPx	COPy
0.000000	1038.299952	-8.083785	-4.414869
0.000999	1025.289159	-7.976309	-4.384927
0.001998	1025.254474	-8.079145	-4.284170
0.002996	1031.764947	-8.032225	-4.257198
0.003995	1035.022580	-8.058698	-4.288833
0.004994	1025.297462	-8.179612	-4.382504
0.005993	1031.784686	-8.030999	-4.352395
0.006992	1025.269420	-7.977542	-4.289127
0.007990	1028.550301	-8.105736	-4.323387
0.008989	1025.297462	-8.179612	-4.382504
0.009988	1031.788195	-8.133288	-4.259717
0.010987	1028.570041	-8.104505	-4.418880
0.011986	1028.570041	-8.104505	-4.418880
0.012984	1028.570041	-8.104505	-4.418880
0.013983	1031.827674	-8.130831	-4.450103
0.014982	1028.613029	-8.204647	-4.516891
0.015981	1025.355396	-8.178472	-4.485783
0.016980	1025.332147	-8.076776	-4.483253
0.017978	1028.570041	-8.104505	-4.418880
0.018977	1028.570041	-8.104505	-4.418880
0.019976	1025.355396	-8.178472	-4.485783
0.020975	1025.297462	-8.179612	-4.382504
0.021974	1022.117502	-8.150891	-4.550569
0.022972	1028.613029	-8.204647	-4.516891
0.023971	1025.355396	-8.178472	-4.485783
0.024970	1028.613029	-8.204647	-4.516891
0.025969	1028.613029	-8.204647	-4.516891
0.026968	1025.375135	-8.177235	-4.581571
0.027966	1025.390081	-8.075643	-4.586522
0.028965	1028.670963	-8.203509	-4.619830
0.029964	1031.885608	-8.129702	-4.552725
0.030963	1025.433069	-8.176096	-4.684830
0.031962	1028.670963	-8.203509	-4.619830
0.032960	1025.433069	-8.176096	-4.684830
0.033959	1031.943542	-8.128572	-4.655335
0.034958	1028.705648	-8.101011	-4.720240
0.035957	1028.705648	-8.101011	-4.720240
0.036956	1028.705648	-8.101011	-4.720240
0.037954	1028.705648	-8.101011	-4.720240
0.038953	1028.720594	-7.999748	-4.725174
0.039952	1035.235860	-8.052887	-4.785487
0.040951	1028.728897	-8.202372	-4.722756
0.041950	1035.235860	-8.052887	-4.785487
0.042948	1035.293794	-8.051765	-4.887752
0.043947	1028.763582	-8.099879	-4.823158
0.044946	1035.293794	-8.051765	-4.887752
0.045945	1028.778528	-7.998622	-4.828090
0.046944	1038.508440	-7.978898	-4.820246
0.047942	1035.293794	-8.051765	-4.887752
0.048941	1038.543125	-7.877378	-4.919698
0.049940	1041.838953	-7.904268	-4.956404
0.050939	1045.111532	-7.831213	-4.990408
0.051938	1045.053598	-7.832311	-4.889110
0.052936	1041.838953	-7.904268	-4.956404
0.053935	1038.601059	-7.876270	-5.021630
0.054934	1045.111532	-7.831213	-4.990408
0.055933	1048.349425	-7.859176	-4.925684
0.056932	1051.598756	-7.687549	-4.957116
0.057930	1051.641744	-7.785515	-5.052959
0.058929	1045.146217	-7.730339	-5.089227
0.059928	1048.384111	-7.758613	-5.024199
0.060927	1051.676429	-7.685269	-5.151162
0.061926	1054.891075	-7.614650	-5.083902
0.062924	1058.163654	-7.543391	-5.117092
