Time (s)	Fz	COPx	COPy
0.000000	888.264972	-0.654034	2.617846
0.000999	891.537551	-0.595007	2.550182
0.001998	891.537551	-0.595007	2.550182
0.002996	888.299657	-0.535629	2.501282
0.003995	891.587182	-0.360329	2.428236
0.004994	891.537551	-0.595007	2.550182
0.005993	891.514302	-0.477849	2.553275
0.006992	891.537551	-0.595007	2.550182
0.007990	891.514302	-0.477849	2.553275
0.008989	888.299657	-0.535629	2.501282
0.009988	888.264972	-0.654034	2.617846
0.010987	888.294863	-0.419743	2.606172
0.011986	885.042024	-0.477077	2.563155
0.012984	885.042024	-0.477077	2.563155
0.013983	885.042024	-0.477077	2.563155
0.014982	885.042024	-0.477077	2.563155
0.015981	888.299657	-0.535629	2.501282
0.016980	888.256669	-0.419297	2.615115
0.017978	902.916019	-0.679454	2.340350
0.018977	888.256669	-0.419297	2.615115
0.019976	888.256669	-0.419297	2.615115
0.020975	891.494563	-0.479101	2.663604
0.021974	891.529248	-0.361132	2.547460
0.022972	888.291354	-0.300900	2.498549
0.023971	891.529248	-0.361132	2.547460
0.024970	885.018775	-0.359056	2.566271
0.025969	885.018775	-0.359056	2.566271
0.026968	891.529248	-0.361132	2.547460
0.027966	891.529248	-0.361132	2.547460
0.028965	888.291354	-0.300900	2.498549
0.029964	888.291354	-0.300900	2.498549
0.030963	888.291354	-0.300900	2.498549
0.031962	888.291354	-0.300900	2.498549
0.032960	888.291354	-0.300900	2.498549
0.033959	885.033721	-0.241484	2.560413
0.034958	888.268106	-0.183306	2.501652
0.035957	888.291354	-0.300900	2.498549
0.036956	885.033721	-0.241484	2.560413
0.037954	888.291354	-0.300900	2.498549
0.038953	888.306300	-0.183762	2.492714
0.039952	888.248366	-0.184556	2.612383
0.040951	888.248366	-0.184556	2.612383
0.041950	888.248366	-0.184556	2.612383
0.042948	891.506000	-0.243966	2.550553
0.043947	888.248366	-0.184556	2.612383
0.044946	888.248366	-0.184556	2.612383
0.045945	888.248366	-0.184556	2.612383
0.046944	891.520946	-0.127252	2.544738
0.047942	885.010473	-0.123455	2.563529
0.048941	888.283052	-0.066167	2.495817
0.049940	881.810773	-0.062370	2.505311
0.050939	891.497697	-0.010079	2.547831
0.051938	888.240064	0.050189	2.609652
0.052936	891.497697	-0.010079	2.547831
0.053935	891.477958	-0.011321	2.658162
0.054934	885.025419	-0.005886	2.557671
0.055933	888.240064	0.050189	2.609652
0.056932	888.240064	0.050189	2.609652
0.057930	896.406566	0.074453	2.447270
0.058929	889.911039	0.196625	2.459420
0.059928	885.002170	0.112150	2.560787
0.060927	885.002170	0.112150	2.560787
0.061926	893.148932	0.134699	2.508384
0.062924	889.911039	0.196625	2.459420
0.063923	885.002170	0.112150	2.560787
0.064922	896.398263	0.307064	2.444562
0.065921	896.398263	0.307064	2.444562
0.066920	889.868051	0.312781	2.573045
0.067918	889.911039	0.196625	2.459420
0.068917	893.140630	0.368159	2.505667
0.069916	893.140630	0.368159	2.505667
0.070915	889.868051	0.312781	2.573045
0.071914	896.355275	0.422385	2.557363
0.072912	886.630157	0.375586	2.524136
0.073911	899.675636	0.247637	2.274577
0.074910	902.831062	0.298242	2.653538
0.075909	896.355275	0.422385	2.557363
0.076908	896.355275	0.422385	2.557363
0.077906	889.859748	0.547104	2.570318
0.078905	893.097642	0.483903	2.618883
0.079904	893.117381	0.485132	2.508753
0.080903	899.647594	0.478185	2.381200
0.081902	889.879488	0.548335	2.459789
0.082900	886.621855	0.610765	2.521399
0.083899	896.381658	0.772300	2.439145
0.084898	899.538369	0.824167	2.609060
0.085897	893.109079	0.718604	2.506035
0.086896	893.109079	0.718604	2.506035
0.087894	893.109079	0.718604	2.506035
0.088893	896.327233	0.653793	2.664390
0.089892	889.894434	0.665250	2.453965
0.090891	893.085830	0.835590	2.509122
0.091890	893.124025	0.835093	2.500232
0.092888	889.851446	0.781431	2.567591
0.093887	889.886131	0.899569	2.451237
0.094886	893.158710	0.952796	2.384306
0.095885	889.886131	0.899569	2.451237
0.096884	899.616043	0.826098	2.381562
0.097882	886.605249	1.081137	2.515924
0.098881	893.100776	0.952080	2.503318
