Time (s)	Fz	COPx	COPy
0.000000	539.177158	-0.235356	-2.750772
0.000999	539.177158	-0.235356	-2.750772
0.001998	539.200407	-0.429080	-2.755657
0.002996	542.415052	-0.334745	-2.639045
0.003995	529.475289	-0.523086	-2.908884
0.004994	535.977459	-0.135524	-2.878279
0.005993	535.962513	-0.329665	-2.868758
0.006992	535.927828	-0.525900	-2.675908
0.007990	535.962513	-0.329665	-2.868758
0.008989	539.200407	-0.429080	-2.755657
0.009988	535.927828	-0.525900	-2.675908
0.010987	532.747868	-0.425112	-2.988168
0.011986	532.689934	-0.426462	-2.789219
0.012984	542.415052	-0.334745	-2.639045
0.013983	539.200407	-0.429080	-2.755657
0.014982	535.939265	-0.134765	-2.863848
0.015981	535.962513	-0.329665	-2.868758
0.016980	539.165722	-0.624144	-2.563958
0.017978	542.415052	-0.334745	-2.639045
0.018977	532.689934	-0.426462	-2.789219
0.019976	542.415052	-0.334745	-2.639045
0.020975	539.200407	-0.429080	-2.755657
0.021974	535.904579	-0.330996	-2.670989
0.022972	539.200407	-0.429080	-2.755657
0.023971	539.200407	-0.429080	-2.755657
0.024970	535.904579	-0.330996	-2.670989
0.025969	539.200407	-0.429080	-2.755657
0.026968	539.142473	-0.430415	-2.559064
0.027966	542.434792	-0.332693	-2.820183
0.028965	545.672685	-0.430912	-2.708712
0.029964	539.142473	-0.430415	-2.559064
0.030963	539.177158	-0.235356	-2.750772
0.031962	539.177158	-0.235356	-2.750772
0.032960	535.927828	-0.525900	-2.675908
0.033959	542.415052	-0.334745	-2.639045
0.034958	542.415052	-0.334745	-2.639045
0.035957	542.415052	-0.334745	-2.639045
0.036956	539.157419	-0.237417	-2.568537
0.037954	548.910579	-0.527972	-2.598555
0.038953	542.415052	-0.334745	-2.639045
0.039952	542.415052	-0.334745	-2.639045
0.040951	545.652946	-0.432955	-2.528645
0.041950	535.927828	-0.525900	-2.675908
0.042948	542.415052	-0.334745	-2.639045
0.043947	532.646946	-0.232455	-2.599815
0.044946	542.415052	-0.334745	-2.639045
0.045945	542.415052	-0.334745	-2.639045
0.046944	539.177158	-0.235356	-2.750772
0.047942	539.177158	-0.235356	-2.750772
0.048941	542.434792	-0.332693	-2.820183
0.049940	539.142473	-0.430415	-2.559064
0.050939	539.177158	-0.235356	-2.750772
0.051938	535.962513	-0.329665	-2.868758
0.052936	539.200407	-0.429080	-2.755657
0.053935	542.415052	-0.334745	-2.639045
0.054934	542.415052	-0.334745	-2.639045
0.055933	545.730619	-0.429593	-2.902936
0.056932	535.904579	-0.330996	-2.670989
0.057930	542.472986	-0.333429	-2.834444
0.058929	535.962513	-0.329665	-2.868758
0.059928	532.713183	-0.622537	-2.794162
0.060927	542.415052	-0.334745	-2.639045
0.061926	539.200407	-0.429080	-2.755657
