Time (s)	Fz	COPx	COPy
0.000000	831.838495	1.213859	-3.384006
0.000999	831.815247	1.339476	-3.380857
0.001998	828.580862	1.283279	-3.341056
0.002996	831.838495	1.213859	-3.384006
0.003995	831.838495	1.213859	-3.384006
0.004994	828.600602	1.284584	-3.459619
0.005993	828.643590	1.159790	-3.581331
0.006992	831.858235	1.215161	-3.502104
0.007990	828.600602	1.284584	-3.459619
0.008989	825.342968	1.354556	-3.416798
0.009988	831.838495	1.213859	-3.384006
0.010987	825.328023	1.228510	-3.410625
0.011986	831.858235	1.215161	-3.502104
0.012984	828.600602	1.284584	-3.459619
0.013983	831.838495	1.213859	-3.384006
0.014982	825.328023	1.228510	-3.410625
0.015981	835.072880	1.270106	-3.423486
0.016980	825.362708	1.355864	-3.535824
0.017978	828.565916	1.157724	-3.334905
0.018977	831.838495	1.213859	-3.384006
0.019976	835.053140	1.268811	-3.305841
0.020975	825.308283	1.227198	-3.291590
0.021974	831.838495	1.213859	-3.384006
0.022972	831.838495	1.213859	-3.384006
0.023971	831.858235	1.215161	-3.502104
0.024970	835.072880	1.270106	-3.423486
0.025969	828.565916	1.157724	-3.334905
0.026968	828.600602	1.284584	-3.459619
0.027966	835.096128	1.144981	-3.426622
0.028965	835.096128	1.144981	-3.426622
0.029964	831.838495	1.213859	-3.384006
0.030963	831.838495	1.213859	-3.384006
0.031962	835.096128	1.144981	-3.426622
0.032960	835.096128	1.144981	-3.426622
0.033959	835.096128	1.144981	-3.426622
0.034958	831.838495	1.213859	-3.384006
0.035957	831.838495	1.213859	-3.384006
0.036956	828.623850	1.158482	-3.462778
0.037954	831.823549	1.088795	-3.377881
0.038953	835.096128	1.144981	-3.426622
0.039952	835.158856	1.022465	-3.665017
0.040951	835.096128	1.144981	-3.426622
0.041950	831.838495	1.213859	-3.384006
0.042948	831.838495	1.213859	-3.384006
0.043947	835.096128	1.144981	-3.426622
0.044946	828.565916	1.157724	-3.334905
0.045945	831.838495	1.213859	-3.384006
0.046944	831.823549	1.088795	-3.377881
0.047942	831.823549	1.088795	-3.377881
0.048941	828.580862	1.283279	-3.341056
0.049940	828.620341	1.285889	-3.578176
0.050939	835.096128	1.144981	-3.426622
0.051938	835.096128	1.144981	-3.426622
0.052936	825.385956	1.229265	-3.538993
0.053935	828.623850	1.158482	-3.462778
0.054934	831.823549	1.088795	-3.377881
0.055933	831.838495	1.213859	-3.384006
0.056932	828.600602	1.284584	-3.459619
0.057930	828.608904	1.032931	-3.456630
0.058929	835.111074	1.269554	-3.432723
0.059928	831.838495	1.213859	-3.384006
0.060927	828.623850	1.158482	-3.462778
0.061926	831.858235	1.215161	-3.502104
0.062924	831.838495	1.213859	-3.384006
0.063923	831.858235	1.215161	-3.502104
0.064922	828.643590	1.159790	-3.581331
0.065921	828.623850	1.158482	-3.462778
0.066920	835.096128	1.144981	-3.426622
0.067918	828.600602	1.284584	-3.459619
0.068917	828.600602	1.284584	-3.459619
0.069916	831.881483	1.089554	-3.505249
0.070915	828.620341	1.285889	-3.578176
0.071914	835.096128	1.144981	-3.426622
0.072912	831.916169	1.215911	-3.629459
0.073911	835.096128	1.144981	-3.426622
0.074910	831.838495	1.213859	-3.384006
0.075909	835.096128	1.144981	-3.426622
0.076908	835.096128	1.144981	-3.426622
0.077906	828.643590	1.159790	-3.581331
0.078905	831.881483	1.089554	-3.505249
0.079904	835.096128	1.144981	-3.426622
0.080903	835.096128	1.144981	-3.426622
0.081902	838.353762	1.076638	-3.468906
0.082900	831.892920	1.341516	-3.626317
0.083899	828.623850	1.158482	-3.462778
0.084898	831.858235	1.215161	-3.502104
0.085897	835.096128	1.144981	-3.426622
0.086896	831.881483	1.089554	-3.505249
0.087894	831.881483	1.089554	-3.505249
0.088893	835.139117	1.021164	-3.547390
0.089892	843.210602	0.973179	-3.356964
0.090891	835.096128	1.144981	-3.426622
0.091890	835.096128	1.144981	-3.426622
0.092888	838.310774	1.199983	-3.348597
0.093887	835.154062	1.145733	-3.553488
0.094886	835.096128	1.144981	-3.426622
0.095885	835.096128	1.144981	-3.426622
