Time (s)	Fz	COPx	COPy
0.000000	880.764528	-0.713886	-3.931840
0.000999	874.234316	-0.715693	-3.848688
0.001998	874.234316	-0.715693	-3.848688
0.002996	862.901876	-0.806788	-3.993713
0.003995	870.996422	-0.655583	-3.922347
0.004994	870.996422	-0.655583	-3.922347
0.005993	862.901876	-0.806788	-3.993713
0.006992	862.901876	-0.806788	-3.993713
0.007990	869.417142	-0.923965	-4.071011
0.008989	851.462795	-0.902944	-3.840656
0.009988	854.735374	-0.840423	-3.886506
0.010987	851.497480	-0.779411	-3.961996
0.011986	854.735374	-0.840423	-3.886506
0.012984	849.848924	-0.750710	-3.826581
0.013983	849.848924	-0.750710	-3.826581
0.014982	854.755113	-0.839109	-4.001428
0.015981	849.848924	-0.750710	-3.826581
0.016980	849.848924	-0.750710	-3.826581
0.017978	846.634279	-0.812369	-3.905357
0.018977	846.576345	-0.813245	-3.780236
0.019976	849.848924	-0.750710	-3.826581
0.020975	843.338451	-0.751539	-3.856048
0.021974	843.353397	-0.628149	-3.862081
0.022972	840.080818	-0.690691	-3.815516
0.023971	846.576345	-0.813245	-3.780236
0.024970	836.900858	-0.627158	-4.018622
0.025969	836.866173	-0.752839	-3.895169
0.026968	840.138752	-0.689816	-3.941602
0.027966	843.396385	-0.750664	-3.981645
0.028965	836.866173	-0.752839	-3.895169
0.029964	843.376646	-0.751994	-3.865174
0.030963	840.138752	-0.689816	-3.941602
0.031962	840.138752	-0.689816	-3.941602
0.032960	836.866173	-0.752839	-3.895169
0.033959	836.866173	-0.752839	-3.895169
0.034958	836.924107	-0.751957	-4.021734
0.035957	840.138752	-0.689816	-3.941602
0.036956	836.866173	-0.752839	-3.895169
0.037954	833.608540	-0.691523	-3.854475
0.038953	840.119012	-0.691150	-3.824679
0.039952	830.393894	-0.754159	-3.934899
0.040951	823.918107	-0.627373	-4.091313
0.041950	841.645153	-0.537027	-3.656101
0.042948	830.370646	-0.628378	-3.931760
0.043947	830.393894	-0.754159	-3.934899
0.044946	830.370646	-0.628378	-3.931760
0.045945	830.370646	-0.628378	-3.931760
0.046944	827.156001	-0.691014	-4.012800
0.047942	830.393894	-0.754159	-3.934899
0.048941	833.585291	-0.566226	-3.851345
0.049940	827.113013	-0.566091	-3.890891
0.050939	827.156001	-0.691014	-4.012800
0.051938	830.370646	-0.628378	-3.931760
0.052936	823.898367	-0.628731	-3.972092
0.053935	823.840434	-0.629618	-3.843521
0.054934	820.625788	-0.692757	-3.924861
0.055933	820.660474	-0.564592	-4.050756
0.056932	823.898367	-0.628731	-3.972092
0.057930	823.883422	-0.755034	-3.965918
0.058929	820.660474	-0.564592	-4.050756
0.059928	814.130261	-0.565335	-3.962419
0.060927	810.915616	-0.628975	-4.045203
0.061926	809.273421	-0.467391	-4.082017
0.062924	810.915616	-0.628975	-4.045203
0.063923	804.385404	-0.630250	-3.955751
0.064922	810.915616	-0.628975	-4.045203
0.065921	807.643037	-0.694031	-3.997510
0.066920	799.528563	-0.531507	-4.076767
0.067918	809.301463	-0.723652	-4.200323
0.068917	804.385404	-0.630250	-3.955751
0.069916	797.855192	-0.631545	-3.864835
