Time (s)	Fz	COPx	COPy
0.000000	860.191165	1.011953	-0.853438
0.001000	853.695638	1.146441	-0.865886
0.002000	856.918586	0.956904	-0.796297
0.003000	853.695638	1.146441	-0.865886
0.004000	860.206111	1.132895	-0.859405
0.005000	850.423059	1.091489	-0.808357
0.006000	856.953271	1.079575	-0.916987
0.007000	847.185165	1.160195	-0.872466
0.008000	853.695638	1.146441	-0.865886
0.009000	850.457745	1.215091	-0.929968
0.010000	856.953271	1.079575	-0.916987
0.011000	856.918586	0.956904	-0.796297
0.012000	853.660953	1.023304	-0.744733
0.013000	863.448798	0.946098	-0.904201
0.014000	863.405810	1.065851	-0.787262
0.015000	848.809188	1.247701	-0.788499
0.016000	856.898846	0.955635	-0.681591
0.017000	863.405810	1.065851	-0.787262
0.018000	856.933532	1.078309	-0.802288
0.019000	853.680692	1.024577	-0.859873
0.020000	852.081767	1.302157	-0.846213
0.021000	853.660953	1.023304	-0.744733
0.022000	853.660953	1.023304	-0.744733
0.023000	850.457745	1.215091	-0.929968
0.024000	850.423059	1.091489	-0.808357
0.025000	856.918586	0.956904	-0.796297
0.026000	856.910283	1.200243	-0.799161
0.027000	856.933532	1.078309	-0.802288
0.028000	852.047082	1.178794	-0.724830
0.029000	860.182862	1.254367	-0.856292
0.030000	860.171426	1.010690	-0.739169
0.031000	853.660953	1.023304	-0.744733
0.032000	856.953271	1.079575	-0.916987
0.033000	853.738626	1.025321	-0.984152
0.034000	860.191165	1.011953	-0.853438
0.035000	850.423059	1.091489	-0.808357
0.036000	856.918586	0.956904	-0.796297
0.037000	853.695638	1.146441	-0.865886
0.038000	856.875598	1.077571	-0.678461
0.039000	853.680692	1.024577	-0.859873
0.040000	853.660953	1.023304	-0.744733
0.041000	853.660953	1.023304	-0.744733
0.042000	856.953271	1.079575	-0.916987
0.043000	853.660953	1.023304	-0.744733
0.044000	856.953271	1.079575	-0.916987
0.045000	850.423059	1.091489	-0.808357
0.046000	863.420756	1.186342	-0.793208
0.047000	850.457745	1.215091	-0.929968
0.048000	856.933532	1.078309	-0.802288
0.049000	853.660953	1.023304	-0.744733
0.050000	853.660953	1.023304	-0.744733
0.051000	856.938326	0.958174	-0.910998
0.052000	853.660953	1.023304	-0.744733
0.053000	848.809188	1.247701	-0.788499
0.054000	856.933532	1.078309	-0.802288
0.055000	853.660953	1.023304	-0.744733
0.056000	853.695638	1.146441	-0.865886
0.057000	856.933532	1.078309	-0.802288
0.058000	853.695638	1.146441	-0.865886
0.059000	853.660953	1.023304	-0.744733
0.060000	856.953271	1.079575	-0.916987
0.061000	853.660953	1.023304	-0.744733
0.062000	856.875598	1.077571	-0.678461
0.063000	853.695638	1.146441	-0.865886
0.064000	847.208414	1.036862	-0.875627
0.065000	853.660953	1.023304	-0.744733
0.066000	850.423059	1.091489	-0.808357
0.067000	856.933532	1.078309	-0.802288
0.068000	856.933532	1.078309	-0.802288
0.069000	853.695638	1.146441	-0.865886
0.070000	860.136740	0.888475	-0.618924
0.071000	848.751254	1.246968	-0.663485
0.072000	853.695638	1.146441	-0.865886
0.073000	856.933532	1.078309	-0.802288
0.074000	853.680692	1.024577	-0.859873
0.075000	850.423059	1.091489	-0.808357
0.076000	853.660953	1.023304	-0.744733
0.077000	853.660953	1.023304	-0.744733
0.078000	861.697566	1.158212	-0.579979
0.079000	856.953271	1.079575	-0.916987
0.080000	853.660953	1.023304	-0.744733
0.081000	856.933532	1.078309	-0.802288
0.082000	850.423059	1.091489	-0.808357
0.083000	850.423059	1.091489	-0.808357
0.084000	853.695638	1.146441	-0.865886
0.085000	853.695638	1.146441	-0.865886
0.086000	850.388374	0.967876	-0.686735
