Time (s)	Fz	COPx	COPy
0.000000	545.829692	-1.378832	-3.438702
0.000999	542.533864	-1.287716	-3.359218
0.001998	549.044337	-1.280076	-3.319499
0.002996	545.806443	-1.187501	-3.433905
0.003995	542.568549	-1.093822	-3.549676
0.004994	545.829692	-1.378832	-3.438702
0.005993	539.319219	-1.387711	-3.480097
0.006992	548.986403	-1.281476	-3.126490
0.007990	549.044337	-1.280076	-3.319499
0.008989	549.044337	-1.280076	-3.319499
0.009988	545.806443	-1.187501	-3.433905
0.010987	542.591798	-1.286299	-3.554497
0.011986	545.829692	-1.378832	-3.438702
0.012984	542.591798	-1.286299	-3.554497
0.013983	539.319219	-1.387711	-3.480097
0.014982	542.533864	-1.287716	-3.359218
0.015981	549.044337	-1.280076	-3.319499
0.016980	545.806443	-1.187501	-3.433905
0.017978	542.568549	-1.093822	-3.549676
0.018977	549.102271	-1.278676	-3.512467
0.019976	542.591798	-1.286299	-3.554497
0.020975	552.258982	-1.182469	-3.201684
0.021974	549.079022	-1.088481	-3.507702
0.022972	545.864377	-1.186103	-3.628005
0.023971	549.064076	-1.278014	-3.498425
0.024970	545.806443	-1.187501	-3.433905
0.025969	545.806443	-1.187501	-3.433905
0.026968	545.806443	-1.187501	-3.433905
0.027966	542.591798	-1.286299	-3.554497
0.028965	549.044337	-1.280076	-3.319499
0.029964	542.591798	-1.286299	-3.554497
0.030963	545.849431	-1.376755	-3.618677
0.031962	545.864377	-1.186103	-3.628005
0.032960	545.806443	-1.187501	-3.433905
0.033959	552.316916	-1.181087	-3.393541
0.034958	545.806443	-1.187501	-3.433905
0.035957	545.806443	-1.187501	-3.433905
0.036956	549.064076	-1.278014	-3.498425
0.037954	539.319219	-1.387711	-3.480097
0.038953	542.591798	-1.286299	-3.554497
0.039952	549.079022	-1.088481	-3.507702
0.040951	542.591798	-1.286299	-3.554497
0.041950	549.102271	-1.278676	-3.512467
0.042948	552.336655	-1.179041	-3.571404
0.043947	545.864377	-1.186103	-3.628005
0.044946	545.829692	-1.378832	-3.438702
0.045945	545.806443	-1.187501	-3.433905
0.046944	549.044337	-1.280076	-3.319499
0.047942	555.554809	-1.272614	-3.280711
0.048941	542.649732	-1.284882	-3.749734
0.049940	545.806443	-1.187501	-3.433905
0.050939	549.102271	-1.278676	-3.512467
0.051938	549.044337	-1.280076	-3.319499
0.052936	545.864377	-1.186103	-3.628005
0.053935	545.806443	-1.187501	-3.433905
0.054934	542.603235	-0.899952	-3.740110
0.055933	545.864377	-1.186103	-3.628005
0.056932	549.079022	-1.088481	-3.507702
0.057930	545.864377	-1.186103	-3.628005
0.058929	542.591798	-1.286299	-3.554497
0.059928	549.122010	-1.276614	-3.691367
0.060927	549.122010	-1.276614	-3.691367
0.061926	549.079022	-1.088481	-3.507702
0.062924	549.079022	-1.088481	-3.507702
0.063923	549.122010	-1.276614	-3.691367
0.064922	545.864377	-1.186103	-3.628005
0.065921	552.336655	-1.179041	-3.571404
0.066920	549.136956	-1.087101	-3.700637
0.067918	549.122010	-1.276614	-3.691367
0.068917	545.841128	-0.994775	-3.623217
0.069916	555.609234	-1.081234	-3.643523
0.070915	549.122010	-1.276614	-3.691367
0.071914	542.591798	-1.286299	-3.554497
0.072912	552.336655	-1.179041	-3.571404
0.073911	549.122010	-1.276614	-3.691367
0.074910	549.136956	-1.087101	-3.700637
0.075909	549.122010	-1.276614	-3.691367
0.076908	549.079022	-1.088481	-3.507702
0.077906	549.122010	-1.276614	-3.691367
0.078905	555.551301	-1.082597	-3.452829
0.079904	552.394589	-1.177660	-3.763195
0.080903	549.136956	-1.087101	-3.700637
0.081902	549.122010	-1.276614	-3.691367
0.082900	555.574549	-1.270577	-3.457541
0.083899	549.079022	-1.088481	-3.507702
0.084898	549.122010	-1.276614	-3.691367
0.085897	549.122010	-1.276614	-3.691367
0.086896	552.351601	-0.990633	-3.580624
0.087894	549.122010	-1.276614	-3.691367
0.088893	545.849431	-1.376755	-3.618677
0.089892	545.864377	-1.186103	-3.628005
0.090891	545.864377	-1.186103	-3.628005
0.091890	549.156696	-1.085047	-3.879519
0.092888	552.336655	-1.179041	-3.571404
0.093887	552.336655	-1.179041	-3.571404
0.094886	558.823880	-0.985918	-3.525228
0.095885	549.122010	-1.276614	-3.691367
0.096884	549.122010	-1.276614	-3.691367
0.097882	555.652222	-1.267158	-3.825020
0.098881	545.884116	-1.184033	-3.807962
0.099880	549.122010	-1.276614	-3.691367
0.100879	552.394589	-1.177660	-3.763195
0.101878	552.336655	-1.179041	-3.571404
0.102876	552.394589	-1.177660	-3.763195
0.103875	549.122010	-1.276614	-3.691367
0.104874	549.122010	-1.276614	-3.691367
0.105873	542.646223	-1.090346	-3.925949
0.106872	549.122010	-1.276614	-3.691367
0.107870	549.156696	-1.085047	-3.879519
0.108869	552.394589	-1.177660	-3.763195
0.109868	552.394589	-1.177660	-3.763195
0.110867	549.122010	-1.276614	-3.691367
0.111866	555.609234	-1.081234	-3.643523
0.112864	552.394589	-1.177660	-3.763195
0.113863	549.122010	-1.276614	-3.691367
0.114862	545.884116	-1.184033	-3.807962
0.115861	549.179944	-1.275215	-3.884268
0.116860	549.122010	-1.276614	-3.691367
0.117858	552.371341	-0.988594	-3.758469
0.118857	545.849431	-1.376755	-3.618677
0.119856	552.379643	-1.366059	-3.753981
0.120855	549.156696	-1.085047	-3.879519
0.121854	545.918802	-0.991334	-3.997223
0.122852	552.414329	-1.175615	-3.941020
0.123851	555.652222	-1.267158	-3.825020
0.124850	552.371341	-0.988594	-3.758469
0.125849	549.122010	-1.276614	-3.691367
0.126848	555.652222	-1.267158	-3.825020
0.127846	549.136956	-1.087101	-3.700637
0.128845	552.394589	-1.177660	-3.763195
0.129844	545.942050	-1.182635	-4.001995
0.130843	549.179944	-1.275215	-3.884268
0.131842	542.669471	-1.282796	-3.930753
0.132840	549.179944	-1.275215	-3.884268
0.133839	552.394589	-1.177660	-3.763195
0.134838	549.179944	-1.275215	-3.884268
0.135837	545.942050	-1.182635	-4.001995
0.136836	549.179944	-1.275215	-3.884268
0.137834	552.414329	-1.175615	-3.941020
0.138833	545.907365	-1.375337	-3.812742
0.139832	562.167489	-1.443041	-3.946519
0.140831	549.179944	-1.275215	-3.884268
0.141830	549.122010	-1.276614	-3.691367
0.142828	542.669471	-1.282796	-3.930753
0.143827	552.437577	-1.364658	-3.945738
0.144826	549.141750	-1.274553	-3.870254
0.145825	552.414329	-1.175615	-3.941020
0.146824	549.179944	-1.275215	-3.884268
0.147822	542.704157	-1.088950	-4.121127
0.148821	552.394589	-1.177660	-3.763195
0.149820	552.414329	-1.175615	-3.941020
0.150819	549.199684	-1.273154	-4.063129
0.151818	542.669471	-1.282796	-3.930753
0.152816	549.199684	-1.273154	-4.063129
0.153815	552.414329	-1.175615	-3.941020
0.154814	552.414329	-1.175615	-3.941020
0.155813	555.652222	-1.267158	-3.825020
0.156812	545.927105	-1.373260	-3.992679
0.157810	549.199684	-1.273154	-4.063129
0.158809	549.156696	-1.085047	-3.879519
0.159808	552.437577	-1.364658	-3.945738
0.160807	549.199684	-1.273154	-4.063129
0.161806	552.437577	-1.364658	-3.945738
0.162804	547.615609	-1.513055	-4.129474
0.163803	549.164998	-1.464719	-3.875003
0.164802	549.199684	-1.273154	-4.063129
0.165801	555.714950	-1.451009	-4.183248
0.166800	552.437577	-1.364658	-3.945738
0.167798	545.942050	-1.182635	-4.001995
0.168797	549.199684	-1.273154	-4.063129
0.169796	552.437577	-1.364658	-3.945738
0.170795	552.414329	-1.175615	-3.941020
0.171794	549.199684	-1.273154	-4.063129
0.172792	545.922311	-1.184705	-3.822064
0.173791	545.942050	-1.182635	-4.001995
0.174790	545.942050	-1.182635	-4.001995
0.175789	545.942050	-1.182635	-4.001995
0.176788	549.199684	-1.273154	-4.063129
0.177786	542.669471	-1.282796	-3.930753
0.178785	549.199684	-1.273154	-4.063129
0.179784	549.199684	-1.273154	-4.063129
0.180783	549.199684	-1.273154	-4.063129
0.181782	549.199684	-1.273154	-4.063129
0.182780	545.961790	-1.180565	-4.181913
0.183779	549.199684	-1.273154	-4.063129
0.184778	549.199684	-1.273154	-4.063129
0.185777	552.437577	-1.364658	-3.945738
0.186776	552.457317	-1.362606	-4.123543
0.187774	545.942050	-1.182635	-4.001995
0.188773	545.942050	-1.182635	-4.001995
0.189772	537.901928	-1.235458	-4.492362
0.190771	549.199684	-1.273154	-4.063129
0.191770	549.199684	-1.273154	-4.063129
0.192768	549.199684	-1.273154	-4.063129
0.193767	541.120083	-1.331191	-4.188437
0.194766	552.437577	-1.364658	-3.945738
0.195765	549.199684	-1.273154	-4.063129
0.196764	544.377716	-1.421623	-4.248998
0.197762	549.199684	-1.273154	-4.063129
0.198761	552.457317	-1.362606	-4.123543
0.199760	552.437577	-1.364658	-3.945738
0.200759	552.457317	-1.362606	-4.123543
0.201758	555.695210	-1.453052	-4.006488
0.202756	541.120083	-1.331191	-4.188437
0.203755	544.397455	-1.419539	-4.429423
0.204754	555.695210	-1.453052	-4.006488
0.205753	549.199684	-1.273154	-4.063129
0.206752	547.635349	-1.510980	-4.308837
0.207750	547.635349	-1.510980	-4.308837
0.208749	544.377716	-1.421623	-4.248998
0.209748	545.942050	-1.182635	-4.001995
0.210747	549.219423	-1.271094	-4.241978
0.211746	547.635349	-1.510980	-4.308837
0.212744	550.853503	-1.603412	-4.011355
0.213743	558.886607	-1.168758	-3.881457
0.214742	547.635349	-1.510980	-4.308837
0.215741	547.635349	-1.510980	-4.308837
0.216740	550.888189	-1.412425	-4.198896
0.217738	550.873243	-1.601345	-4.189668
0.218737	544.377716	-1.421623	-4.248998
0.219736	544.397455	-1.419539	-4.429423
0.220735	550.873243	-1.601345	-4.189668
0.221734	547.635349	-1.510980	-4.308837
0.222732	547.635349	-1.510980	-4.308837
0.223731	554.145822	-1.500786	-4.258327
0.224730	547.635349	-1.510980	-4.308837
0.225729	547.635349	-1.510980	-4.308837
0.226728	544.397455	-1.419539	-4.429423
0.227726	547.635349	-1.510980	-4.308837
0.228725	547.635349	-1.510980	-4.308837
0.229724	547.635349	-1.510980	-4.308837
0.230723	550.892982	-1.599279	-4.367969
0.231722	547.635349	-1.510980	-4.308837
0.232720	547.620403	-1.701024	-4.299558
0.233719	544.397455	-1.419539	-4.429423
0.234718	547.635349	-1.510980	-4.308837
0.235717	547.635349	-1.510980	-4.308837
0.236716	550.873243	-1.601345	-4.189668
0.237714	547.600664	-1.703107	-4.120189
0.238713	547.635349	-1.510980	-4.308837
0.239712	547.635349	-1.510980	-4.308837
0.240711	550.873243	-1.601345	-4.189668
0.241710	547.635349	-1.510980	-4.308837
0.242708	547.635349	-1.510980	-4.308837
0.243707	547.635349	-1.510980	-4.308837
0.244706	544.362770	-1.612803	-4.239661
0.245705	550.873243	-1.601345	-4.189668
0.246704	550.892982	-1.599279	-4.367969
0.247702	554.130876	-1.688598	-4.249155
0.248701	547.678337	-1.699576	-4.492924
0.249700	550.892982	-1.599279	-4.367969
0.250699	550.892982	-1.599279	-4.367969
0.251698	554.135670	-1.874356	-4.417239
0.252696	547.635349	-1.510980	-4.308837
0.253695	547.678337	-1.699576	-4.492924
0.254694	544.362770	-1.612803	-4.239661
