Time (s)	Fz	COPx	COPy
0.000000	948.981665	0.122571	-4.082337
0.000999	942.451453	0.126690	-4.006247
0.001998	945.709086	0.069613	-4.041735
0.002996	945.709086	0.069613	-4.041735
0.003995	945.709086	0.069613	-4.041735
0.004994	945.709086	0.069613	-4.041735
0.005993	948.966719	0.012927	-4.076979
0.006992	948.966719	0.012927	-4.076979
0.007990	945.709086	0.069613	-4.041735
0.008989	948.923731	0.121846	-3.970721
0.009988	948.966719	0.012927	-4.076979
0.010987	948.966719	0.012927	-4.076979
0.011986	945.752074	-0.039674	-4.148350
0.012984	952.204613	-0.044533	-4.008825
0.013983	948.966719	0.012927	-4.076979
0.014982	952.181365	0.065174	-4.006090
0.015981	945.709086	0.069613	-4.041735
0.016980	945.709086	0.069613	-4.041735
0.017978	948.966719	0.012927	-4.076979
0.018977	952.204613	-0.044533	-4.008825
0.019976	952.181365	0.065174	-4.006090
0.020975	948.966719	0.012927	-4.076979
0.021974	952.204613	-0.044533	-4.008825
0.022972	945.752074	-0.039674	-4.148350
0.023971	948.946980	0.011762	-3.973467
0.024970	952.204613	-0.044533	-4.008825
0.025969	945.752074	-0.039674	-4.148350
0.026968	948.966719	0.012927	-4.076979
0.027966	948.966719	0.012927	-4.076979
0.028965	952.189667	-0.153808	-4.003484
0.029964	952.189667	-0.153808	-4.003484
0.030963	955.462246	-0.100444	-4.043942
0.031962	952.204613	-0.044533	-4.008825
0.032960	955.419258	0.007729	-3.938406
0.033959	948.951774	-0.096719	-4.071620
0.034958	948.932034	-0.097888	-3.968107
0.035957	958.719880	-0.155975	-4.078820
0.036956	952.189667	-0.153808	-4.003484
0.037954	948.932034	-0.097888	-3.968107
0.038953	948.932034	-0.097888	-3.968107
0.039952	952.189667	-0.153808	-4.003484
0.040951	955.462246	-0.100444	-4.043942
0.041950	948.951774	-0.096719	-4.071620
0.042948	952.189667	-0.153808	-4.003484
0.043947	952.189667	-0.153808	-4.003484
0.044946	952.189667	-0.153808	-4.003484
0.045945	948.951774	-0.096719	-4.071620
0.046944	952.189667	-0.153808	-4.003484
0.047942	952.189667	-0.153808	-4.003484
0.048941	958.642206	-0.157867	-3.865871
0.049940	952.174721	-0.263087	-3.998142
0.050939	952.189667	-0.153808	-4.003484
0.051938	945.659455	-0.151611	-3.927107
0.052936	952.189667	-0.153808	-4.003484
0.053935	952.189667	-0.153808	-4.003484
0.054934	945.679194	-0.150438	-4.030979
0.055933	948.917088	-0.207540	-3.962747
0.056932	948.917088	-0.207540	-3.962747
0.057930	952.174721	-0.263087	-3.998142
0.058929	945.644509	-0.261644	-3.921728
0.059928	955.427561	-0.210510	-3.935809
0.060927	955.447300	-0.209347	-4.038619
0.061926	948.936828	-0.206370	-4.066262
0.062924	952.232655	-0.262341	-4.109375
0.063923	955.447300	-0.209347	-4.038619
0.064922	952.174721	-0.263087	-3.998142
0.065921	952.174721	-0.263087	-3.998142
0.066920	955.447300	-0.209347	-4.038619
0.067918	952.174721	-0.263087	-3.998142
0.068917	948.960076	-0.316445	-4.069005
0.069916	955.412615	-0.319419	-3.930485
0.070915	955.432355	-0.318254	-4.033297
0.071914	955.432355	-0.318254	-4.033297
0.072912	955.412615	-0.319419	-3.930485
0.073911	952.140036	-0.373538	-3.889635
0.074910	958.670248	-0.374209	-3.965750
0.075909	952.174721	-0.263087	-3.998142
0.076908	952.116787	-0.263832	-3.886896
0.077906	958.685194	-0.265669	-3.971056
0.078905	958.670248	-0.374209	-3.965750
0.079904	961.955924	-0.644223	-4.100311
0.080903	948.902142	-0.317196	-3.957386
0.081902	955.412615	-0.319419	-3.930485
0.082900	961.908142	-0.429787	-3.898658
0.083899	955.374421	-0.319000	-3.922431
0.084898	955.397669	-0.428331	-3.925160
0.085897	958.670248	-0.374209	-3.965750
0.086896	952.140036	-0.373538	-3.889635
0.087894	961.908142	-0.429787	-3.898658
0.088893	955.412615	-0.319419	-3.930485
0.089892	952.140036	-0.373538	-3.889635
0.090891	955.455603	-0.427578	-4.036022
0.091890	958.670248	-0.374209	-3.965750
0.092888	952.183024	-0.482067	-3.995537
0.093887	952.140036	-0.373538	-3.889635
0.094886	958.635563	-0.483916	-3.857976
0.095885	955.397669	-0.428331	-3.925160
0.096884	955.397669	-0.428331	-3.925160
0.097882	952.168078	-0.591351	-3.990195
0.098881	958.655302	-0.482752	-3.960444
0.099880	955.397669	-0.428331	-3.925160
0.100879	958.655302	-0.482752	-3.960444
0.101878	952.183024	-0.482067	-3.995537
0.102876	952.183024	-0.482067	-3.995537
0.103875	961.873456	-0.539127	-3.791245
0.104874	955.397669	-0.428331	-3.925160
0.105873	952.183024	-0.482067	-3.995537
0.106872	952.183024	-0.482067	-3.995537
0.107870	948.925391	-0.427273	-3.960132
0.108869	952.202764	-0.480895	-4.098696
0.109868	958.655302	-0.482752	-3.960444
0.110867	961.893196	-0.537965	-3.893369
0.111866	961.826960	-0.321937	-3.785818
0.112864	952.168078	-0.591351	-3.990195
0.113863	955.440657	-0.536488	-4.030699
0.114862	952.125090	-0.482826	-3.884291
0.115861	958.678551	-0.591705	-3.963162
0.116860	952.168078	-0.591351	-3.990195
0.117858	952.148339	-0.592526	-3.887030
0.118857	958.655302	-0.482752	-3.960444
0.119856	948.910445	-0.536932	-3.954772
0.120855	952.168078	-0.591351	-3.990195
0.121854	965.193817	-0.698706	-4.032996
0.122852	952.168078	-0.591351	-3.990195
0.123851	948.910445	-0.536932	-3.954772
0.124850	955.362984	-0.538417	-3.817016
0.125849	948.953433	-0.645822	-4.061031
0.126848	952.168078	-0.591351	-3.990195
0.127846	955.405972	-0.646572	-3.922564
0.128845	955.405972	-0.646572	-3.922564
0.129844	958.643865	-0.701419	-3.855390
0.130843	952.168078	-0.591351	-3.990195
0.131842	952.168078	-0.591351	-3.990195
0.132840	955.405972	-0.646572	-3.922564
0.133839	955.382723	-0.537247	-3.919835
0.134838	955.405972	-0.646572	-3.922564
0.135837	965.116144	-0.700628	-3.821472
0.136836	948.930184	-0.535754	-4.058288
0.137834	952.168078	-0.591351	-3.990195
0.138833	961.858511	-0.647311	-3.785954
0.139832	952.191327	-0.701044	-3.992931
0.140831	955.405972	-0.646572	-3.922564
0.141830	955.405972	-0.646572	-3.922564
0.142828	955.420918	-0.537657	-3.927889
0.143827	955.405972	-0.646572	-3.922564
0.144826	955.405972	-0.646572	-3.922564
0.145825	948.930184	-0.535754	-4.058288
0.146824	952.168078	-0.591351	-3.990195
0.147822	952.168078	-0.591351	-3.990195
0.148821	952.191327	-0.701044	-3.992931
0.149820	952.133393	-0.701816	-3.881686
0.150819	955.371286	-0.756664	-3.814420
0.151818	952.168078	-0.591351	-3.990195
0.152816	952.110144	-0.592117	-3.878947
0.153815	958.620617	-0.592465	-3.852668
0.154814	948.918747	-0.756663	-3.952158
0.155813	948.918747	-0.756663	-3.952158
0.156812	955.391026	-0.755490	-3.917239
0.157810	958.620617	-0.592465	-3.852668
0.158809	958.620617	-0.592465	-3.852668
0.159808	958.643865	-0.701419	-3.855390
0.160807	952.168078	-0.591351	-3.990195
0.161806	955.405972	-0.646572	-3.922564
0.162804	955.405972	-0.646572	-3.922564
0.163803	965.135883	-0.699467	-3.923252
0.164802	952.168078	-0.591351	-3.990195
0.165801	955.405972	-0.646572	-3.922564
0.166800	955.405972	-0.646572	-3.922564
0.167798	958.562683	-0.593225	-3.742161
0.168797	952.133393	-0.701816	-3.881686
0.169796	952.133393	-0.701816	-3.881686
0.170795	968.451450	-0.751666	-4.067560
0.171794	955.405972	-0.646572	-3.922564
0.172792	952.133393	-0.701816	-3.881686
0.173791	952.133393	-0.701816	-3.881686
0.174790	958.620617	-0.592465	-3.852668
0.175789	955.405972	-0.646572	-3.922564
0.176788	955.405972	-0.646572	-3.922564
0.177786	958.570986	-0.810744	-3.739575
0.178785	958.643865	-0.701419	-3.855390
0.179784	952.133393	-0.701816	-3.881686
0.180783	955.371286	-0.756664	-3.814420
0.181782	952.133393	-0.701816	-3.881686
0.182780	955.405972	-0.646572	-3.922564
0.183779	952.133393	-0.701816	-3.881686
0.184778	958.628920	-0.809970	-3.850082
0.185777	955.371286	-0.756664	-3.814420
0.186776	955.371286	-0.756664	-3.814420
0.187774	952.110144	-0.592117	-3.878947
0.188773	952.133393	-0.701816	-3.881686
0.189772	952.113653	-0.702993	-3.778515
0.190771	952.133393	-0.701816	-3.881686
0.191770	955.391026	-0.755490	-3.917239
0.192768	958.628920	-0.809970	-3.850082
0.193767	952.176381	-0.810331	-3.987589
0.194766	952.098707	-0.812289	-3.773169
0.195765	958.585932	-0.702186	-3.744885
0.196764	958.613974	-0.918525	-3.844774
0.197762	958.628920	-0.809970	-3.850082
0.198761	955.348038	-0.647338	-3.811689
0.199760	948.895499	-0.646594	-3.949411
0.200759	965.058210	-0.701390	-3.711706
0.201758	955.371286	-0.756664	-3.814420
0.202756	958.609180	-0.811141	-3.747609
0.203755	961.843565	-0.755499	-3.780663
0.204754	958.628920	-0.809970	-3.850082
0.205753	952.098707	-0.812289	-3.773169
0.206752	955.356340	-0.865588	-3.809094
0.207750	955.371286	-0.756664	-3.814420
0.208749	955.356340	-0.865588	-3.809094
0.209748	961.843565	-0.755499	-3.780663
0.210747	958.585932	-0.702186	-3.744885
0.211746	961.843565	-0.755499	-3.780663
0.212744	961.886553	-0.862915	-3.885501
0.213743	965.081458	-0.809614	-3.714413
0.214742	958.628920	-0.809970	-3.850082
0.215741	958.628920	-0.809970	-3.850082
0.216740	955.356340	-0.865588	-3.809094
0.217738	958.628920	-0.809970	-3.850082
0.218737	958.570986	-0.810744	-3.739575
0.219736	955.356340	-0.865588	-3.809094
0.220735	955.356340	-0.865588	-3.809094
0.221734	961.843565	-0.755499	-3.780663
0.222732	958.570986	-0.810744	-3.739575
0.223731	958.594234	-0.919698	-3.742299
0.224730	958.585932	-0.702186	-3.744885
0.225729	958.570986	-0.810744	-3.739575
