Time (s)	Fz	COPx	COPy
0.000000	546.041313	-0.416154	-4.399037
0.000999	541.219345	-0.557854	-4.588982
0.001998	545.998325	-0.226891	-4.214391
0.002996	542.803419	-0.317914	-4.520515
0.003995	539.545786	-0.220554	-4.461418
0.004994	539.526047	-0.222613	-4.279371
0.005993	539.545786	-0.220554	-4.461418
0.006992	539.545786	-0.220554	-4.461418
0.007990	539.545786	-0.220554	-4.461418
0.008989	537.961712	-0.461660	-4.530125
0.009988	534.723818	-0.362212	-4.654233
0.010987	539.545786	-0.220554	-4.461418
0.011986	541.219345	-0.557854	-4.588982
0.012984	534.723818	-0.362212	-4.654233
0.013983	537.981452	-0.459587	-4.712693
0.014982	534.723818	-0.362212	-4.654233
0.015981	537.961712	-0.461660	-4.530125
0.016980	537.996397	-0.266171	-4.722127
0.017978	534.723818	-0.362212	-4.654233
0.018977	537.996397	-0.266171	-4.722127
0.019976	542.803419	-0.317914	-4.520515
0.020975	534.723818	-0.362212	-4.654233
0.021974	537.996397	-0.266171	-4.722127
0.022972	539.545786	-0.220554	-4.461418
0.023971	534.723818	-0.362212	-4.654233
0.024970	539.545786	-0.220554	-4.461418
0.025969	537.996397	-0.266171	-4.722127
0.026968	534.723818	-0.362212	-4.654233
0.027966	541.239085	-0.555789	-4.770449
0.028965	537.996397	-0.266171	-4.722127
0.029964	534.723818	-0.362212	-4.654233
0.030963	534.723818	-0.362212	-4.654233
0.031962	542.803419	-0.317914	-4.520515
0.032960	537.996397	-0.266171	-4.722127
0.033959	541.254031	-0.363535	-4.779824
0.034958	547.799189	-0.174876	-4.911681
0.035957	534.723818	-0.362212	-4.654233
0.036956	544.511664	-0.459735	-4.836832
0.037954	544.472185	-0.463833	-4.476072
0.038953	531.485925	-0.261551	-4.779853
0.039952	531.485925	-0.261551	-4.779853
0.040951	539.545786	-0.220554	-4.461418
0.041950	537.996397	-0.266171	-4.722127
0.042948	531.485925	-0.261551	-4.779853
0.043947	537.981452	-0.459587	-4.712693
0.044946	536.327632	-0.117876	-4.767873
0.045945	534.723818	-0.362212	-4.654233
0.046944	534.723818	-0.362212	-4.654233
0.047942	534.723818	-0.362212	-4.654233
0.048941	541.254031	-0.363535	-4.779824
0.049940	534.743558	-0.360129	-4.837901
0.050939	541.239085	-0.555789	-4.770449
0.051938	534.723818	-0.362212	-4.654233
0.052936	534.743558	-0.360129	-4.837901
0.053935	537.981452	-0.459587	-4.712693
0.054934	537.981452	-0.459587	-4.712693
0.055933	537.981452	-0.459587	-4.712693
0.056932	534.723818	-0.362212	-4.654233
0.057930	534.723818	-0.362212	-4.654233
0.058929	534.743558	-0.360129	-4.837901
0.059928	534.723818	-0.362212	-4.654233
0.060927	537.981452	-0.459587	-4.712693
0.061926	534.723818	-0.362212	-4.654233
0.062924	534.723818	-0.362212	-4.654233
0.063923	534.766806	-0.555454	-4.842737
0.064922	541.239085	-0.555789	-4.770449
0.065921	541.254031	-0.363535	-4.779824
0.066920	537.981452	-0.459587	-4.712693
0.067918	544.457239	-0.654953	-4.466743
0.068917	538.039385	-0.458246	-4.909478
0.069916	537.981452	-0.459587	-4.712693
0.070915	537.981452	-0.459587	-4.712693
0.071914	537.981452	-0.459587	-4.712693
0.072912	541.254031	-0.363535	-4.779824
0.073911	541.239085	-0.555789	-4.770449
0.074910	534.743558	-0.360129	-4.837901
0.075909	549.310383	-0.129590	-4.641134
0.076908	534.801492	-0.358791	-5.035865
0.077906	531.528913	-0.455979	-4.969495
0.078905	534.743558	-0.360129	-4.837901
0.079904	534.743558	-0.360129	-4.837901
0.080903	541.254031	-0.363535	-4.779824
0.081902	537.981452	-0.459587	-4.712693
0.082900	541.239085	-0.555789	-4.770449
0.083899	544.511664	-0.459735	-4.836832
0.084898	538.039385	-0.458246	-4.909478
0.085897	547.749557	-0.556830	-4.713862
0.086896	541.254031	-0.363535	-4.779824
0.087894	534.723818	-0.362212	-4.654233
0.088893	538.004700	-0.653732	-4.717504
0.089892	534.766806	-0.555454	-4.842737
0.090891	541.288716	-0.169242	-4.970642
0.091890	541.239085	-0.555789	-4.770449
0.092888	541.239085	-0.555789	-4.770449
0.093887	538.001191	-0.457513	-4.895247
0.094886	538.059125	-0.456173	-5.092005
0.095885	541.262333	-0.748762	-4.775229
0.096884	531.528913	-0.455979	-4.969495
0.097882	544.511664	-0.459735	-4.836832
0.098881	544.511664	-0.459735	-4.836832
0.099880	541.273770	-0.361478	-4.961272
0.100879	538.016137	-0.264105	-4.904676
0.101878	534.844480	-0.552006	-5.224310
0.102876	541.297019	-0.554447	-4.966044
0.103875	544.511664	-0.459735	-4.836832
0.104874	538.001191	-0.457513	-4.895247
0.105873	541.297019	-0.554447	-4.966044
0.106872	537.981452	-0.459587	-4.712693
0.107870	538.024440	-0.651651	-4.900050
0.108869	541.273770	-0.361478	-4.961272
0.109868	541.273770	-0.361478	-4.961272
0.110867	541.297019	-0.554447	-4.966044
0.111866	544.511664	-0.459735	-4.836832
0.112864	541.273770	-0.361478	-4.961272
0.113863	541.297019	-0.554447	-4.966044
0.114862	541.239085	-0.555789	-4.770449
0.115861	544.511664	-0.459735	-4.836832
0.116860	541.273770	-0.361478	-4.961272
0.117858	544.511664	-0.459735	-4.836832
0.118857	538.024440	-0.651651	-4.900050
0.119856	541.273770	-0.361478	-4.961272
0.120855	544.511664	-0.459735	-4.836832
0.121854	538.024440	-0.651651	-4.900050
0.122852	551.026930	-0.648721	-4.948824
0.123851	544.476978	-0.652897	-4.647135
0.124850	534.786546	-0.553364	-5.026383
0.125849	538.102113	-0.648210	-5.279305
0.126848	538.024440	-0.651651	-4.900050
0.127846	531.528913	-0.455979	-4.969495
0.128845	538.059125	-0.456173	-5.092005
0.129844	538.059125	-0.456173	-5.092005
0.130843	547.749557	-0.556830	-4.713862
0.131842	538.059125	-0.456173	-5.092005
0.132840	538.024440	-0.651651	-4.900050
0.133839	541.297019	-0.554447	-4.966044
0.134838	541.297019	-0.554447	-4.966044
0.135837	538.024440	-0.651651	-4.900050
0.136836	538.044179	-0.649571	-5.082583
0.137834	538.035876	-0.262038	-5.087211
0.138833	541.297019	-0.554447	-4.966044
0.139832	541.297019	-0.554447	-4.966044
0.140831	534.786546	-0.553364	-5.026383
0.141830	541.297019	-0.554447	-4.966044
0.142828	541.273770	-0.361478	-4.961272
0.143827	538.001191	-0.457513	-4.895247
0.144826	538.001191	-0.457513	-4.895247
0.145825	538.001191	-0.457513	-4.895247
0.146824	534.786546	-0.553364	-5.026383
0.147822	541.273770	-0.361478	-4.961272
0.148821	541.239085	-0.555789	-4.770449
0.149820	538.024440	-0.651651	-4.900050
0.150819	534.786546	-0.553364	-5.026383
0.151818	538.059125	-0.456173	-5.092005
0.152816	538.024440	-0.651651	-4.900050
0.153815	541.297019	-0.554447	-4.966044
0.154814	538.059125	-0.456173	-5.092005
0.155813	538.059125	-0.456173	-5.092005
0.156812	534.786546	-0.553364	-5.026383
0.157810	538.024440	-0.651651	-4.900050
0.158809	534.786546	-0.553364	-5.026383
0.159808	538.024440	-0.651651	-4.900050
0.160807	534.786546	-0.553364	-5.026383
0.161806	538.059125	-0.456173	-5.092005
0.162804	541.297019	-0.554447	-4.966044
0.163803	534.786546	-0.553364	-5.026383
0.164802	534.786546	-0.553364	-5.026383
0.165801	538.024440	-0.651651	-4.900050
0.166800	534.786546	-0.553364	-5.026383
0.167798	534.786546	-0.553364	-5.026383
0.168797	534.786546	-0.553364	-5.026383
0.169796	541.297019	-0.554447	-4.966044
0.170795	538.059125	-0.456173	-5.092005
0.171794	534.786546	-0.553364	-5.026383
0.172792	538.059125	-0.456173	-5.092005
0.173791	538.024440	-0.651651	-4.900050
0.174790	534.786546	-0.553364	-5.026383
0.175789	534.786546	-0.553364	-5.026383
0.176788	531.548652	-0.453880	-5.154255
0.177786	531.571901	-0.650375	-5.159105
0.178785	538.024440	-0.651651	-4.900050
0.179784	534.786546	-0.553364	-5.026383
0.180783	534.786546	-0.553364	-5.026383
0.181782	534.786546	-0.553364	-5.026383
0.182780	534.786546	-0.553364	-5.026383
0.183779	538.024440	-0.651651	-4.900050
0.184778	541.297019	-0.554447	-4.966044
0.185777	538.059125	-0.456173	-5.092005
0.186776	538.001191	-0.457513	-4.895247
0.187774	538.001191	-0.457513	-4.895247
0.188773	534.786546	-0.553364	-5.026383
0.189772	538.059125	-0.456173	-5.092005
0.190771	538.059125	-0.456173	-5.092005
0.191770	534.786546	-0.553364	-5.026383
0.192768	541.297019	-0.554447	-4.966044
0.193767	544.476978	-0.652897	-4.647135
0.194766	538.024440	-0.651651	-4.900050
0.195765	538.024440	-0.651651	-4.900050
