Time (s)	Fz	COPx	COPy
0.000000	719.836248	0.433855	1.791892
0.000999	726.351514	0.282471	1.647474
0.001998	726.331775	0.280955	1.782866
0.002996	723.093881	0.357822	1.719358
0.003995	723.093881	0.357822	1.719358
0.004994	726.366460	0.425712	1.640355
0.005993	719.836248	0.433855	1.791892
0.006992	726.308526	0.424790	1.786638
0.007990	729.566160	0.349471	1.714771
0.008989	726.308526	0.424790	1.786638
0.009988	723.093881	0.357822	1.719358
0.010987	729.566160	0.349471	1.714771
0.011986	719.821302	0.289315	1.799079
0.012984	719.836248	0.433855	1.791892
0.013983	726.331775	0.280955	1.782866
0.014982	719.836248	0.433855	1.791892
0.015981	726.351514	0.282471	1.647474
0.016980	726.308526	0.424790	1.786638
0.017978	726.308526	0.424790	1.786638
0.018977	719.821302	0.289315	1.799079
0.019976	719.778314	0.432925	1.939514
0.020975	729.546420	0.347964	1.849568
0.021974	723.093881	0.357822	1.719358
0.022972	729.546420	0.347964	1.849568
0.023971	726.250592	0.423867	1.932944
0.024970	723.093881	0.357822	1.719358
0.025969	723.093881	0.357822	1.719358
0.026968	719.778314	0.432925	1.939514
0.027966	729.546420	0.347964	1.849568
0.028965	726.308526	0.424790	1.786638
0.029964	719.821302	0.289315	1.799079
0.030963	726.250592	0.423867	1.932944
0.031962	729.581105	0.492080	1.707682
0.032960	726.308526	0.424790	1.786638
0.033959	719.778314	0.432925	1.939514
0.034958	719.821302	0.289315	1.799079
0.035957	729.566160	0.349471	1.714771
0.036956	736.022207	0.196340	1.973767
0.037954	723.035947	0.356890	1.866309
0.038953	719.821302	0.289315	1.799079
0.039952	723.093881	0.357822	1.719358
0.040951	723.035947	0.356890	1.866309
0.041950	729.531474	0.205345	1.856660
0.042948	723.035947	0.356890	1.866309
0.043947	732.804053	0.273320	1.777738
0.044946	729.531474	0.205345	1.856660
0.045945	716.563669	0.365384	1.872307
0.046944	726.308526	0.424790	1.786638
0.047942	729.546420	0.347964	1.849568
0.048941	723.093881	0.357822	1.719358
0.049940	729.523172	0.491167	1.853326
0.050939	729.566160	0.349471	1.714771
0.051938	726.250592	0.423867	1.932944
0.052936	723.035947	0.356890	1.866309
0.053935	726.293580	0.281537	1.793760
0.054934	719.821302	0.289315	1.799079
0.055933	723.035947	0.356890	1.866309
0.056932	719.821302	0.289315	1.799079
0.057930	723.078935	0.213931	1.726510
0.058929	719.821302	0.289315	1.799079
0.059928	732.818999	0.415300	1.770680
0.060927	723.078935	0.213931	1.726510
0.061926	723.078935	0.213931	1.726510
0.062924	723.093881	0.357822	1.719358
0.063923	729.508226	0.348547	1.860418
0.064922	726.316829	0.137704	1.789988
0.065921	723.136869	0.214874	1.579579
0.066920	726.331775	0.280955	1.782866
0.067918	723.078935	0.213931	1.726510
0.068917	726.293580	0.281537	1.793760
0.069916	723.035947	0.356890	1.866309
0.070915	719.864290	0.145721	1.658659
0.071914	723.078935	0.213931	1.726510
0.072912	719.821302	0.289315	1.799079
0.073911	719.801563	0.287785	1.935703
0.074910	719.821302	0.289315	1.799079
0.075909	723.078935	0.213931	1.726510
0.076908	726.293580	0.281537	1.793760
0.077906	719.821302	0.289315	1.799079
0.078905	719.821302	0.289315	1.799079
0.079904	723.102184	0.069461	1.722723
0.080903	723.078935	0.213931	1.726510
0.081902	723.078935	0.213931	1.726510
0.082900	723.078935	0.213931	1.726510
0.083899	716.583408	0.366918	1.735066
0.084898	729.531474	0.205345	1.856660
0.085897	723.078935	0.213931	1.726510
0.086896	719.844551	0.144188	1.795272
0.087894	719.786617	0.143235	1.942893
0.088893	726.316829	0.137704	1.789988
0.089892	723.078935	0.213931	1.726510
0.090891	729.534983	0.060638	1.987706
0.091890	719.821302	0.289315	1.799079
0.092888	719.821302	0.289315	1.799079
0.093887	719.821302	0.289315	1.799079
0.094886	723.078935	0.213931	1.726510
0.095885	723.078935	0.213931	1.726510
0.096884	719.801563	0.287785	1.935703
0.097882	729.534983	0.060638	1.987706
0.098881	723.059196	0.212406	1.862517
0.099880	719.821302	0.289315	1.799079
0.100879	723.102184	0.069461	1.722723
0.101878	723.059196	0.212406	1.862517
0.102876	723.059196	0.212406	1.862517
0.103875	716.563669	0.365384	1.872307
0.104874	719.821302	0.289315	1.799079
0.105873	723.044250	0.068506	1.869673
0.106872	723.059196	0.212406	1.862517
0.107870	716.606657	0.221133	1.731245
0.108869	716.548723	0.220182	1.879527
0.109868	719.821302	0.289315	1.799079
0.110867	716.528983	0.218643	2.016779
0.111866	723.059196	0.212406	1.862517
0.112864	719.821302	0.289315	1.799079
0.113863	716.548723	0.220182	1.879527
0.114862	723.059196	0.212406	1.862517
0.115861	716.606657	0.221133	1.731245
0.116860	719.844551	0.144188	1.795272
0.117858	723.059196	0.212406	1.862517
0.118857	719.821302	0.289315	1.799079
0.119856	719.821302	0.289315	1.799079
0.120855	723.059196	0.212406	1.862517
0.121854	719.786617	0.143235	1.942893
0.122852	719.786617	0.143235	1.942893
0.123851	719.786617	0.143235	1.942893
0.124850	713.291090	0.296284	1.953459
0.125849	719.786617	0.143235	1.942893
0.126848	719.821302	0.289315	1.799079
0.127846	716.606657	0.221133	1.731245
0.128845	716.548723	0.220182	1.879527
0.129844	719.821302	0.289315	1.799079
0.130843	726.273841	0.280021	1.929167
0.131842	716.548723	0.220182	1.879527
0.132840	713.291090	0.296284	1.953459
0.133839	719.821302	0.289315	1.799079
0.134838	723.059196	0.212406	1.862517
0.135837	723.059196	0.212406	1.862517
0.136836	729.511735	0.203834	1.991468
0.137834	716.606657	0.221133	1.731245
0.138833	716.548723	0.220182	1.879527
0.139832	719.821302	0.289315	1.799079
0.140831	723.044250	0.068506	1.869673
0.141830	723.059196	0.212406	1.862517
0.142828	716.606657	0.221133	1.731245
0.143827	716.563669	0.365384	1.872307
0.144826	716.606657	0.221133	1.731245
0.145825	716.548723	0.220182	1.879527
0.146824	719.821302	0.289315	1.799079
0.147822	719.821302	0.289315	1.799079
0.148821	723.035947	0.356890	1.866309
0.149820	723.059196	0.212406	1.862517
0.150819	723.024510	0.066977	2.005691
0.151818	719.763368	0.288373	1.946704
0.152816	713.349024	0.297234	1.804493
0.153815	716.606657	0.221133	1.731245
0.154814	723.078935	0.213931	1.726510
0.155813	716.548723	0.220182	1.879527
0.156812	719.801563	0.287785	1.935703
0.157810	719.821302	0.289315	1.799079
0.158809	713.334078	0.151376	1.811745
0.159808	719.821302	0.289315	1.799079
0.160807	716.571971	0.074395	1.875701
0.161806	719.801563	0.287785	1.935703
0.162804	719.821302	0.289315	1.799079
0.163803	713.291090	0.296284	1.953459
0.164802	719.786617	0.143235	1.942893
0.165801	719.786617	0.143235	1.942893
0.166800	719.821302	0.289315	1.799079
0.167798	719.821302	0.289315	1.799079
0.168797	716.563669	0.365384	1.872307
0.169796	716.583408	0.366918	1.735066
0.170795	719.821302	0.289315	1.799079
0.171794	719.821302	0.289315	1.799079
0.172792	716.548723	0.220182	1.879527
0.173791	716.548723	0.220182	1.879527
0.174790	716.606657	0.221133	1.731245
0.175789	726.316829	0.137704	1.789988
0.176788	716.548723	0.220182	1.879527
0.177786	723.059196	0.212406	1.862517
0.178785	713.334078	0.151376	1.811745
0.179784	719.763368	0.288373	1.946704
0.180783	713.276144	0.150414	1.960715
0.181782	723.059196	0.212406	1.862517
0.182780	723.078935	0.213931	1.726510
0.183779	723.059196	0.212406	1.862517
0.184778	716.548723	0.220182	1.879527
0.185777	723.059196	0.212406	1.862517
0.186776	719.821302	0.289315	1.799079
0.187774	719.821302	0.289315	1.799079
0.188773	719.844551	0.144188	1.795272
0.189772	719.801563	0.287785	1.935703
0.190771	716.548723	0.220182	1.879527
0.191770	713.334078	0.151376	1.811745
0.192768	723.044250	0.068506	1.869673
0.193767	719.844551	0.144188	1.795272
0.194766	716.548723	0.220182	1.879527
0.195765	719.844551	0.144188	1.795272
0.196764	713.291090	0.296284	1.953459
0.197762	716.571971	0.074395	1.875701
0.198761	723.059196	0.212406	1.862517
0.199760	729.554723	0.062153	1.852902
0.200759	719.786617	0.143235	1.942893
0.201758	726.316829	0.137704	1.789988
0.202756	726.316829	0.137704	1.789988
0.203755	713.329284	0.295691	1.942358
0.204754	716.571971	0.074395	1.875701
0.205753	716.571971	0.074395	1.875701
0.206752	716.571971	0.074395	1.875701
0.207750	716.591711	0.075937	1.738462
0.208749	719.786617	0.143235	1.942893
0.209748	719.786617	0.143235	1.942893
0.210747	719.829605	-0.000357	1.802458
0.211746	723.044250	0.068506	1.869673
0.212744	719.829605	-0.000357	1.802458
0.213743	729.554723	0.062153	1.852902
0.214742	726.258895	0.136758	1.936293
0.215741	726.316829	0.137704	1.789988
0.216740	723.044250	0.068506	1.869673
0.217738	726.316829	0.137704	1.789988
0.218737	723.102184	0.069461	1.722723
0.219736	723.044250	0.068506	1.869673
0.220735	719.806356	0.144768	1.806265
0.221734	719.829605	-0.000357	1.802458
0.222732	723.067498	-0.075967	1.865881
0.223731	723.044250	0.068506	1.869673
0.224730	723.067498	-0.075967	1.865881
0.225729	719.829605	-0.000357	1.802458
0.226728	719.829605	-0.000357	1.802458
0.227726	719.829605	-0.000357	1.802458
0.228725	719.829605	-0.000357	1.802458
0.229724	719.829605	-0.000357	1.802458
0.230723	723.125432	-0.075000	1.718937
0.231722	716.571971	0.074395	1.875701
0.232720	719.829605	-0.000357	1.802458
0.233719	719.809865	-0.001894	1.939082
0.234718	719.864290	0.145721	1.658659
0.235717	726.282144	-0.007077	1.932516
0.236716	719.829605	-0.000357	1.802458
0.237714	719.852853	-0.145472	1.798652
0.238713	723.082444	0.067932	1.858726
0.239712	719.809865	-0.001894	1.939082
0.240711	719.809865	-0.001894	1.939082
0.241710	719.829605	-0.000357	1.802458
0.242708	723.067498	-0.075967	1.865881
0.243707	719.829605	-0.000357	1.802458
0.244706	719.852853	-0.145472	1.798652
0.245705	726.344871	-0.147848	1.657944
0.246704	719.829605	-0.000357	1.802458
0.247702	732.855344	-0.152250	1.643130
0.248701	723.067498	-0.075967	1.865881
0.249700	719.829605	-0.000357	1.802458
0.250699	719.829605	-0.000357	1.802458
0.251698	719.829605	-0.000357	1.802458
0.252696	723.044250	0.068506	1.869673
0.253695	723.067498	-0.075967	1.865881
0.254694	716.557026	-0.070812	1.882922
0.255693	723.067498	-0.075967	1.865881
0.256692	723.067498	-0.075967	1.865881
0.257690	719.829605	-0.000357	1.802458
0.258689	723.009564	-0.076934	2.012850
0.259688	713.314338	0.149829	1.949613
0.260687	719.829605	-0.000357	1.802458
0.261686	719.829605	-0.000357	1.802458
0.262684	716.591711	0.075937	1.738462
0.263683	719.829605	-0.000357	1.802458
0.264682	716.591711	0.075937	1.738462
0.265681	716.614959	-0.069837	1.734641
0.266680	719.809865	-0.001894	1.939082
0.267678	719.829605	-0.000357	1.802458
0.268677	723.067498	-0.075967	1.865881
0.269676	723.067498	-0.075967	1.865881
0.270675	719.809865	-0.001894	1.939082
0.271674	716.557026	-0.070812	1.882922
0.272672	723.067498	-0.075967	1.865881
0.273671	716.580274	-0.216588	1.879095
0.274670	719.794919	-0.146449	1.946271
0.275669	719.902484	0.145141	1.647675
0.276668	716.614959	-0.069837	1.734641
0.277666	719.794919	-0.146449	1.946271
0.278665	713.377066	0.006485	1.670048
0.279664	713.342380	-0.140928	1.815156
0.280663	713.342380	-0.140928	1.815156
0.281662	716.557026	-0.070812	1.882922
0.282660	713.342380	-0.140928	1.815156
0.283659	713.377066	0.006485	1.670048
0.284658	719.872593	-0.143931	1.662041
0.285657	713.377066	0.006485	1.670048
0.286656	719.829605	-0.000357	1.802458
0.287654	719.852853	-0.145472	1.798652
0.288653	716.614959	-0.069837	1.734641
0.289652	713.322641	-0.142484	1.953022
0.290651	713.377066	0.006485	1.670048
0.291650	719.837907	-0.290022	1.805838
0.292648	716.580274	-0.216588	1.879095
0.293647	719.829605	-0.000357	1.802458
0.294646	716.580274	-0.216588	1.879095
0.295645	716.580274	-0.216588	1.879095
0.296644	719.779973	-0.291010	1.953461
0.297642	716.614959	-0.069837	1.734641
0.298641	719.852853	-0.145472	1.798652
0.299640	719.794919	-0.146449	1.946271
0.300639	719.852853	-0.145472	1.798652
0.301638	716.614959	-0.069837	1.734641
0.302636	716.580274	-0.216588	1.879095
0.303635	719.852853	-0.145472	1.798652
0.304634	716.580274	-0.216588	1.879095
0.305633	716.614959	-0.069837	1.734641
0.306632	716.580274	-0.216588	1.879095
0.307630	713.342380	-0.140928	1.815156
0.308629	719.852853	-0.145472	1.798652
0.309628	716.580274	-0.216588	1.879095
0.310627	713.342380	-0.140928	1.815156
0.311626	713.342380	-0.140928	1.815156
0.312624	716.580274	-0.216588	1.879095
0.313623	716.580274	-0.216588	1.879095
0.314622	710.127735	-0.211680	1.746776
0.315621	713.342380	-0.140928	1.815156
0.316620	723.110486	-0.218894	1.726089
0.317618	716.580274	-0.216588	1.879095
0.318617	719.837907	-0.290022	1.805838
0.319616	710.127735	-0.211680	1.746776
0.320615	716.614959	-0.069837	1.734641
0.321614	716.657947	-0.214051	1.593597
0.322612	723.110486	-0.218894	1.726089
0.323611	716.580274	-0.216588	1.879095
0.324610	719.852853	-0.145472	1.798652
0.325609	723.090747	-0.220430	1.862090
0.326608	716.614959	-0.069837	1.734641
0.327606	719.852853	-0.145472	1.798652
0.328605	719.837907	-0.290022	1.805838
0.329604	716.580274	-0.216588	1.879095
0.330603	719.852853	-0.145472	1.798652
0.331602	716.614959	-0.069837	1.734641
0.332600	719.852853	-0.145472	1.798652
0.333599	723.110486	-0.218894	1.726089
0.334598	723.125432	-0.075000	1.718937
0.335597	716.580274	-0.216588	1.879095
0.336596	716.580274	-0.216588	1.879095
