Time (s)	Fz	COPx	COPy
0.000000	863.607464	-0.256641	-1.354279
0.001000	860.334885	-0.316297	-1.299270
0.002000	857.096991	-0.253704	-1.364493
0.003000	860.334885	-0.316297	-1.299270
0.004000	853.882346	-0.312968	-1.433331
0.005000	860.334885	-0.316297	-1.299270
0.006000	853.862606	-0.314271	-1.318232
0.007000	853.824412	-0.313803	-1.309104
0.008000	853.839358	-0.191936	-1.315108
0.009000	863.612257	-0.375840	-1.462146
0.010000	853.859097	-0.190636	-1.430211
0.011000	857.096991	-0.253704	-1.364493
0.012000	857.077252	-0.255001	-1.249824
0.013000	853.839358	-0.191936	-1.315108
0.014000	853.839358	-0.191936	-1.315108
0.015000	857.054003	-0.133123	-1.246710
0.016000	857.077252	-0.255001	-1.249824
0.017000	853.839358	-0.191936	-1.315108
0.018000	853.839358	-0.191936	-1.315108
0.019000	850.581725	-0.129696	-1.265345
0.020000	860.334885	-0.316297	-1.299270
0.021000	857.077252	-0.255001	-1.249824
0.022000	853.839358	-0.191936	-1.315108
0.023000	857.054003	-0.133123	-1.246710
0.024000	850.566779	-0.252028	-1.259317
0.025000	853.781424	-0.192763	-1.190866
0.026000	853.839358	-0.191936	-1.315108
0.027000	857.077252	-0.255001	-1.249824
0.028000	857.077252	-0.255001	-1.249824
0.029000	860.315145	-0.317590	-1.185031
0.030000	853.882346	-0.312968	-1.433331
0.031000	857.077252	-0.255001	-1.249824
0.032000	853.839358	-0.191936	-1.315108
0.033000	857.077252	-0.255001	-1.249824
0.034000	853.839358	-0.191936	-1.315108
0.035000	850.581725	-0.129696	-1.265345
0.036000	857.077252	-0.255001	-1.249824
0.037000	850.566779	-0.252028	-1.259317
0.038000	853.839358	-0.191936	-1.315108
0.039000	853.839358	-0.191936	-1.315108
0.040000	853.839358	-0.191936	-1.315108
0.041000	853.839358	-0.191936	-1.315108
0.042000	853.839358	-0.191936	-1.315108
0.043000	847.363571	-0.064362	-1.447173
0.044000	857.096991	-0.253704	-1.364493
0.045000	857.096991	-0.253704	-1.364493
0.046000	850.624713	-0.251194	-1.384023
0.047000	853.804672	-0.315106	-1.193994
0.048000	857.054003	-0.133123	-1.246710
0.049000	853.839358	-0.191936	-1.315108
0.050000	853.839358	-0.191936	-1.315108
0.051000	853.839358	-0.191936	-1.315108
0.052000	853.839358	-0.191936	-1.315108
0.053000	853.839358	-0.191936	-1.315108
0.054000	857.096991	-0.253704	-1.364493
0.055000	857.077252	-0.255001	-1.249824
0.056000	857.077252	-0.255001	-1.249824
0.057000	853.839358	-0.191936	-1.315108
0.058000	850.624713	-0.251194	-1.384023
0.059000	850.566779	-0.252028	-1.259317
0.060000	853.839358	-0.191936	-1.315108
0.061000	853.819618	-0.193237	-1.200000
0.062000	857.077252	-0.255001	-1.249824
0.063000	860.291897	-0.196173	-1.181927
0.064000	850.601464	-0.128392	-1.380889
0.065000	857.077252	-0.255001	-1.249824
0.066000	860.291897	-0.196173	-1.181927
0.067000	860.268648	-0.074749	-1.178823
0.068000	860.311636	-0.194882	-1.296169
0.069000	860.315145	-0.317590	-1.185031
