Time (s)	Fz	COPx	COPy
0.000000	723.780310	-2.577936	-0.306477
0.000999	727.095877	-2.638897	-0.515180
0.001998	723.780310	-2.577936	-0.306477
0.002996	720.565664	-2.658535	-0.383331
0.003995	726.994955	-2.498051	-0.230302
0.004994	717.250097	-2.597111	-0.172118
0.005993	723.780310	-2.577936	-0.306477
0.006992	717.308031	-2.595932	-0.320090
0.007990	720.542416	-2.513644	-0.379599
0.008989	717.351019	-2.739856	-0.460874
0.009988	714.035452	-2.678533	-0.249071
0.010987	723.780310	-2.577936	-0.306477
0.011986	717.293085	-2.741046	-0.312923
0.012984	717.327771	-2.594318	-0.457128
0.013983	720.565664	-2.658535	-0.383331
0.014982	723.780310	-2.577936	-0.306477
0.015981	720.565664	-2.658535	-0.383331
0.016980	717.308031	-2.595932	-0.320090
0.017978	720.522676	-2.515249	-0.243170
0.018977	720.522676	-2.515249	-0.243170
0.019976	714.070137	-2.531139	-0.393937
0.020975	717.308031	-2.595932	-0.320090
0.021974	720.565664	-2.658535	-0.383331
0.022972	717.327771	-2.594318	-0.457128
0.023971	713.977518	-2.679723	-0.100415
0.024970	717.250097	-2.597111	-0.172118
0.025969	714.035452	-2.678533	-0.249071
0.026968	717.308031	-2.595932	-0.320090
0.027966	717.308031	-2.595932	-0.320090
0.028965	720.522676	-2.515249	-0.243170
0.029964	717.284783	-2.450381	-0.316339
0.030963	712.436527	-2.354855	-0.231363
0.031962	720.522676	-2.515249	-0.243170
0.032960	717.284783	-2.450381	-0.316339
0.033959	714.089877	-2.529519	-0.531594
0.034958	717.308031	-2.595932	-0.320090
0.035957	717.308031	-2.595932	-0.320090
0.036956	717.308031	-2.595932	-0.320090
0.037954	717.308031	-2.595932	-0.320090
0.038953	717.308031	-2.595932	-0.320090
0.039952	714.070137	-2.531139	-0.393937
0.040951	710.832244	-2.465755	-0.468456
0.041950	720.464742	-2.516415	-0.095853
0.042948	717.308031	-2.595932	-0.320090
0.043947	717.308031	-2.595932	-0.320090
0.044946	709.149002	-2.583686	-0.152193
0.045945	714.070137	-2.531139	-0.393937
0.046944	717.308031	-2.595932	-0.320090
0.047942	717.308031	-2.595932	-0.320090
0.048941	717.250097	-2.597111	-0.172118
0.049940	723.780310	-2.577936	-0.306477
0.050939	717.308031	-2.595932	-0.320090
0.051938	720.565664	-2.658535	-0.383331
0.052936	710.832244	-2.465755	-0.468456
0.053935	717.308031	-2.595932	-0.320090
0.054934	714.070137	-2.531139	-0.393937
0.055933	714.035452	-2.678533	-0.249071
0.056932	714.035452	-2.678533	-0.249071
0.057930	717.284783	-2.450381	-0.316339
0.058929	709.163948	-2.436910	-0.159446
0.059928	714.070137	-2.531139	-0.393937
0.060927	712.421581	-2.500955	-0.224144
0.061926	714.035452	-2.678533	-0.249071
0.062924	720.522676	-2.515249	-0.243170
0.063923	717.342717	-2.449215	-0.464292
0.064922	715.636226	-2.420147	-0.147130
0.065921	709.183688	-2.435281	-0.298062
0.066920	709.183688	-2.435281	-0.298062
0.067918	709.149002	-2.583686	-0.152193
0.068917	715.659475	-2.566034	-0.150896
0.069916	709.183688	-2.435281	-0.298062
0.070915	717.308031	-2.595932	-0.320090
0.071914	709.183688	-2.435281	-0.298062
0.072912	702.653475	-2.453528	-0.160834
0.073911	714.070137	-2.531139	-0.393937
0.074910	717.284783	-2.450381	-0.316339
0.075909	720.545925	-2.660144	-0.246907
0.076908	714.070137	-2.531139	-0.393937
0.077906	712.421581	-2.500955	-0.224144
0.078905	717.308031	-2.595932	-0.320090
0.079904	714.070137	-2.531139	-0.393937
0.080903	717.308031	-2.595932	-0.320090
0.081902	709.163948	-2.436910	-0.159446
0.082900	712.421581	-2.500955	-0.224144
0.083899	717.308031	-2.595932	-0.320090
0.084898	709.149002	-2.583686	-0.152193
0.085897	709.206936	-2.582496	-0.301856
0.086896	709.149002	-2.583686	-0.152193
0.087894	714.070137	-2.531139	-0.393937
0.088893	709.183688	-2.435281	-0.298062
0.089892	712.421581	-2.500955	-0.224144
0.090891	720.580610	-2.514083	-0.390464
0.091890	717.308031	-2.595932	-0.320090
0.092888	712.421581	-2.500955	-0.224144
0.093887	715.694160	-2.418981	-0.295438
0.094886	709.183688	-2.435281	-0.298062
0.095885	714.070137	-2.531139	-0.393937
0.096884	709.183688	-2.435281	-0.298062
0.097882	717.308031	-2.595932	-0.320090
0.098881	710.832244	-2.465755	-0.468456
0.099880	712.456267	-2.353236	-0.369340
0.100879	715.694160	-2.418981	-0.295438
0.101878	712.421581	-2.500955	-0.224144
0.102876	723.857983	-2.575171	-0.588901
0.103875	717.308031	-2.595932	-0.320090
0.104874	714.070137	-2.531139	-0.393937
0.105873	709.183688	-2.435281	-0.298062
0.106872	709.183688	-2.435281	-0.298062
0.107870	709.183688	-2.435281	-0.298062
0.108869	714.070137	-2.531139	-0.393937
0.109868	709.140700	-2.289682	-0.155646
0.110867	710.797558	-2.613817	-0.322934
0.111866	720.522676	-2.515249	-0.243170
0.112864	717.331280	-2.741474	-0.323841
0.113863	709.183688	-2.435281	-0.298062
0.114862	715.636226	-2.420147	-0.147130
0.115861	712.398333	-2.354403	-0.220364
0.116860	720.585404	-2.656926	-0.519747
0.117858	715.636226	-2.420147	-0.147130
0.118857	709.183688	-2.435281	-0.298062
0.119856	712.398333	-2.354403	-0.220364
0.120855	715.612978	-2.274250	-0.143365
0.121854	705.853175	-2.519278	-0.075754
0.122852	709.183688	-2.435281	-0.298062
0.123851	712.398333	-2.354403	-0.220364
0.124850	709.183688	-2.435281	-0.298062
0.125849	709.140700	-2.289682	-0.155646
0.126848	715.659475	-2.566034	-0.150896
0.127846	712.398333	-2.354403	-0.220364
0.128845	709.183688	-2.435281	-0.298062
0.129844	712.398333	-2.354403	-0.220364
0.130843	709.140700	-2.289682	-0.155646
0.131842	714.070137	-2.531139	-0.393937
0.132840	709.140700	-2.289682	-0.155646
0.133839	718.908806	-2.338907	-0.218456
0.134838	709.183688	-2.435281	-0.298062
0.135837	712.398333	-2.354403	-0.220364
0.136836	712.398333	-2.354403	-0.220364
0.137834	705.926054	-2.370639	-0.233408
0.138833	709.140700	-2.289682	-0.155646
0.139832	709.183688	-2.435281	-0.298062
0.140831	705.922545	-2.221104	-0.368848
0.141830	709.183688	-2.435281	-0.298062
0.142828	705.926054	-2.370639	-0.233408
0.143827	705.969042	-2.516897	-0.376467
0.144826	705.926054	-2.370639	-0.233408
0.145825	712.456267	-2.353236	-0.369340
0.146824	709.160439	-2.288058	-0.294267
0.147822	709.183688	-2.435281	-0.298062
0.148821	709.198633	-2.288516	-0.305312
0.149820	709.160439	-2.288058	-0.294267
0.150819	705.969042	-2.516897	-0.376467
0.151818	709.183688	-2.435281	-0.298062
0.152816	712.456267	-2.353236	-0.369340
0.153815	715.728846	-2.271941	-0.439966
0.154814	712.456267	-2.353236	-0.369340
0.155813	709.218373	-2.286891	-0.443917
0.156812	705.945794	-2.369005	-0.372657
0.157810	702.731149	-2.450694	-0.451765
0.158809	705.945794	-2.369005	-0.372657
0.159808	709.218373	-2.286891	-0.443917
0.160807	705.945794	-2.369005	-0.372657
0.161806	715.670912	-2.273096	-0.291677
0.162804	705.960740	-2.221568	-0.379939
0.163803	722.146699	-2.404129	-0.145891
0.164802	706.003728	-2.367827	-0.522982
0.165801	715.670912	-2.273096	-0.291677
0.166800	712.433018	-2.206686	-0.365565
0.167798	709.218373	-2.286891	-0.443917
0.168797	709.198633	-2.288516	-0.305312
0.169796	720.557362	-2.369190	-0.386733
0.170795	709.218373	-2.286891	-0.443917
0.171794	712.433018	-2.206686	-0.365565
0.172792	712.433018	-2.206686	-0.365565
0.173791	712.433018	-2.206686	-0.365565
0.174790	720.592047	-2.223145	-0.530281
0.175789	709.218373	-2.286891	-0.443917
0.176788	720.577101	-2.367589	-0.523151
0.177786	715.670912	-2.273096	-0.291677
0.178785	712.433018	-2.206686	-0.365565
0.179784	709.175385	-2.141290	-0.301517
0.180783	715.647663	-2.127201	-0.287917
0.181782	712.433018	-2.206686	-0.365565
0.182780	709.218373	-2.286891	-0.443917
0.183779	709.175385	-2.141290	-0.301517
0.184778	715.728846	-2.271941	-0.439966
0.185777	712.433018	-2.206686	-0.365565
0.186776	712.433018	-2.206686	-0.365565
0.187774	712.490952	-2.205532	-0.514521
0.188773	712.447964	-2.060594	-0.372780
0.189772	715.705597	-2.126059	-0.436211
0.190771	705.960740	-2.221568	-0.379939
0.191770	709.229810	-1.991297	-0.585972
0.192768	718.978176	-2.046165	-0.506213
0.193767	712.467704	-2.058984	-0.510751
0.194766	723.742210	-1.930464	-0.243477
0.195765	715.720543	-1.980636	-0.443391
0.196764	715.705597	-2.126059	-0.436211
0.197762	712.447964	-2.060594	-0.372780
0.198761	712.447964	-2.060594	-0.372780
0.199760	715.705597	-2.126059	-0.436211
0.200759	725.453964	-2.178626	-0.359176
0.201758	722.192822	-1.968115	-0.428643
0.202756	712.447964	-2.060594	-0.372780
0.203755	715.740283	-1.979036	-0.580730
0.204754	715.705597	-2.126059	-0.436211
0.205753	718.978176	-2.046165	-0.506213
0.206752	723.864626	-2.143352	-0.599386
0.207750	715.740283	-1.979036	-0.580730
0.208749	712.482650	-1.912902	-0.517963
0.209748	712.447964	-2.060594	-0.372780
0.210747	718.954928	-1.900934	-0.502477
0.211746	712.447964	-2.060594	-0.372780
0.212744	715.740283	-1.979036	-0.580730
0.213743	715.740283	-1.979036	-0.580730
0.214742	718.978176	-2.046165	-0.506213
0.215741	712.502389	-1.911296	-0.655923
0.216740	712.482650	-1.912902	-0.517963
0.217738	718.935188	-1.902526	-0.365750
0.218737	712.482650	-1.912902	-0.517963
0.219736	712.482650	-1.912902	-0.517963
0.220735	712.482650	-1.912902	-0.517963
0.221734	712.502389	-1.911296	-0.655923
0.222732	712.482650	-1.912902	-0.517963
0.223731	712.482650	-1.912902	-0.517963
0.224730	712.482650	-1.912902	-0.517963
0.225729	715.755229	-1.833624	-0.587907
0.226728	712.482650	-1.912902	-0.517963
0.227726	715.720543	-1.980636	-0.443391
0.228725	712.482650	-1.912902	-0.517963
0.229724	712.482650	-1.912902	-0.517963
0.230723	715.740283	-1.979036	-0.580730
0.231722	712.482650	-1.912902	-0.517963
0.232720	722.207767	-1.824003	-0.435759
0.233719	715.731980	-1.687732	-0.584156
0.234718	712.482650	-1.912902	-0.517963
0.235717	715.731980	-1.687732	-0.584156
0.236716	715.755229	-1.833624	-0.587907
0.237714	718.969874	-1.756174	-0.509624
0.238713	715.755229	-1.833624	-0.587907
0.239712	715.755229	-1.833624	-0.587907
0.240711	715.731980	-1.687732	-0.584156
0.241710	719.012862	-1.899815	-0.650071
0.242708	705.972177	-1.924610	-0.522651
0.243707	715.731980	-1.687732	-0.584156
0.244706	718.969874	-1.756174	-0.509624
0.245705	715.697295	-1.834743	-0.439636
0.246704	719.012862	-1.899815	-0.650071
0.247702	718.969874	-1.756174	-0.509624
0.248701	722.227507	-1.822420	-0.571864
0.249700	715.755229	-1.833624	-0.587907
0.250699	719.012862	-1.899815	-0.650071
0.251698	722.262192	-1.676740	-0.715072
0.252696	725.500086	-1.744615	-0.640626
0.253695	715.712241	-1.689325	-0.446817
0.254694	718.989613	-1.754587	-0.646339
0.255693	715.731980	-1.687732	-0.584156
0.256692	718.969874	-1.756174	-0.509624
0.257690	712.517335	-1.765225	-0.663132
0.258689	715.731980	-1.687732	-0.584156
0.259688	715.789914	-1.686625	-0.732409
0.260687	718.989613	-1.754587	-0.646339
0.261686	722.242453	-1.678318	-0.578977
0.262684	718.969874	-1.756174	-0.509624
0.263683	722.262192	-1.676740	-0.715072
0.264682	715.731980	-1.687732	-0.584156
0.265681	715.731980	-1.687732	-0.584156
0.266680	718.969874	-1.756174	-0.509624
0.267678	730.386536	-1.842952	-0.732067
0.268677	718.969874	-1.756174	-0.509624
0.269676	722.262192	-1.676740	-0.715072
0.270675	719.004559	-1.609837	-0.653483
0.271674	722.242453	-1.678318	-0.578977
0.272672	719.004559	-1.609837	-0.653483
0.273671	719.004559	-1.609837	-0.653483
0.274670	719.004559	-1.609837	-0.653483
0.275669	719.004559	-1.609837	-0.653483
0.276668	722.262192	-1.676740	-0.715072
0.277666	725.480347	-1.746188	-0.505137
0.278665	722.242453	-1.678318	-0.578977
0.279664	719.004559	-1.609837	-0.653483
0.280663	725.500086	-1.744615	-0.640626
0.281662	722.262192	-1.676740	-0.715072
0.282660	722.242453	-1.678318	-0.578977
0.283659	719.004559	-1.609837	-0.653483
0.284658	719.024299	-1.608253	-0.790188
0.285657	722.262192	-1.676740	-0.715072
0.286656	719.004559	-1.609837	-0.653483
0.287654	719.027808	-1.755067	-0.657214
0.288653	727.148642	-1.775970	-0.806420
0.289652	725.500086	-1.744615	-0.640626
0.290651	722.242453	-1.678318	-0.578977
0.291650	719.004559	-1.609837	-0.653483
0.292648	719.004559	-1.609837	-0.653483
0.293647	722.262192	-1.676740	-0.715072
0.294646	722.242453	-1.678318	-0.578977
0.295645	715.746926	-1.542324	-0.591334
0.296644	719.004559	-1.609837	-0.653483
0.297642	719.004559	-1.609837	-0.653483
0.298641	722.242453	-1.678318	-0.578977
0.299640	722.242453	-1.678318	-0.578977
0.300639	722.242453	-1.678318	-0.578977
0.301638	727.041172	-1.420836	-0.459223
0.302636	720.553948	-1.572790	-0.467015
0.303635	719.004559	-1.609837	-0.653483
0.304634	719.004559	-1.609837	-0.653483
0.305633	723.826527	-1.495933	-0.536409
0.306632	719.004559	-1.609837	-0.653483
0.307630	722.242453	-1.678318	-0.578977
0.308629	719.004559	-1.609837	-0.653483
0.309628	727.041172	-1.420836	-0.459223
0.310627	719.004559	-1.609837	-0.653483
0.311626	719.004559	-1.609837	-0.653483
0.312624	719.004559	-1.609837	-0.653483
0.313623	727.084160	-1.562902	-0.598114
0.314622	723.826527	-1.495933	-0.536409
0.315621	722.242453	-1.678318	-0.578977
0.316620	718.984820	-1.611420	-0.516770
0.317618	722.242453	-1.678318	-0.578977
0.318617	719.004559	-1.609837	-0.653483
0.319616	719.004559	-1.609837	-0.653483
0.320615	719.004559	-1.609837	-0.653483
0.321614	719.004559	-1.609837	-0.653483
0.322612	719.004559	-1.609837	-0.653483
0.323611	715.746926	-1.542324	-0.591334
0.324610	723.826527	-1.495933	-0.536409
0.325609	727.084160	-1.562902	-0.598114
0.326608	715.731980	-1.687732	-0.584156
0.327606	723.826527	-1.495933	-0.536409
0.328605	719.004559	-1.609837	-0.653483
0.329604	723.826527	-1.495933	-0.536409
0.330603	719.004559	-1.609837	-0.653483
0.331602	715.731980	-1.687732	-0.584156
0.332600	723.826527	-1.495933	-0.536409
0.333599	722.242453	-1.678318	-0.578977
0.334598	723.826527	-1.495933	-0.536409
0.335597	727.064421	-1.564467	-0.462919
0.336596	723.826527	-1.495933	-0.536409
0.337594	717.296315	-1.505255	-0.404153
0.338593	719.004559	-1.609837	-0.653483
0.339592	715.731980	-1.687732	-0.584156
0.340591	719.004559	-1.609837	-0.653483
0.341590	723.826527	-1.495933	-0.536409
0.342588	723.826527	-1.495933	-0.536409
0.343587	723.783539	-1.353223	-0.396889
0.344586	723.841473	-1.352155	-0.543507
0.345585	723.826527	-1.495933	-0.536409
0.346584	719.019505	-1.465092	-0.660626
0.347582	719.004559	-1.609837	-0.653483
0.348581	715.746926	-1.542324	-0.591334
0.349580	720.568894	-1.428357	-0.474146
0.350579	719.004559	-1.609837	-0.653483
0.351578	720.568894	-1.428357	-0.474146
0.352576	727.041172	-1.420836	-0.459223
0.353575	723.841473	-1.352155	-0.543507
0.354574	720.553948	-1.572790	-0.467015
0.355573	723.826527	-1.495933	-0.536409
0.356572	727.044681	-1.566032	-0.327717
0.357570	720.568894	-1.428357	-0.474146
0.358569	719.004559	-1.609837	-0.653483
0.359568	720.568894	-1.428357	-0.474146
0.360567	717.311261	-1.360168	-0.411318
0.361566	719.004559	-1.609837	-0.653483
0.362564	715.746926	-1.542324	-0.591334
0.363563	720.568894	-1.428357	-0.474146
0.364562	720.568894	-1.428357	-0.474146
0.365561	719.019505	-1.465092	-0.660626
0.366560	720.568894	-1.428357	-0.474146
0.367558	727.056118	-1.277696	-0.466291
0.368557	719.004559	-1.609837	-0.653483
0.369556	720.568894	-1.428357	-0.474146
0.370555	720.568894	-1.428357	-0.474146
0.371554	715.746926	-1.542324	-0.591334
0.372552	720.568894	-1.428357	-0.474146
0.373551	720.568894	-1.428357	-0.474146
0.374550	723.826527	-1.495933	-0.536409
0.375549	723.783539	-1.353223	-0.396889
0.376548	720.568894	-1.428357	-0.474146
0.377546	720.568894	-1.428357	-0.474146
0.378545	726.998184	-1.278753	-0.320315
0.379544	720.568894	-1.428357	-0.474146
0.380543	720.568894	-1.428357	-0.474146
0.381542	720.568894	-1.428357	-0.474146
0.382540	720.568894	-1.428357	-0.474146
0.383539	723.806787	-1.497502	-0.400604
0.384538	717.331000	-1.358588	-0.548353
0.385537	730.212829	-1.204939	-0.244415
0.386536	720.553948	-1.572790	-0.467015
0.387534	720.568894	-1.428357	-0.474146
0.388533	723.806787	-1.497502	-0.400604
0.389532	720.568894	-1.428357	-0.474146
0.390531	720.568894	-1.428357	-0.474146
0.391530	730.282575	-1.633953	-0.255475
0.392528	715.746926	-1.542324	-0.591334
0.393527	720.568894	-1.428357	-0.474146
0.394526	723.806787	-1.497502	-0.400604
0.395525	723.763799	-1.354789	-0.261072
0.396524	720.568894	-1.428357	-0.474146
0.397522	723.783539	-1.353223	-0.396889
0.398521	720.568894	-1.428357	-0.474146
0.399520	715.746926	-1.542324	-0.591334
0.400519	720.568894	-1.428357	-0.474146
0.401518	720.568894	-1.428357	-0.474146
0.402516	731.970610	-1.662239	-0.689641
0.403515	723.783539	-1.353223	-0.396889
0.404514	720.568894	-1.428357	-0.474146
0.405513	727.021433	-1.422397	-0.324016
0.406512	720.568894	-1.428357	-0.474146
0.407510	723.783539	-1.353223	-0.396889
0.408509	720.568894	-1.428357	-0.474146
0.409508	720.568894	-1.428357	-0.474146
0.410507	723.806787	-1.497502	-0.400604
0.411506	720.568894	-1.428357	-0.474146
0.412504	720.568894	-1.428357	-0.474146
0.413503	720.568894	-1.428357	-0.474146
0.414502	723.841473	-1.352155	-0.543507
0.415501	720.568894	-1.428357	-0.474146
0.416500	723.806787	-1.497502	-0.400604
0.417498	720.568894	-1.428357	-0.474146
