Time (s)	Fz	COPx	COPy
0.000000	542.124098	-0.346174	-1.313224
0.000999	545.401471	-0.440278	-1.571044
0.001998	542.143837	-0.344120	-1.494507
0.002996	542.143837	-0.344120	-1.494507
0.003995	551.868955	-0.255426	-1.369722
0.004994	542.143837	-0.344120	-1.494507
0.005993	545.416417	-0.249495	-1.580436
0.006992	545.381731	-0.442323	-1.390847
0.007990	545.381731	-0.442323	-1.390847
0.008989	545.401471	-0.440278	-1.571044
0.009988	545.381731	-0.442323	-1.390847
0.010987	548.639364	-0.537331	-1.467548
0.011986	551.911943	-0.442674	-1.552625
0.012984	545.401471	-0.440278	-1.571044
0.013983	555.111643	-0.537869	-1.436419
0.014982	545.401471	-0.440278	-1.571044
0.015981	542.143837	-0.344120	-1.494507
0.016980	542.143837	-0.344120	-1.494507
0.017978	545.381731	-0.442323	-1.390847
0.018977	548.616116	-0.346944	-1.462692
0.019976	542.143837	-0.344120	-1.494507
0.020975	551.882052	-0.819770	-1.534061
0.021974	548.654310	-0.347671	-1.476887
0.022972	545.401471	-0.440278	-1.571044
0.023971	545.436156	-0.247457	-1.760615
0.024970	548.596376	-0.348974	-1.283547
0.025969	548.596376	-0.348974	-1.283547
0.026968	551.868955	-0.255426	-1.369722
0.027966	538.871258	-0.439895	-1.407535
0.028965	548.639364	-0.537331	-1.467548
0.029964	538.909453	-0.440628	-1.421990
0.030963	551.911943	-0.442674	-1.552625
0.031962	548.639364	-0.537331	-1.467548
0.032960	542.143837	-0.344120	-1.494507
0.033959	548.596376	-0.348974	-1.283547
0.034958	545.381731	-0.442323	-1.390847
0.035957	545.381731	-0.442323	-1.390847
0.036956	538.929192	-0.438558	-1.604351
0.037954	545.401471	-0.440278	-1.571044
0.038953	548.596376	-0.348974	-1.283547
0.039952	545.381731	-0.442323	-1.390847
0.040951	545.439665	-0.441003	-1.585315
0.041950	545.381731	-0.442323	-1.390847
0.042948	545.381731	-0.442323	-1.390847
0.043947	548.654310	-0.347671	-1.476887
0.044946	542.163577	-0.342066	-1.675777
0.045945	548.639364	-0.537331	-1.467548
0.046944	548.619625	-0.539367	-1.288410
0.047942	548.639364	-0.537331	-1.467548
0.048941	542.109152	-0.538119	-1.303768
0.049940	545.381731	-0.442323	-1.390847
0.050939	545.401471	-0.440278	-1.571044
0.051938	551.857518	-0.635273	-1.187176
0.052936	545.424719	-0.631783	-1.575924
0.053935	548.639364	-0.537331	-1.467548
0.054934	548.639364	-0.537331	-1.467548
0.055933	542.109152	-0.538119	-1.303768
0.056932	548.639364	-0.537331	-1.467548
0.057930	548.639364	-0.537331	-1.467548
0.058929	548.639364	-0.537331	-1.467548
0.059928	548.639364	-0.537331	-1.467548
0.060927	548.639364	-0.537331	-1.467548
0.061926	548.639364	-0.537331	-1.467548
0.062924	548.654310	-0.347671	-1.476887
0.063923	548.639364	-0.537331	-1.467548
0.064922	545.381731	-0.442323	-1.390847
0.065921	555.115152	-0.728040	-1.264177
0.066920	548.639364	-0.537331	-1.467548
0.067918	542.109152	-0.538119	-1.303768
0.068917	548.639364	-0.537331	-1.467548
0.069916	548.654310	-0.347671	-1.476887
0.070915	545.424719	-0.631783	-1.575924
0.071914	545.381731	-0.442323	-1.390847
0.072912	548.639364	-0.537331	-1.467548
0.073911	551.877258	-0.633245	-1.365266
0.074910	545.401471	-0.440278	-1.571044
0.075909	548.639364	-0.537331	-1.467548
0.076908	551.896998	-0.631217	-1.543343
0.077906	548.639364	-0.537331	-1.467548
0.078905	548.639364	-0.537331	-1.467548
0.079904	545.424719	-0.631783	-1.575924
0.080903	548.639364	-0.537331	-1.467548
0.081902	548.624418	-0.727001	-1.458208
0.082900	548.639364	-0.537331	-1.467548
0.083899	555.111643	-0.537869	-1.436419
0.084898	548.639364	-0.537331	-1.467548
0.085897	548.639364	-0.537331	-1.467548
0.086896	542.163577	-0.342066	-1.675777
0.087894	551.911943	-0.442674	-1.552625
0.088893	548.639364	-0.537331	-1.467548
0.089892	545.381731	-0.442323	-1.390847
0.090891	545.366785	-0.633124	-1.381449
0.091890	548.639364	-0.537331	-1.467548
0.092888	545.381731	-0.442323	-1.390847
0.093887	551.877258	-0.633245	-1.365266
0.094886	545.381731	-0.442323	-1.390847
0.095885	548.639364	-0.537331	-1.467548
0.096884	545.424719	-0.631783	-1.575924
0.097882	545.381731	-0.442323	-1.390847
0.098881	542.152140	-0.728715	-1.489969
0.099880	551.877258	-0.633245	-1.365266
0.100879	548.639364	-0.537331	-1.467548
0.101878	548.639364	-0.537331	-1.467548
0.102876	545.381731	-0.442323	-1.390847
0.103875	548.639364	-0.537331	-1.467548
0.104874	558.427210	-0.629354	-1.701451
0.105873	551.877258	-0.633245	-1.365266
0.106872	548.619625	-0.539367	-1.288410
0.107870	548.604679	-0.729045	-1.279065
0.108869	548.639364	-0.537331	-1.467548
0.109868	548.639364	-0.537331	-1.467548
0.110867	545.424719	-0.631783	-1.575924
0.111866	545.381731	-0.442323	-1.390847
0.112864	548.639364	-0.537331	-1.467548
0.113863	545.381731	-0.442323	-1.390847
0.114862	551.877258	-0.633245	-1.365266
0.115861	545.366785	-0.633124	-1.381449
0.116860	548.639364	-0.537331	-1.467548
0.117858	548.639364	-0.537331	-1.467548
0.118857	555.154631	-0.724001	-1.618249
0.119856	545.366785	-0.633124	-1.381449
0.120855	548.639364	-0.537331	-1.467548
0.121854	551.896998	-0.631217	-1.543343
0.122852	548.639364	-0.537331	-1.467548
