Time (s)	Fz	COPx	COPy
0.000000	1048.926953	0.592153	-5.788386
0.000999	1045.697362	0.446866	-5.853358
0.001998	1048.969941	0.493599	-5.884439
0.002996	1042.474414	0.600503	-5.925980
0.003995	1048.969941	0.493599	-5.884439
0.004994	1045.712308	0.546361	-5.858196
0.005993	1045.712308	0.546361	-5.858196
0.006992	1042.439729	0.499647	-5.826936
0.007990	1048.969941	0.493599	-5.884439
0.008989	1045.712308	0.546361	-5.858196
0.009988	1050.554203	0.366737	-5.752486
0.010987	1048.969941	0.493599	-5.884439
0.011986	1045.732048	0.547409	-5.952093
0.012984	1045.712308	0.546361	-5.858196
0.013983	1045.712308	0.546361	-5.858196
0.014982	1052.242520	0.540041	-5.915326
0.015981	1042.439729	0.499647	-5.826936
0.016980	1048.969941	0.493599	-5.884439
0.017978	1048.984887	0.592783	-5.889260
0.018977	1048.969941	0.493599	-5.884439
0.019976	1042.497663	0.500286	-5.928436
0.020975	1045.712308	0.546361	-5.858196
0.021974	1045.755296	0.447505	-5.954541
0.022972	1045.755296	0.447505	-5.954541
0.023971	1045.712308	0.546361	-5.858196
0.024970	1045.712308	0.546361	-5.858196
0.025969	1048.984887	0.592783	-5.889260
0.026968	1045.712308	0.546361	-5.858196
0.027966	1040.825858	0.626123	-5.818523
0.028965	1048.984887	0.592783	-5.889260
0.029964	1048.984887	0.592783	-5.889260
0.030963	1042.497663	0.500286	-5.928436
0.031962	1052.242520	0.540041	-5.915326
0.032960	1048.984887	0.592783	-5.889260
0.033959	1052.242520	0.540041	-5.915326
0.034958	1048.984887	0.592783	-5.889260
0.035957	1042.497663	0.500286	-5.928436
0.036956	1048.984887	0.592783	-5.889260
0.037954	1048.984887	0.592783	-5.889260
0.038953	1048.984887	0.592783	-5.889260
0.039952	1048.984887	0.592783	-5.889260
0.040951	1045.712308	0.546361	-5.858196
0.041950	1048.984887	0.592783	-5.889260
0.042948	1048.984887	0.592783	-5.889260
0.043947	1053.841728	0.512232	-5.788537
0.044946	1048.984887	0.592783	-5.889260
0.045945	1048.984887	0.592783	-5.889260
0.046944	1048.984887	0.592783	-5.889260
0.047942	1048.984887	0.592783	-5.889260
0.048941	1048.984887	0.592783	-5.889260
0.049940	1048.984887	0.592783	-5.889260
0.050939	1045.712308	0.546361	-5.858196
0.051938	1048.984887	0.592783	-5.889260
0.052936	1048.984887	0.592783	-5.889260
0.053935	1052.199532	0.638291	-5.819573
0.054934	1052.199532	0.638291	-5.819573
0.055933	1052.199532	0.638291	-5.819573
0.056932	1052.242520	0.540041	-5.915326
0.057930	1048.984887	0.592783	-5.889260
0.058929	1040.840804	0.726081	-5.823384
0.059928	1048.984887	0.592783	-5.889260
0.060927	1048.984887	0.592783	-5.889260
0.061926	1047.313082	0.717988	-5.779966
0.062924	1045.770242	0.546995	-5.959377
0.063923	1048.984887	0.592783	-5.889260
0.064922	1048.984887	0.592783	-5.889260
0.065921	1044.098437	0.672512	-5.849858
0.066920	1052.242520	0.540041	-5.915326
0.067918	1044.098437	0.672512	-5.849858
0.068917	1045.746993	0.646899	-5.956929
0.069916	1048.984887	0.592783	-5.889260
0.070915	1048.984887	0.592783	-5.889260
0.071914	1044.040503	0.671884	-5.748509
0.072912	1048.984887	0.592783	-5.889260
0.073911	1048.984887	0.592783	-5.889260
0.074910	1055.530045	0.684763	-5.950812
0.075909	1044.098437	0.672512	-5.849858
0.076908	1048.984887	0.592783	-5.889260
0.077906	1044.098437	0.672512	-5.849858
0.078905	1048.984887	0.592783	-5.889260
0.079904	1048.984887	0.592783	-5.889260
0.080903	1052.199532	0.638291	-5.819573
0.081902	1044.098437	0.672512	-5.849858
0.082900	1047.313082	0.717988	-5.779966
0.083899	1048.984887	0.592783	-5.889260
0.084898	1052.199532	0.638291	-5.819573
0.085897	1048.984887	0.592783	-5.889260
0.086896	1044.055449	0.771534	-5.753355
0.087894	1052.199532	0.638291	-5.819573
0.088893	1048.984887	0.592783	-5.889260
0.089892	1053.841728	0.512232	-5.788537
0.090891	1052.199532	0.638291	-5.819573
0.091890	1052.199532	0.638291	-5.819573
0.092888	1055.414177	0.683522	-5.750310
0.093887	1044.098437	0.672512	-5.849858
0.094886	1052.199532	0.638291	-5.819573
0.095885	1040.782870	0.725454	-5.721716
0.096884	1044.098437	0.672512	-5.849858
0.097882	1047.313082	0.717988	-5.779966
0.098881	1052.199532	0.638291	-5.819573
0.099880	1047.313082	0.717988	-5.779966
0.100879	1047.313082	0.717988	-5.779966
0.101878	1044.098437	0.672512	-5.849858
0.102876	1040.782870	0.725454	-5.721716
0.103875	1048.984887	0.592783	-5.889260
0.104874	1040.782870	0.725454	-5.721716
0.105873	1053.841728	0.512232	-5.788537
0.106872	1047.313082	0.717988	-5.779966
0.107870	1057.056373	0.557776	-5.719476
0.108869	1050.527728	0.763186	-5.710502
0.109868	1044.098437	0.672512	-5.849858
0.110867	1047.313082	0.717988	-5.779966
0.111866	1047.328028	0.817326	-5.784797
0.112864	1047.313082	0.717988	-5.779966
0.113863	1052.199532	0.638291	-5.819573
0.114862	1052.199532	0.638291	-5.819573
0.115861	1044.040503	0.671884	-5.748509
0.116860	1044.075189	0.772579	-5.847404
0.117858	1047.313082	0.717988	-5.779966
0.118857	1047.313082	0.717988	-5.779966
0.119856	1044.040503	0.671884	-5.748509
0.120855	1047.313082	0.717988	-5.779966
0.121854	1044.098437	0.672512	-5.849858
0.122852	1047.313082	0.717988	-5.779966
0.123851	1044.040503	0.671884	-5.748509
0.124850	1044.098437	0.672512	-5.849858
0.125849	1052.169923	0.636731	-5.679587
0.126848	1047.313082	0.717988	-5.779966
0.127846	1047.328028	0.817326	-5.784797
0.128845	1048.926953	0.592153	-5.788386
0.129844	1047.313082	0.717988	-5.779966
0.130843	1047.313082	0.717988	-5.779966
0.131842	1044.098437	0.672512	-5.849858
0.132840	1047.313082	0.717988	-5.779966
0.133839	1040.840804	0.726081	-5.823384
0.134838	1040.767924	0.625490	-5.716854
0.135837	1052.169923	0.636731	-5.679587
0.136836	1044.040503	0.671884	-5.748509
0.137834	1037.564716	0.781464	-5.884034
0.138833	1044.055449	0.771534	-5.753355
0.139832	1047.313082	0.717988	-5.779966
0.140831	1037.568225	0.679715	-5.791867
0.141830	1044.040503	0.671884	-5.748509
0.142828	1050.484740	0.861605	-5.614584
0.143827	1040.797816	0.825415	-5.726578
0.144826	1044.040503	0.671884	-5.748509
0.145825	1047.313082	0.717988	-5.779966
0.146824	1047.313082	0.717988	-5.779966
0.147822	1040.782870	0.725454	-5.721716
0.148821	1044.040503	0.671884	-5.748509
0.149820	1044.055449	0.771534	-5.753355
0.150819	1047.313082	0.717988	-5.779966
0.151818	1037.544976	0.780412	-5.789397
0.152816	1047.313082	0.717988	-5.779966
0.153815	1050.600607	0.862832	-5.816042
0.154814	1044.040503	0.671884	-5.748509
0.155813	1047.328028	0.817326	-5.784797
0.156812	1044.055449	0.771534	-5.753355
0.157810	1042.382077	0.697055	-5.593831
0.158809	1040.782870	0.725454	-5.721716
0.159808	1040.840804	0.726081	-5.823384
0.160807	1047.313082	0.717988	-5.779966
0.161806	1040.782870	0.725454	-5.721716
0.162804	1047.255149	0.717365	-5.678924
0.163803	1052.169923	0.636731	-5.679587
0.164802	1040.782870	0.725454	-5.721716
0.165801	1052.150183	0.635692	-5.586259
0.166800	1040.782870	0.725454	-5.721716
