Time (s)	Fz	COPx	COPy
0.000000	715.601285	-0.364372	-6.077225
0.000999	715.601285	-0.364372	-6.077225
0.001998	722.088510	-0.222232	-6.018977
0.002996	715.601285	-0.364372	-6.077225
0.003995	712.328706	-0.436917	-6.032485
0.004994	715.601285	-0.364372	-6.077225
0.005993	722.073564	-0.366336	-6.011975
0.006992	715.601285	-0.364372	-6.077225
0.007990	718.858919	-0.437236	-6.114526
0.008989	715.601285	-0.364372	-6.077225
0.009988	718.858919	-0.437236	-6.114526
0.010987	718.815931	-0.293476	-5.974376
0.011986	722.088510	-0.222232	-6.018977
0.012984	715.601285	-0.364372	-6.077225
0.013983	718.815931	-0.293476	-5.974376
0.014982	718.858919	-0.437236	-6.114526
0.015981	718.815931	-0.293476	-5.974376
0.016980	722.073564	-0.366336	-6.011975
0.017978	712.363392	-0.289280	-6.177416
0.018977	718.815931	-0.293476	-5.974376
0.019976	722.131498	-0.365344	-6.158490
0.020975	718.815931	-0.293476	-5.974376
0.021974	725.346143	-0.295083	-6.056207
0.022972	718.893604	-0.290939	-6.258137
0.023971	718.858919	-0.437236	-6.114526
0.024970	722.131498	-0.365344	-6.158490
0.025969	722.131498	-0.365344	-6.158490
0.026968	725.346143	-0.295083	-6.056207
0.027966	722.131498	-0.365344	-6.158490
0.028965	722.073564	-0.366336	-6.011975
0.029964	725.346143	-0.295083	-6.056207
0.030963	725.346143	-0.295083	-6.056207
0.031962	718.858919	-0.437236	-6.114526
0.032960	722.088510	-0.222232	-6.018977
0.033959	718.873865	-0.292486	-6.121558
0.034958	718.873865	-0.292486	-6.121558
0.035957	718.873865	-0.292486	-6.121558
0.036956	728.584037	-0.368811	-5.958339
0.037954	722.131498	-0.365344	-6.158490
0.038953	731.821930	-0.441887	-5.861338
0.039952	725.346143	-0.295083	-6.056207
0.040951	725.346143	-0.295083	-6.056207
0.041950	725.346143	-0.295083	-6.056207
0.042948	718.815931	-0.293476	-5.974376
0.043947	725.346143	-0.295083	-6.056207
0.044946	725.346143	-0.295083	-6.056207
0.045945	725.346143	-0.295083	-6.056207
0.046944	725.346143	-0.295083	-6.056207
0.047942	722.131498	-0.365344	-6.158490
0.048941	722.073564	-0.366336	-6.011975
0.049940	722.131498	-0.365344	-6.158490
0.050939	725.346143	-0.295083	-6.056207
0.051938	722.131498	-0.365344	-6.158490
0.052936	722.088510	-0.222232	-6.018977
0.053935	722.131498	-0.365344	-6.158490
0.054934	722.131498	-0.365344	-6.158490
0.055933	725.346143	-0.295083	-6.056207
